Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,172.79,174.18,171.13,173.63,173.63,957500
2019-04-02,173.54,173.94,170.93,173.34,173.34,670600
2019-04-03,174.08,174.8,171.42,171.69,171.69,847200
2019-04-04,172.14,174.41,171.58,174.0,174.0,1213800
2019-04-05,174.31,176.83,174.31,176.78,176.78,741300
2019-04-08,175.78,178.04,173.83,177.59,177.59,830300
2019-04-09,176.9,177.72,175.33,175.65,175.65,616200
2019-04-10,176.7,178.86,174.25,178.8,178.8,1079500
2019-04-11,178.65,181.02,177.89,180.96,180.96,705300
2019-04-12,180.96,181.8,179.74,180.11,180.11,922600
2019-04-15,180.54,181.78,179.03,181.43,181.43,913200
2019-04-16,182.56,182.56,179.51,179.95,179.95,676900
2019-04-17,179.95,180.05,176.67,176.81,176.81,741500
2019-04-18,176.56,177.13,174.11,175.4,175.4,1025300
2019-04-22,174.45,175.39,169.73,170.08,170.08,878800
2019-04-23,171.09,173.72,170.26,172.47,172.47,925000
2019-04-24,173.29,173.93,171.76,171.86,171.86,915700
2019-04-25,169.8,171.57,165.87,170.64,170.64,1265000
