Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.98,81.11,79.97,80.78,79.72,4759400
2019-04-02,80.89,83.49,80.8,83.07,81.98,6355800
2019-04-03,83.62,84.73,82.79,83.08,81.99,6083500
2019-04-04,83.04,83.38,82.07,82.81,81.73,4827900
2019-04-05,82.82,84.18,82.67,83.45,82.36,3996300
2019-04-08,83.7,84.0,82.78,83.98,82.88,3499200
2019-04-09,83.77,83.78,82.5,82.69,81.61,3712700
2019-04-10,83.2,83.38,82.6,82.95,81.86,3641900
2019-04-11,83.2,83.25,81.23,81.77,80.7,9094200
2019-04-12,80.67,81.81,79.84,80.78,80.78,5011500
2019-04-15,80.96,81.51,80.37,81.03,81.03,3495500
2019-04-16,81.11,81.3,80.02,80.21,80.21,3624700
2019-04-17,80.1,80.2,77.55,77.98,77.98,6817100
2019-04-18,78.06,78.21,76.81,77.57,77.57,7784900
2019-04-22,77.6,79.1,77.5,78.15,78.15,5358600
2019-04-23,78.15,79.66,77.75,78.66,78.66,9920600
2019-04-24,79.23,79.59,78.44,78.67,78.67,7056400
2019-04-25,80.05,80.47,76.91,79.34,79.34,10414300
