Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,38.65,40.13,38.25,40.01,35.98,112561900.0
2014-06-01,40.02,41.3,39.59,40.9,36.78,111958000.0
2014-07-01,41.18,43.27,40.92,42.12,37.87,127311700.0
2014-07-11,,,,,,
2014-08-01,42.0,42.93,41.15,42.24,38.18,75057500.0
2014-09-01,42.17,44.2,41.59,41.59,37.6,96645700.0
2014-10-01,42.05,44.06,39.28,43.59,39.4,129690900.0
2014-10-10,,,,,,
2014-11-01,43.56,44.77,43.02,44.51,40.45,79729800.0
2014-12-01,44.27,46.5,43.1,45.02,40.91,110952900.0
2015-01-01,45.25,45.87,43.36,44.76,40.68,116044000.0
2015-01-13,,,,,,
2015-02-01,44.93,47.88,44.28,47.37,43.28,112759900.0
2015-03-01,47.34,47.85,46.1,46.33,42.33,113215100.0
2015-04-01,46.33,48.62,45.55,46.42,42.41,98078500.0
2015-04-13,,,,,,
2015-05-01,46.71,49.43,46.23,48.6,44.63,88666300.0
2015-06-01,48.77,50.47,47.72,49.08,45.07,108156000.0
2015-07-01,49.4,51.74,48.92,50.69,46.55,118347200.0
2015-07-13,,,,,,
2015-08-01,50.89,51.17,42.3,45.64,42.11,173902200.0
2015-09-01,44.22,45.15,39.0,40.22,37.11,160044200.0
2015-10-01,40.35,45.34,39.28,44.8,41.34,173120800.0
2015-10-13,,,,,,
2015-11-01,44.88,46.38,43.45,44.92,41.69,109717900.0
2015-12-01,45.22,46.22,43.57,44.91,41.68,119958800.0
2016-01-01,43.94,44.05,36.0,37.85,35.13,178690800.0
2016-01-13,,,,,,
2016-02-01,36.17,39.88,36.02,38.74,36.18,148100100.0
2016-03-01,38.91,42.0,38.09,41.83,39.07,146113300.0
2016-04-01,41.53,44.58,38.58,38.9,36.33,180268200.0
2016-04-13,,,,,,
2016-05-01,38.85,39.67,36.89,39.63,37.24,251461600.0
2016-06-01,39.37,39.64,36.76,39.31,36.94,224941600.0
2016-07-01,39.31,45.16,39.16,44.75,42.05,219087100.0
2016-07-13,,,,,,
2016-08-01,44.75,45.79,41.93,42.02,39.73,227282000.0
2016-09-01,41.92,42.53,40.48,42.29,39.98,161436500.0
2016-10-01,42.06,43.78,39.22,39.24,37.1,187747800.0
2016-10-12,,,,,,
2016-11-01,39.24,41.53,37.81,38.07,36.22,180408600.0
2016-12-01,38.12,39.79,37.38,38.41,36.54,177221400.0
2017-01-01,38.63,41.79,38.34,41.77,39.74,211257800.0
2017-01-11,,,,,,
2017-02-01,41.51,45.68,41.44,45.08,43.17,165448600.0
2017-03-01,45.37,45.84,44.26,44.41,42.53,148914700.0
2017-04-01,44.42,44.61,42.31,43.64,41.79,135559900.0
2017-04-11,,,,,,
2017-05-01,43.57,45.75,42.88,45.66,43.99,132880600.0
2017-06-01,45.52,49.59,45.47,48.61,46.83,160391700.0
2017-07-01,48.73,51.13,47.83,49.18,47.38,114458500.0
2017-07-12,,,,,,
2017-08-01,49.21,51.05,48.05,50.94,49.35,101721800.0
2017-09-01,51.03,54.8,50.64,53.36,51.69,125039500.0
2017-10-01,53.64,56.69,53.2,54.23,52.54,125041700.0
2017-10-12,,,,,,
2017-11-01,53.89,56.52,53.61,56.37,54.88,110451700.0
2017-12-01,56.3,57.77,54.32,57.07,55.56,128810800.0
2018-01-01,58.2,64.6,57.82,62.16,60.51,155970200.0
2018-01-11,,,,,,
2018-02-01,61.75,62.54,55.58,60.33,59.01,142631600.0
2018-03-01,60.16,63.95,58.43,59.92,58.61,141022100.0
2018-04-01,59.82,60.15,56.99,58.13,56.86,136142700.0
2018-04-12,,,,,,
2018-05-01,57.7,62.72,56.81,61.53,60.47,119071500.0
2018-06-01,61.96,63.85,60.32,60.99,59.94,106517500.0
2018-07-01,60.63,65.9,60.32,65.54,64.42,108829300.0
2018-07-12,,,,,,
2018-08-01,65.35,67.36,63.07,66.84,65.99,94870900.0
2018-09-01,66.74,73.58,65.22,73.36,72.43,109301400.0
2018-10-01,73.81,74.15,65.78,68.94,68.06,182684600.0
2018-10-12,,,,,,
2018-11-01,69.09,74.23,67.83,74.05,73.41,133863300.0
2018-12-01,74.29,74.92,65.44,72.33,71.7,144019200.0
2019-01-01,70.39,73.07,65.5,72.98,72.35,157850300.0
2019-01-14,,,,,,
2019-02-01,73.02,78.06,71.5,77.62,77.3,108040800.0
2019-03-01,77.99,80.49,75.86,79.94,79.61,119619800.0
2019-04-01,80.67,80.74,72.36,78.56,78.24,108591900.0
2019-04-12,,,,,,
2019-04-26,78.46,78.57,77.53,78.56,78.56,3918241.0
