Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.67,80.74,79.21,79.66,79.34,4842000
2019-04-02,79.83,79.83,79.07,79.62,79.3,3717900
2019-04-03,79.97,80.0,79.15,79.5,79.18,3973700
2019-04-04,79.47,79.51,78.0,78.62,78.3,4671200
2019-04-05,78.9,79.36,78.39,79.0,78.68,3434500
2019-04-08,78.91,78.91,77.95,78.52,78.2,5178900
2019-04-09,78.24,78.96,78.06,78.67,78.35,4836700
2019-04-10,78.72,79.42,78.56,78.97,78.65,5604600
2019-04-11,79.19,79.23,78.35,78.51,78.19,4432100
2019-04-12,78.37,78.85,77.82,78.01,78.01,5482000
2019-04-15,78.11,78.46,77.46,77.5,77.5,6095100
2019-04-16,77.94,78.7,76.06,76.38,76.38,6227800
2019-04-17,76.18,76.29,72.36,72.88,72.88,11212400
2019-04-18,73.64,74.9,72.75,73.92,73.92,9712200
2019-04-22,73.13,74.6,73.0,74.51,74.51,5810700
2019-04-23,74.63,76.41,74.43,76.1,76.1,6823500
2019-04-24,76.05,76.87,75.67,76.75,76.75,6238400
2019-04-25,76.62,78.18,76.37,78.11,78.11,5972500
