Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,51.38,53.13,50.08,52.38,46.32,42620200.0
2014-05-28,,,,,,
2014-06-01,52.41,56.18,51.92,54.07,48.15,39780900.0
2014-07-01,53.77,54.93,49.62,49.63,44.2,38367100.0
2014-08-01,49.61,52.95,48.81,51.12,45.52,37832800.0
2014-09-01,51.1,51.35,48.64,49.49,44.07,46643700.0
2014-09-03,,,,,,
2014-10-01,49.35,50.54,42.57,49.62,44.51,79553000.0
2014-11-01,49.72,54.95,49.18,54.64,49.02,37639300.0
2014-12-01,54.48,57.99,54.19,55.52,49.81,53181600.0
2014-12-03,,,,,,
2015-01-01,55.68,56.25,52.05,52.11,47.06,36237100.0
2015-02-01,52.1,59.65,51.29,58.54,52.87,37159700.0
2015-02-25,,,,,,
2015-03-01,58.81,64.94,56.27,63.0,57.28,54994500.0
2015-04-01,62.83,64.74,61.29,61.84,56.23,42080800.0
2015-05-01,62.35,68.75,61.26,67.96,61.79,53260000.0
2015-05-27,,,,,,
2015-06-01,68.41,68.97,63.82,64.19,58.72,46703400.0
2015-07-01,65.08,66.28,57.16,58.33,53.35,51224600.0
2015-08-01,58.43,61.23,50.56,56.48,51.66,87222900.0
2015-08-26,,,,,,
2015-09-01,54.25,58.96,52.48,56.41,52.01,57543100.0
2015-10-01,56.35,64.16,53.7,60.12,55.43,73184800.0
2015-11-01,60.19,62.08,56.5,61.63,56.82,50816800.0
2015-12-01,62.09,62.4,55.12,55.32,51.0,55027500.0
2015-12-02,,,,,,
2016-01-01,54.24,54.84,47.24,53.86,49.98,66570400.0
2016-02-01,53.38,53.98,48.17,52.99,49.18,52033100.0
2016-02-24,,,,,,
2016-03-01,53.95,59.45,53.01,59.19,55.38,45976500.0
2016-04-01,58.69,59.87,55.88,56.32,52.7,35155100.0
2016-05-01,56.31,58.72,53.0,58.5,54.74,40107800.0
2016-05-25,,,,,,
2016-06-01,58.11,58.77,52.17,56.64,53.38,51670900.0
2016-07-01,56.15,66.91,54.55,63.83,60.16,53962700.0
2016-08-01,64.19,65.49,62.24,62.56,58.96,47567700.0
2016-08-24,,,,,,
2016-09-01,62.1,64.97,59.01,64.45,61.14,52213000.0
2016-10-01,64.29,65.18,59.54,64.1,60.81,51770200.0
2016-11-01,64.4,74.87,62.5,74.24,70.43,66069100.0
2016-11-30,,,,,,
2016-12-01,73.56,74.82,68.42,72.62,69.29,48643800.0
2017-01-01,72.6,76.94,71.0,74.94,71.5,49609400.0
2017-02-01,75.76,82.87,74.94,81.93,78.17,52069800.0
2017-02-22,,,,,,
2017-03-01,82.45,84.24,80.39,81.95,78.61,73710400.0
2017-04-01,82.02,82.27,75.82,76.2,73.1,64053200.0
2017-05-01,75.05,90.49,74.65,85.76,82.27,90458900.0
2017-06-01,86.28,86.32,76.18,77.8,74.63,109111900.0
2017-06-07,,,,,,
2017-07-01,78.27,81.85,76.07,79.01,76.22,44777600.0
2017-08-01,79.23,85.0,76.41,83.67,80.72,52579400.0
2017-09-01,83.97,86.41,80.1,86.17,83.13,49418300.0
2017-09-07,,,,,,
2017-10-01,86.59,91.96,85.58,91.3,88.56,39710200.0
2017-11-01,91.85,93.99,83.9,86.11,83.53,62054900.0
2017-11-30,,,,,,
2017-12-01,85.51,89.86,83.59,89.03,86.82,51559800.0
2018-01-01,89.24,98.38,88.93,91.88,89.59,68395700.0
2018-02-01,91.25,94.92,80.95,90.15,87.91,64856900.0
2018-03-01,89.89,96.85,86.79,91.13,88.86,57645500.0
2018-03-08,,,,,,
2018-04-01,90.47,95.54,86.03,87.35,85.62,54725800.0
2018-05-01,87.14,98.39,86.23,97.18,95.26,50514600.0
2018-06-01,97.68,103.59,95.05,95.92,94.02,55467600.0
2018-06-07,,,,,,
2018-07-01,95.04,99.4,94.37,96.14,94.68,39963400.0
2018-08-01,95.43,100.87,92.05,98.85,97.35,54490600.0
2018-08-30,,,,,,
2018-09-01,97.49,98.89,89.35,92.46,91.5,63605000.0
2018-10-01,92.81,93.92,76.62,83.71,82.84,94381900.0
2018-11-01,84.16,91.97,83.72,91.92,90.96,69194700.0
2018-11-28,,,,,,
2018-12-01,93.34,94.62,80.08,85.83,85.39,53482200.0
2019-01-01,84.03,99.44,80.46,98.86,98.36,62109100.0
2019-02-01,99.17,108.28,98.73,106.96,106.41,57052200.0
2019-02-28,,,,,,
2019-03-01,107.84,111.12,103.3,105.27,105.27,58506700.0
2019-04-01,106.52,118.54,106.26,114.44,114.44,47601300.0
2019-04-26,113.25,114.59,112.16,114.44,114.44,2037940.0
