Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,242.44,257.41,230.79,256.05,249.63,15884800.0
2014-06-01,259.39,284.4,254.95,281.25,274.2,10460800.0
2014-07-01,282.93,288.67,262.03,262.29,255.72,11611600.0
2014-08-01,260.64,269.36,255.25,264.64,258.01,9699300.0
2014-09-01,264.41,266.93,239.83,248.27,242.05,15957800.0
2014-10-01,248.27,286.8,230.54,283.35,276.25,15764300.0
2014-11-01,283.46,289.33,275.91,285.87,278.71,8220600.0
2014-12-01,283.22,292.96,272.15,286.05,278.88,12591300.0
2015-01-01,288.62,301.18,273.11,288.83,281.59,8298300.0
2015-02-01,289.34,295.59,268.93,278.51,271.53,10839500.0
2015-03-01,278.51,301.74,273.89,296.25,288.83,9241900.0
2015-04-01,296.43,312.0,290.45,297.31,289.86,9107700.0
2015-05-01,300.06,305.68,293.87,298.03,290.56,7503700.0
2015-06-01,298.83,307.1,289.38,291.94,284.63,8761800.0
2015-07-01,294.07,307.78,264.96,275.04,268.15,11593800.0
2015-08-01,275.28,280.8,241.91,257.19,250.75,9719800.0
2015-09-01,251.13,261.36,247.52,258.98,252.49,9278600.0
2015-10-01,260.45,300.56,256.24,297.31,289.86,9667700.0
2015-11-01,296.19,303.75,281.01,286.85,279.66,6708400.0
2015-12-01,287.38,290.3,265.08,276.57,269.64,7273400.0
2016-01-01,271.16,275.94,197.83,199.79,194.78,16768100.0
2016-02-01,200.0,215.94,176.63,210.13,204.86,21430500.0
2016-03-01,212.23,220.63,203.04,220.0,214.49,18101100.0
2016-04-01,218.69,221.82,197.96,203.31,198.22,19935600.0
2016-05-01,203.64,223.03,199.06,222.19,216.62,14901400.0
2016-06-01,222.19,227.34,185.02,195.92,191.01,19848900.0
2016-07-01,196.01,239.72,191.59,231.62,225.82,16988300.0
2016-08-01,231.89,231.98,193.67,204.58,199.45,19103400.0
2016-09-01,204.64,219.99,203.2,214.53,209.15,13732500.0
2016-10-01,214.53,219.16,197.69,204.47,199.35,12977800.0
2016-11-01,204.74,235.86,198.06,228.78,223.05,12963700.0
2016-11-01,,,,,,
2016-12-01,229.09,241.69,215.81,228.5,223.34,11036900.0
2017-01-01,231.19,238.66,214.68,228.38,223.23,12570300.0
2017-02-01,229.17,247.48,224.38,242.98,237.5,10976100.0
2017-02-13,,,,,,
2017-03-01,244.66,251.19,238.6,249.0,243.94,11322400.0
2017-04-01,249.75,266.25,234.78,249.63,244.56,15110000.0
2017-05-01,249.97,261.23,232.81,241.13,236.23,13839900.0
2017-05-11,,,,,,
2017-06-01,240.79,264.46,233.78,256.69,251.98,15011200.0
2017-07-01,257.26,265.68,232.55,241.43,237.0,13102100.0
2017-08-01,242.02,242.48,219.05,225.5,221.36,11210300.0
2017-08-10,,,,,,
2017-09-01,225.95,226.13,209.0,221.55,217.97,12663700.0
2017-10-01,222.0,244.43,215.37,223.73,220.12,11971700.0
2017-11-01,224.46,241.97,217.08,239.27,235.41,8734700.0
2017-11-13,,,,,,
2017-12-01,238.04,254.79,228.81,253.48,249.96,11009200.0
2018-01-01,254.29,278.33,244.98,256.66,253.1,14041900.0
2018-02-01,256.26,257.99,232.69,240.96,237.62,12883300.0
2018-02-13,,,,,,
2018-03-01,241.06,244.02,205.61,212.86,210.39,14667800.0
2018-04-01,212.85,217.31,202.0,203.05,200.69,16372400.0
2018-05-01,203.0,215.62,192.02,210.82,208.37,13213300.0
2018-05-11,,,,,,
2018-06-01,211.99,239.95,209.68,233.2,231.13,11237500.0
2018-07-01,231.15,245.93,216.07,224.88,222.88,11572400.0
2018-08-01,224.84,242.53,223.11,238.58,236.46,7530000.0
2018-08-13,,,,,,
2018-09-01,238.45,250.27,233.89,236.16,234.65,8753400.0
2018-10-01,237.66,240.94,195.26,206.18,204.86,15270200.0
2018-11-01,206.62,214.95,189.23,200.36,199.08,9006700.0
2018-11-13,,,,,,
2018-12-01,202.4,203.84,142.58,150.08,149.54,12812000.0
2019-01-01,148.01,181.61,147.37,177.59,176.95,14488100.0
2019-02-01,178.15,182.77,153.26,173.0,172.38,14160700.0
2019-02-20,,,,,,
2019-03-01,174.64,177.47,161.78,174.98,174.98,11960100.0
2019-04-01,176.07,182.95,152.59,156.78,156.78,17352400.0
2019-04-26,154.07,158.89,153.94,156.78,156.78,1122988.0
