Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,176.07,179.4,175.5,176.12,176.12,986700
2019-04-02,176.94,177.9,175.06,175.53,175.53,500900
2019-04-03,177.18,179.66,175.76,179.48,179.48,529700
2019-04-04,179.53,181.16,178.3,179.83,179.83,318300
2019-04-05,180.58,182.5,176.27,177.11,177.11,809100
2019-04-08,176.75,178.47,173.93,178.35,178.35,526200
2019-04-09,177.5,177.78,175.79,177.21,177.21,406100
2019-04-10,177.66,177.97,174.88,176.47,176.47,540800
2019-04-11,177.12,177.48,175.27,175.74,175.74,329300
2019-04-12,177.04,182.95,177.04,180.93,180.93,685600
2019-04-15,172.74,172.74,161.42,164.04,164.04,3057900
2019-04-16,164.84,165.73,163.13,163.53,163.53,1019200
2019-04-17,164.86,166.89,163.71,164.58,164.58,807100
2019-04-18,164.15,164.78,161.76,162.6,162.6,1154800
2019-04-22,161.99,163.47,160.01,160.75,160.75,684000
2019-04-23,161.16,165.39,160.01,163.02,163.02,1110300
2019-04-24,163.04,166.12,161.77,164.8,164.8,726200
2019-04-25,160.0,160.15,152.59,153.98,153.98,1977500
