Date,Open,High,Low,Close,Adj Close,Volume
2014-04-29,,,,,,
2014-05-01,14.46,14.77,13.42,14.1,11.74,107821400.0
2014-06-01,14.09,15.65,13.96,15.55,12.95,129681600.0
2014-07-01,15.57,15.64,14.58,14.61,12.17,90038300.0
2014-07-30,,,,,,
2014-08-01,14.52,15.21,14.01,15.18,12.68,71515200.0
2014-09-01,15.17,15.21,14.05,14.18,11.85,74229400.0
2014-10-01,14.19,14.45,12.38,14.07,11.76,125977700.0
2014-10-30,,,,,,
2014-11-01,14.15,14.25,13.01,13.87,11.63,123102900.0
2014-12-01,13.8,14.49,12.78,13.77,11.55,132381400.0
2015-01-01,13.86,13.87,12.17,12.22,10.25,118931400.0
2015-01-30,,,,,,
2015-02-01,12.24,13.01,11.53,12.97,10.97,133819500.0
2015-03-01,12.91,13.02,11.83,12.85,10.86,137865400.0
2015-04-01,12.86,13.67,12.64,13.25,11.2,103745000.0
2015-05-01,13.24,13.84,13.05,13.6,11.5,156488700.0
2015-05-01,,,,,,
2015-06-01,13.59,14.02,12.9,13.26,11.3,122465100.0
2015-07-01,13.3,13.4,12.66,12.8,10.9,116593100.0
2015-07-30,,,,,,
2015-08-01,12.82,13.21,11.15,12.0,10.3,122284500.0
2015-09-01,11.78,11.8,9.42,9.79,8.41,148974700.0
2015-10-01,9.86,11.21,9.72,10.95,9.4,136077500.0
2015-10-29,,,,,,
2015-11-01,10.98,11.09,9.45,9.99,8.66,116818100.0
2015-12-01,10.02,10.09,8.76,9.57,8.29,124372100.0
2016-01-01,9.44,9.59,8.22,9.5,8.23,138319800.0
2016-01-29,,,,,,
2016-02-01,9.47,10.14,8.88,9.8,8.59,121280500.0
2016-03-01,9.83,11.8,9.76,11.8,10.35,131636500.0
2016-04-01,11.68,11.69,10.79,11.16,9.79,97045100.0
2016-04-28,,,,,,
2016-05-01,11.15,11.49,10.49,11.09,9.82,84219500.0
2016-06-01,11.04,12.48,10.79,12.48,11.05,129814600.0
2016-07-01,12.48,12.72,12.0,12.35,10.94,76225600.0
2016-07-28,,,,,,
2016-08-01,12.33,12.59,11.89,12.07,10.78,97027900.0
2016-09-01,12.07,13.32,11.85,12.85,11.48,109233600.0
2016-10-01,12.64,12.75,11.45,11.77,10.52,124504600.0
2016-10-28,,,,,,
2016-11-01,11.77,12.48,11.08,11.45,10.33,128085000.0
2016-12-01,11.36,12.47,10.98,11.62,10.48,99026200.0
2017-01-01,11.67,12.06,11.15,11.44,10.32,124724100.0
2017-01-30,,,,,,
2017-02-01,11.4,11.93,11.1,11.52,10.5,99948000.0
2017-03-01,11.38,11.68,10.93,11.18,10.19,123736700.0
2017-04-01,11.17,11.62,11.01,11.31,10.31,125703400.0
2017-04-27,,,,,,
2017-05-01,11.31,11.85,10.95,11.68,10.76,114172800.0
2017-06-01,11.68,12.05,11.11,11.11,10.23,105483700.0
2017-07-01,11.15,11.45,10.6,11.18,10.3,104717400.0
2017-08-01,11.06,11.66,10.92,11.04,10.17,117824600.0
2017-08-01,,,,,,
2017-09-01,11.08,11.45,11.0,11.02,10.26,84544500.0
2017-10-01,11.06,11.34,10.49,10.63,9.9,83059900.0
2017-10-31,,,,,,
2017-11-01,10.59,10.97,10.0,10.58,9.96,145832900.0
2017-11-01,,,,,,
2017-12-01,10.62,11.02,10.43,10.83,10.31,133246400.0
2018-01-01,10.87,11.95,10.64,11.56,11.01,237296400.0
2018-01-31,,,,,,
2018-02-01,11.59,11.67,9.87,10.87,10.47,177806900.0
2018-03-01,10.92,11.43,10.49,11.37,10.95,156649300.0
2018-04-01,11.38,12.45,11.19,12.24,11.79,140353800.0
2018-04-30,,,,,,
2018-05-01,12.25,12.86,11.66,12.75,12.41,143556100.0
2018-06-01,12.71,13.56,12.47,13.41,13.05,150725600.0
2018-07-01,13.05,13.58,12.55,13.36,13.01,141218100.0
2018-08-01,13.36,14.11,13.23,13.46,13.1,141442400.0
2018-08-02,,,,,,
2018-09-01,13.43,14.01,13.0,14.0,13.76,134714200.0
2018-10-01,13.99,15.39,13.88,14.58,14.33,160230300.0
2018-10-31,,,,,,
2018-11-01,14.61,16.28,14.47,15.49,15.36,129127400.0
2018-12-01,15.59,16.02,13.55,14.46,14.34,149343200.0
2019-01-01,14.27,16.42,13.97,16.39,16.25,114648400.0
2019-01-31,,,,,,
2019-02-01,16.4,17.6,16.37,17.23,17.23,98939400.0
2019-03-01,17.29,18.52,16.88,18.08,18.08,133496900.0
2019-04-01,18.13,18.31,17.37,17.46,17.46,97920400.0
2019-04-26,17.68,17.81,17.37,17.46,17.46,7630342.0
