Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.31,50.46,49.77,49.88,49.88,4066200
2019-04-02,49.78,49.84,49.23,49.25,49.25,3630100
2019-04-03,49.55,49.55,48.29,48.76,48.76,5489300
2019-04-04,48.85,49.05,48.66,48.78,48.78,2525200
2019-04-05,48.97,49.06,48.82,49.0,49.0,3149900
2019-04-08,49.12,49.27,48.91,49.12,49.12,3303600
2019-04-09,49.06,49.2,48.83,49.04,49.04,3082000
2019-04-10,48.93,49.25,48.8,49.21,49.21,2493300
2019-04-11,49.36,49.56,49.15,49.37,49.37,3147200
2019-04-12,49.79,49.8,49.07,49.51,49.51,3611500
2019-04-15,49.56,49.64,48.79,48.95,48.95,4309000
2019-04-16,49.04,49.62,48.84,49.59,49.59,3326600
2019-04-17,49.76,49.76,48.93,49.04,49.04,3103300
2019-04-18,48.98,49.26,48.75,48.92,48.92,4271900
2019-04-22,48.68,48.87,48.45,48.56,48.56,2234000
2019-04-23,48.65,49.27,48.5,48.91,48.91,3495000
2019-04-24,48.81,49.01,48.68,48.89,48.89,2436800
2019-04-25,48.64,49.21,48.59,49.18,49.18,2939300
