Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,53.02,54.31,50.19,54.07,49.07,173192500.0
2014-06-01,54.16,56.0,53.67,54.58,49.53,148268300.0
2014-06-06,,,,,,
2014-07-01,54.99,55.99,51.9,51.98,47.28,132611300.0
2014-08-01,51.82,56.31,51.61,56.06,50.99,170056000.0
2014-09-01,56.29,56.56,53.51,54.02,49.14,151051000.0
2014-09-09,,,,,,
2014-10-01,54.04,54.1,48.56,53.57,48.84,249574900.0
2014-11-01,53.79,55.19,52.9,54.8,49.96,140643200.0
2014-12-01,54.56,56.79,52.85,56.01,51.06,155006400.0
2014-12-02,,,,,,
2015-01-01,56.53,56.6,48.68,48.87,44.66,199418500.0
2015-02-01,49.03,55.61,49.01,55.33,50.56,189321900.0
2015-03-01,55.33,56.69,53.92,54.79,50.07,166520200.0
2015-03-10,,,,,,
2015-04-01,54.61,58.73,54.23,56.29,51.55,149679200.0
2015-05-01,56.9,60.7,56.8,58.61,53.68,131107100.0
2015-06-01,58.91,63.7,58.33,61.82,56.62,200104300.0
2015-06-09,,,,,,
2015-07-01,62.76,64.93,60.85,64.12,58.85,128150500.0
2015-08-01,64.23,64.71,54.0,60.34,55.38,212210400.0
2015-09-01,58.97,60.09,55.3,56.82,52.15,158898900.0
2015-09-10,,,,,,
2015-10-01,57.19,64.0,55.24,63.06,58.15,157250000.0
2015-11-01,63.44,64.2,59.04,63.58,58.63,201041800.0
2015-12-01,63.89,64.31,57.94,61.97,57.15,197248900.0
2015-12-03,,,,,,
2016-01-01,60.66,61.07,53.49,56.48,52.31,201166700.0
2016-02-01,55.82,56.82,50.2,50.2,46.5,232998900.0
2016-03-01,50.63,54.9,50.39,54.05,50.06,171448800.0
2016-03-10,,,,,,
2016-04-01,53.86,56.91,52.81,55.82,52.03,128550500.0
2016-05-01,56.38,58.59,54.38,57.88,53.95,152708400.0
2016-06-01,57.88,57.9,48.41,52.89,49.29,162600900.0
2016-06-09,,,,,,
2016-07-01,52.65,54.92,50.2,54.44,51.03,104184700.0
2016-08-01,54.46,59.89,53.93,59.83,56.08,112792700.0
2016-09-01,59.91,59.99,57.54,59.34,55.62,146880400.0
2016-09-13,,,,,,
2016-10-01,59.19,62.03,58.49,61.7,58.15,109328200.0
2016-11-01,61.77,64.72,57.35,63.33,59.68,163000900.0
2016-12-01,63.66,67.03,63.6,65.31,61.55,110659900.0
2016-12-06,,,,,,
2017-01-01,65.95,67.47,64.02,64.26,60.86,111265400.0
2017-02-01,64.75,66.93,60.41,63.92,60.54,154471900.0
2017-03-01,64.73,64.9,59.89,62.43,59.13,158646700.0
2017-03-13,,,,,,
2017-04-01,62.43,62.77,58.71,60.91,57.98,120557500.0
2017-05-01,61.19,64.32,60.92,63.63,60.57,185054400.0
2017-06-01,63.81,64.53,62.28,62.52,59.52,107734000.0
2017-06-12,,,,,,
2017-07-01,62.82,66.03,62.46,65.45,62.62,76782500.0
2017-08-01,65.73,67.3,60.02,60.48,57.86,109000600.0
2017-09-01,60.58,61.88,57.9,61.39,58.73,120633500.0
2017-09-14,,,,,,
2017-10-01,61.72,65.55,61.0,64.61,62.14,101345400.0
2017-11-01,64.92,65.3,58.52,60.06,57.77,177095600.0
2017-12-01,60.07,60.67,57.85,59.58,57.3,88703300.0
2017-12-07,,,,,,
2018-01-01,60.0,65.05,59.12,63.92,61.81,126881100.0
2018-02-01,63.74,64.28,57.34,57.34,55.44,162595300.0
2018-03-01,57.34,58.25,53.34,54.42,52.62,172084400.0
2018-03-14,,,,,,
2018-04-01,54.23,56.79,52.42,56.0,54.46,102578800.0
2018-05-01,55.9,56.33,49.57,52.79,51.34,153792700.0
2018-06-01,53.41,55.81,52.25,53.02,51.56,111796900.0
2018-06-13,,,,,,
2018-07-01,52.84,55.8,52.53,55.21,54.01,73172800.0
2018-08-01,55.53,56.36,51.24,53.17,52.01,111467800.0
2018-09-01,52.77,54.97,51.76,53.24,52.08,87729200.0
2018-09-14,,,,,,
2018-10-01,53.44,54.44,39.29,41.29,40.64,180575200.0
2018-11-01,43.36,45.0,41.21,43.25,42.57,157684100.0
2018-12-01,43.84,44.07,36.16,39.41,38.79,190772200.0
2018-12-11,,,,,,
2019-01-01,38.9,44.17,38.67,43.23,42.91,98217800.0
2019-02-01,43.45,44.74,40.0,43.2,42.88,145822200.0
2019-03-01,43.48,45.0,41.11,43.06,42.75,101702100.0
2019-03-14,,,,,,
2019-04-01,43.52,46.95,43.34,46.05,46.05,71809000.0
2019-04-26,45.2,46.09,44.94,46.05,46.05,3070322.0
