Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,30.86,32.18,30.47,31.48,26.72,21970500.0
2014-05-14,,,,,,
2014-05-16,,,,,,
2014-05-20,,,,,,
2014-06-01,31.48,32.76,31.08,32.27,27.62,20669100.0
2014-06-05,,,,,,
2014-06-11,,,,,,
2014-07-01,32.28,34.48,31.96,34.18,29.26,21151700.0
2014-08-01,34.04,34.4,33.0,34.27,29.33,19369800.0
2014-08-13,,,,,,
2014-09-01,34.28,34.87,31.51,31.82,27.45,18297000.0
2014-10-01,31.81,35.83,31.62,35.79,30.87,31032900.0
2014-11-01,35.91,37.79,35.66,37.25,32.13,26501500.0
2014-11-12,,,,,,
2014-12-01,37.25,38.53,35.57,37.15,32.28,27736500.0
2015-01-01,37.33,41.55,37.24,39.86,34.63,34072300.0
2015-02-01,39.85,40.6,36.83,37.68,32.74,26588500.0
2015-02-11,,,,,,
2015-03-01,37.64,41.33,36.59,39.36,34.45,21907900.0
2015-04-01,39.35,39.43,37.08,37.73,33.02,23124100.0
2015-05-01,38.03,39.66,37.21,37.93,33.2,26134700.0
2015-05-13,,,,,,
2015-06-01,38.0,38.75,36.52,36.93,32.58,24578100.0
2015-07-01,37.04,40.43,36.79,39.08,34.48,27329900.0
2015-08-01,39.26,40.36,35.52,36.03,31.79,27441800.0
2015-08-12,,,,,,
2015-09-01,35.33,37.09,34.71,37.02,32.91,29728700.0
2015-10-01,37.21,40.83,36.35,39.19,34.83,24593500.0
2015-11-01,39.17,40.03,35.88,38.11,33.87,24676300.0
2015-11-16,,,,,,
2015-12-01,38.28,40.68,37.17,40.03,35.88,25508200.0
2016-01-01,39.47,40.84,36.51,39.15,35.09,28180600.0
2016-02-01,38.87,40.05,34.97,36.61,32.81,35606500.0
2016-02-17,,,,,,
2016-03-01,36.91,41.95,36.74,41.82,37.82,19345500.0
2016-04-01,41.65,42.43,39.41,40.06,36.23,23344900.0
2016-05-01,40.17,43.62,40.11,42.65,38.57,19513300.0
2016-05-18,,,,,,
2016-06-01,42.25,44.16,39.14,44.16,40.25,29050900.0
2016-07-01,44.42,46.42,43.45,45.97,41.9,23224200.0
2016-08-01,45.72,46.42,43.46,45.18,41.18,27236000.0
2016-08-17,,,,,,
2016-09-01,45.1,47.91,43.22,45.91,42.16,28769100.0
2016-10-01,45.69,45.69,41.39,44.07,40.47,30588400.0
2016-11-01,43.99,45.02,39.66,42.1,38.66,35572600.0
2016-11-16,,,,,,
2016-12-01,42.08,45.59,41.08,42.31,39.17,28454500.0
2017-01-01,45.69,45.73,43.35,44.07,40.8,18457200.0
2017-02-01,43.85,46.86,43.19,46.53,43.08,17532000.0
2017-02-15,,,,,,
2017-03-01,46.24,46.46,42.84,44.35,41.39,26624800.0
2017-04-01,44.32,45.12,43.16,43.74,40.82,31055500.0
2017-05-01,43.61,44.04,42.22,42.92,40.05,25371700.0
2017-05-17,,,,,,
2017-06-01,42.83,45.0,42.19,42.97,40.44,25542100.0
2017-07-01,43.15,45.58,41.87,45.55,42.87,24532300.0
2017-08-01,45.62,46.39,44.76,45.33,42.66,21664200.0
2017-08-16,,,,,,
2017-09-01,45.35,46.72,43.48,43.86,41.61,17336400.0
2017-10-01,43.9,45.54,43.19,43.98,41.72,18574400.0
2017-11-01,44.08,45.64,43.31,44.09,41.82,19992500.0
2017-11-16,,,,,,
2017-12-01,44.23,44.48,42.9,43.71,41.8,19143700.0
2018-01-01,43.79,43.82,40.36,41.84,40.01,20359900.0
2018-02-01,41.91,42.14,37.97,38.66,36.97,27354700.0
2018-02-15,,,,,,
2018-03-01,38.49,41.04,38.17,40.75,39.36,26531100.0
2018-04-01,40.75,41.53,38.93,40.6,39.21,20998100.0
2018-05-01,40.63,41.57,38.54,40.83,39.43,19686900.0
2018-05-17,,,,,,
2018-06-01,40.84,42.69,40.59,42.3,41.25,20756900.0
2018-07-01,42.26,43.16,41.18,42.65,41.59,16045800.0
2018-08-01,42.36,44.45,41.28,43.8,42.72,17044700.0
2018-08-16,,,,,,
2018-09-01,43.64,44.9,43.22,44.13,43.41,18721100.0
2018-10-01,44.13,44.46,41.73,43.04,42.34,28140300.0
2018-11-01,43.08,47.17,42.67,47.09,46.33,25929800.0
2018-11-15,,,,,,
2018-12-01,47.16,47.66,42.09,43.88,43.53,38529000.0
2019-01-01,43.47,49.71,42.06,49.52,49.13,25364900.0
2019-02-01,49.65,50.09,48.39,48.93,48.54,28884400.0
2019-02-21,,,,,,
2019-03-01,48.95,50.89,48.43,50.29,50.29,26862000.0
2019-04-01,50.29,51.25,47.55,49.51,49.51,19093200.0
2019-04-26,49.37,49.66,49.1,49.51,49.51,538238.0
