Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,72.24,73.1,72.08,73.0,73.0,919000
2019-04-02,73.0,73.05,72.22,72.73,72.73,1226600
2019-04-03,73.19,73.78,72.73,73.45,73.45,704500
2019-04-04,73.61,73.71,72.33,73.39,73.39,567100
2019-04-05,73.56,74.08,73.36,74.07,74.07,840400
2019-04-08,73.98,74.5,73.47,74.47,74.47,582800
2019-04-09,74.16,74.6,74.16,74.32,74.32,839200
2019-04-10,74.34,75.42,74.34,75.09,75.09,1040500
2019-04-11,75.1,75.74,74.77,75.43,75.43,632600
2019-04-12,75.8,77.1,75.63,77.05,77.05,1576400
2019-04-15,76.77,77.0,75.59,76.65,76.65,1447800
2019-04-16,77.13,77.19,76.32,76.61,76.61,1039800
2019-04-17,77.0,77.25,75.75,76.03,76.03,1047800
2019-04-18,75.6,75.7,74.86,75.34,75.34,1185700
2019-04-22,75.52,76.77,75.52,76.69,76.69,820600
2019-04-23,76.87,77.73,76.45,77.66,77.66,883600
2019-04-24,77.96,78.7,77.92,78.14,78.14,808900
2019-04-25,78.15,78.8,77.02,78.61,78.61,967300
