Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,47.22,50.04,46.62,49.23,45.17,25357200.0
2014-05-16,,,,,,
2014-05-21,,,,,,
2014-06-01,49.36,50.49,46.12,47.53,44.06,33623600.0
2014-07-01,47.62,50.14,43.88,43.97,40.77,38956300.0
2014-07-10,,,,,,
2014-08-01,43.66,47.36,41.84,46.34,42.96,24016100.0
2014-08-15,,,,,,
2014-09-01,46.34,48.25,43.19,43.54,40.48,21440100.0
2014-10-01,43.14,53.8,40.69,53.23,49.49,44332200.0
2014-11-01,53.22,59.97,53.11,59.03,54.88,23564700.0
2014-11-14,,,,,,
2014-12-01,58.53,60.94,54.54,59.76,55.68,31295600.0
2015-01-01,60.54,71.4,57.71,67.87,63.24,33212800.0
2015-02-01,67.7,68.0,61.35,63.65,59.31,32960000.0
2015-02-20,,,,,,
2015-03-01,64.4,69.42,62.77,66.18,61.86,26671900.0
2015-04-01,65.33,68.68,61.54,64.06,59.88,26289100.0
2015-05-01,64.48,68.27,62.15,64.64,60.42,22440900.0
2015-05-19,,,,,,
2015-06-01,65.01,67.48,58.15,64.43,60.41,34032400.0
2015-07-01,65.55,77.8,62.59,75.75,71.02,32104800.0
2015-08-01,76.14,82.15,58.92,76.24,71.48,27960300.0
2015-08-14,,,,,,
2015-09-01,73.65,82.78,73.65,79.45,74.68,30206400.0
2015-10-01,78.88,81.7,72.89,76.25,71.67,36983100.0
2015-11-01,76.54,82.21,74.82,79.73,74.94,20196800.0
2015-11-13,,,,,,
2015-12-01,79.84,87.17,79.62,80.51,75.87,25543600.0
2016-01-01,79.16,79.29,64.18,70.4,66.34,35543000.0
2016-02-01,70.05,75.51,61.58,73.9,69.64,24622500.0
2016-02-19,,,,,,
2016-03-01,74.2,83.09,73.96,82.02,77.59,25767600.0
2016-04-01,81.26,83.26,70.12,70.43,66.62,35815100.0
2016-05-01,70.56,71.0,64.43,66.4,62.81,59575900.0
2016-05-20,,,,,,
2016-06-01,66.4,67.95,54.51,58.29,55.37,42049800.0
2016-07-01,58.24,68.85,56.45,67.22,63.86,37752700.0
2016-08-01,67.35,68.48,64.25,67.53,64.15,25498300.0
2016-08-16,,,,,,
2016-09-01,67.81,71.63,64.19,65.86,62.83,26204400.0
2016-10-01,65.6,75.31,65.6,72.22,68.89,25452500.0
2016-11-01,72.24,83.47,69.12,82.27,78.48,21637900.0
2016-11-10,,,,,,
2016-12-01,81.9,91.89,80.72,88.73,84.96,26820600.0
2017-01-01,88.92,96.27,86.22,93.82,89.84,26658900.0
2017-02-01,93.83,98.89,92.37,97.82,93.67,22823100.0
2017-02-16,,,,,,
2017-02-17,,,,,,
2017-03-01,98.04,101.43,89.0,92.22,88.85,33576800.0
2017-04-01,92.42,92.59,83.76,85.09,81.98,27335400.0
2017-05-01,85.34,87.34,82.03,87.05,83.87,31190000.0
2017-05-19,,,,,,
2017-06-01,87.26,93.16,87.04,89.76,86.8,24696000.0
2017-07-01,90.27,95.75,83.41,85.23,82.42,24656600.0
2017-08-01,85.9,87.17,73.29,74.66,72.2,28483000.0
2017-08-18,,,,,,
2017-09-01,75.1,78.44,71.17,76.27,74.03,33871500.0
2017-10-01,76.3,82.68,64.77,66.03,64.09,48251000.0
2017-11-01,65.65,70.51,61.1,69.17,67.14,38959500.0
2017-11-20,,,,,,
2017-12-01,69.1,76.06,66.5,73.51,71.67,33136200.0
2018-01-01,74.04,75.46,59.25,65.73,64.09,62942400.0
2018-02-01,65.54,67.5,61.08,64.5,62.89,54723700.0
2018-02-16,,,,,,
2018-03-01,64.29,69.16,61.2,61.96,60.71,41143700.0
2018-04-01,61.67,70.25,57.6,64.93,63.62,51570700.0
2018-05-01,65.06,65.71,57.53,60.81,59.58,48739800.0
2018-05-21,,,,,,
2018-06-01,61.0,64.86,59.53,60.39,59.5,42138200.0
2018-07-01,60.17,65.76,57.97,62.83,61.9,43310000.0
2018-08-01,62.55,68.09,60.04,67.49,66.49,29244700.0
2018-08-20,,,,,,
2018-09-01,67.68,70.75,66.07,68.86,68.18,25861900.0
2018-10-01,68.71,69.14,59.55,61.42,60.81,43354900.0
2018-11-01,61.72,74.83,61.72,73.26,72.53,32949000.0
2018-11-19,,,,,,
2018-12-01,73.88,74.57,57.42,60.85,60.53,41147100.0
2019-01-01,59.93,66.6,57.28,63.95,63.61,34694000.0
2019-02-01,64.17,67.64,60.97,61.7,61.38,23269300.0
2019-02-15,,,,,,
2019-03-01,61.86,62.02,53.39,56.12,56.12,48631800.0
2019-04-01,56.3,62.1,56.11,60.62,60.62,28537900.0
2019-04-26,59.1,60.99,58.7,60.62,60.62,2407165.0
