Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,56.3,57.89,56.11,57.32,57.32,1950700
2019-04-02,58.19,58.52,57.12,58.14,58.14,1563400
2019-04-03,58.64,59.06,57.72,57.79,57.79,1923000
2019-04-04,57.94,58.39,57.13,57.82,57.82,1055800
2019-04-05,57.99,58.85,57.99,58.54,58.54,1010800
2019-04-08,58.19,58.63,57.82,58.33,58.33,988700
2019-04-09,58.01,58.31,57.54,57.84,57.84,1026700
2019-04-10,58.66,59.04,57.72,58.78,58.78,1838400
2019-04-11,58.92,60.57,58.86,59.71,59.71,2174200
2019-04-12,60.39,61.09,59.77,60.63,60.63,1988600
2019-04-15,60.82,60.82,59.82,60.06,60.06,1065800
2019-04-16,60.3,61.11,60.19,60.97,60.97,1040700
2019-04-17,61.87,62.1,61.07,61.38,61.38,1156800
2019-04-18,61.29,61.75,60.7,61.67,61.67,976600
2019-04-22,61.16,61.2,60.05,60.3,60.3,2194100
2019-04-23,60.27,61.23,60.18,60.89,60.89,1118900
2019-04-24,60.99,61.55,60.28,60.8,60.8,985600
2019-04-25,60.79,61.25,58.25,59.17,59.17,1959900
