Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,51.0,53.86,47.98,52.39,50.38,12541700.0
2014-06-01,52.77,58.29,51.3,56.68,54.5,17347000.0
2014-06-12,,,,,,
2014-07-01,56.77,57.87,49.93,51.43,49.53,9949200.0
2014-08-01,51.43,53.41,48.83,51.43,49.53,11704900.0
2014-09-01,51.53,52.88,47.31,47.64,45.88,15078800.0
2014-09-12,,,,,,
2014-10-01,47.44,54.57,43.81,53.09,51.2,21957700.0
2014-11-01,53.16,54.88,51.79,53.85,51.94,11729800.0
2014-12-01,53.79,56.06,52.96,55.46,53.49,11489500.0
2014-12-12,,,,,,
2015-01-01,55.49,56.46,52.33,54.01,52.17,16857000.0
2015-02-01,54.3,59.5,53.43,57.73,55.76,15887100.0
2015-03-01,57.77,61.97,57.11,61.17,59.08,12817900.0
2015-03-13,,,,,,
2015-04-01,60.98,62.54,58.78,61.15,59.16,13126100.0
2015-05-01,60.62,63.42,60.18,62.44,60.41,13654800.0
2015-06-01,62.47,63.04,59.8,60.14,58.19,8157000.0
2015-06-12,,,,,,
2015-07-01,60.73,66.05,58.43,63.22,61.27,13729200.0
2015-08-01,63.22,64.86,54.34,60.51,58.64,13193400.0
2015-09-01,57.17,62.82,55.62,57.66,55.88,10252500.0
2015-09-14,,,,,,
2015-10-01,57.95,67.5,57.05,65.17,63.26,16759200.0
2015-11-01,65.18,67.99,62.77,67.21,65.24,19670400.0
2015-12-01,67.34,68.08,63.64,65.92,63.99,12377900.0
2015-12-14,,,,,,
2016-01-01,64.88,65.4,55.53,60.56,58.88,15328500.0
2016-02-01,60.0,64.5,52.95,63.0,61.25,25865800.0
2016-03-01,63.58,65.36,62.43,63.71,61.94,13747900.0
2016-03-14,,,,,,
2016-04-01,63.47,66.91,63.08,65.45,63.75,14649800.0
2016-05-01,65.49,68.61,64.8,67.64,65.88,12545100.0
2016-06-01,67.48,69.69,63.45,69.43,67.63,13998500.0
2016-06-13,,,,,,
2016-07-01,69.3,73.49,67.46,72.39,70.64,10685700.0
2016-08-01,71.74,73.22,70.67,71.22,69.49,12168600.0
2016-09-01,71.32,72.75,65.83,68.91,67.24,14462000.0
2016-09-13,,,,,,
2016-10-01,68.66,69.5,61.47,63.84,62.4,18000300.0
2016-11-01,63.91,69.95,62.92,66.91,65.4,18175300.0
2016-12-01,66.97,67.32,63.71,64.0,62.56,13782300.0
2016-12-13,,,,,,
2017-01-01,64.64,68.54,63.81,65.67,64.31,16468200.0
2017-02-01,65.94,75.0,65.06,72.59,71.09,17099900.0
2017-03-01,73.67,76.29,72.45,75.7,74.13,14246400.0
2017-03-13,,,,,,
2017-04-01,75.88,82.0,73.93,78.64,77.18,14588600.0
2017-05-01,78.7,79.99,75.85,78.63,77.17,19867600.0
2017-06-01,79.02,82.77,76.47,81.12,79.61,12450900.0
2017-06-13,,,,,,
2017-07-01,81.57,82.9,77.62,81.24,79.89,10102000.0
2017-08-01,81.63,82.62,76.79,78.71,77.41,9716600.0
2017-09-01,79.03,86.89,78.85,86.47,85.04,12792100.0
2017-09-15,,,,,,
2017-10-01,86.56,89.81,78.63,83.39,82.17,18492800.0
2017-11-01,83.58,84.63,81.22,84.14,82.91,12897000.0
2017-12-01,84.23,85.76,78.67,79.56,78.39,14149500.0
2017-12-15,,,,,,
2018-01-01,80.07,87.07,79.19,86.11,85.01,15473200.0
2018-02-01,85.84,88.41,76.15,84.11,83.04,18392800.0
2018-03-01,84.15,87.99,80.59,85.29,84.2,12832600.0
2018-03-14,,,,,,
2018-04-01,85.28,87.04,75.5,77.18,76.38,20725900.0
2018-05-01,77.23,79.75,73.85,76.43,75.64,20121500.0
2018-06-01,77.1,82.46,76.14,77.36,76.56,15038500.0
2018-06-14,,,,,,
2018-07-01,76.95,82.45,75.89,81.54,80.91,14701300.0
2018-08-01,81.54,88.4,80.24,87.22,86.54,11731100.0
2018-09-01,87.17,91.58,86.21,90.57,89.87,10139700.0
2018-09-14,,,,,,
2018-10-01,91.55,92.87,79.64,85.73,85.27,16927100.0
2018-11-01,86.14,92.89,85.99,91.59,91.09,13386300.0
2018-12-01,92.69,94.3,74.83,79.71,79.28,14319300.0
2018-12-14,,,,,,
2019-01-01,78.65,86.41,78.31,85.86,85.6,13521300.0
2019-02-01,86.0,93.85,85.22,89.96,89.69,16091900.0
2019-03-01,90.89,91.74,87.1,90.71,90.44,13936100.0
2019-03-14,,,,,,
2019-04-01,91.16,98.31,91.16,98.31,98.31,14595100.0
2019-04-26,96.71,98.31,95.44,98.31,98.31,542263.0
