Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,136.58,137.62,135.2,135.32,135.32,869900
2019-04-02,135.58,139.65,135.09,138.92,138.92,1516300
2019-04-03,139.66,140.18,138.37,139.99,139.99,1699700
2019-04-04,140.07,141.8,139.01,139.93,139.93,1189300
2019-04-05,139.97,141.65,139.66,141.2,141.2,1208300
2019-04-08,141.21,141.21,138.58,139.75,139.75,929000
2019-04-09,139.17,140.35,137.21,137.65,137.65,992100
2019-04-10,138.02,141.86,137.35,141.3,141.3,1148900
2019-04-11,141.38,141.59,137.24,137.42,137.42,947500
2019-04-12,138.4,139.39,135.83,136.2,136.2,990500
2019-04-15,136.87,137.93,135.39,137.49,137.49,855400
2019-04-16,138.15,139.95,136.58,136.94,136.94,1172900
2019-04-17,137.32,137.77,124.4,125.91,125.91,3077700
2019-04-18,126.66,128.22,122.68,126.01,126.01,2094900
2019-04-22,126.48,129.29,126.1,128.96,128.96,1245600
2019-04-23,128.68,133.23,128.15,132.37,132.37,1488700
2019-04-24,132.0,133.89,127.7,130.09,130.09,1250800
2019-04-25,131.0,135.81,128.93,135.68,135.68,1739500
