Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,19.11,20.64,18.48,20.19,18.56,310582900.0
2014-05-20,,,,,,
2014-06-01,19.99,23.22,19.97,22.55,20.84,297899500.0
2014-07-01,22.69,23.46,20.81,20.96,19.37,299409100.0
2014-08-01,20.94,23.16,20.48,23.11,21.35,235196500.0
2014-08-19,,,,,,
2014-09-01,22.89,23.06,21.39,21.61,20.06,216504600.0
2014-10-01,21.66,22.35,18.63,22.09,20.5,412999800.0
2014-11-01,22.19,24.15,21.91,24.05,22.32,208619200.0
2014-11-18,,,,,,
2014-12-01,24.04,25.71,23.12,24.92,23.23,277428700.0
2015-01-01,24.99,25.16,22.79,22.84,21.29,277533200.0
2015-02-01,22.92,25.57,22.29,25.05,23.35,292206600.0
2015-02-13,,,,,,
2015-03-01,24.94,25.64,21.8,22.56,21.12,352591700.0
2015-04-01,22.53,22.71,19.63,19.79,18.53,638986600.0
2015-05-01,19.93,20.6,19.17,20.13,18.85,425546300.0
2015-05-19,,,,,,
2015-06-01,20.03,20.59,19.06,19.22,18.08,324109900.0
2015-07-01,19.34,19.72,17.13,17.36,16.33,359212200.0
2015-08-01,17.46,17.69,14.25,16.09,15.14,400498800.0
2015-08-18,,,,,,
2015-09-01,15.68,16.31,14.29,14.69,13.9,348168100.0
2015-10-01,14.72,16.83,14.44,16.77,15.87,362443600.0
2015-11-01,16.79,18.92,16.5,18.77,17.76,237761800.0
2015-11-17,,,,,,
2015-12-01,18.74,19.41,17.82,18.67,17.77,284361000.0
2016-01-01,18.31,18.63,15.85,17.65,16.8,364027700.0
2016-02-01,17.45,19.23,15.44,18.87,17.96,270422200.0
2016-02-23,,,,,,
2016-03-01,19.09,21.41,18.76,21.18,20.27,259210700.0
2016-04-01,20.99,21.67,20.17,20.47,19.59,220128700.0
2016-05-01,20.5,24.58,19.46,24.42,23.37,318122600.0
2016-05-24,,,,,,
2016-06-01,24.3,24.65,22.17,23.97,23.04,312352100.0
2016-07-01,23.77,27.11,23.49,26.29,25.27,220495200.0
2016-08-01,26.41,30.27,25.68,29.84,28.68,293169400.0
2016-08-23,,,,,,
2016-09-01,29.94,31.07,28.53,30.15,29.08,290788100.0
2016-10-01,30.18,30.4,27.56,29.08,28.05,239761300.0
2016-11-01,29.11,32.54,28.02,32.2,31.06,252037500.0
2016-11-22,,,,,,
2016-12-01,32.14,33.68,29.85,32.27,31.22,205512400.0
2017-01-01,32.36,35.15,31.66,34.25,33.14,183009000.0
2017-02-01,34.59,36.82,34.5,36.22,35.04,202694400.0
2017-02-17,,,,,,
2017-02-20,,,,,,
2017-03-01,36.52,39.81,36.33,38.9,37.85,196209500.0
2017-04-01,38.99,41.82,37.41,40.61,39.51,145366600.0
2017-05-01,40.98,46.04,40.85,45.88,44.64,230868800.0
2017-05-23,,,,,,
2017-06-01,45.97,47.86,40.79,41.31,40.29,244071400.0
2017-07-01,41.33,47.59,40.98,44.31,43.21,194338500.0
2017-08-01,44.39,45.49,41.94,45.12,44.0,226558800.0
2017-08-22,,,,,,
2017-09-01,45.19,52.28,43.87,52.09,50.92,224927600.0
2017-10-01,52.21,56.82,50.77,56.43,55.16,214988600.0
2017-11-01,57.0,60.89,51.59,52.77,51.58,228862600.0
2017-11-22,,,,,,
2017-12-01,52.0,54.25,48.25,51.12,50.05,240811900.0
2018-01-01,51.68,58.73,51.22,53.63,52.51,261482000.0
2018-02-01,53.16,59.0,45.13,57.59,56.39,337379000.0
2018-02-20,,,,,,
2018-03-01,57.54,62.4,53.73,55.61,54.55,323026600.0
2018-04-01,55.27,58.4,47.74,49.67,48.72,274419500.0
2018-05-01,49.74,56.94,48.53,50.78,49.81,326028700.0
2018-05-23,,,,,,
2018-06-01,51.3,53.23,44.57,46.19,45.49,300989700.0
2018-07-01,45.1,49.48,44.74,48.63,47.89,215355400.0
2018-08-01,48.89,50.39,42.52,43.02,42.37,276459200.0
2018-08-22,,,,,,
2018-09-01,42.84,43.0,37.39,38.65,38.24,247698300.0
2018-10-01,38.5,39.65,30.53,32.88,32.53,321299800.0
2018-11-01,32.98,37.28,32.07,37.28,36.88,260792300.0
2018-11-21,,,,,,
2018-12-01,38.3,38.64,28.79,32.74,32.57,264368600.0
2019-01-01,32.04,40.0,31.48,39.08,38.88,249005200.0
2019-02-01,39.08,41.24,37.92,38.34,38.14,221789600.0
2019-02-20,,,,,,
2019-03-01,38.66,41.99,36.8,39.66,39.66,209343000.0
2019-04-01,40.3,45.75,40.21,44.66,44.66,150043800.0
2019-04-26,43.6,44.71,43.33,44.66,44.66,6461879.0
