Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,52.55,53.91,51.4,53.08,51.3,15927900.0
2014-06-01,53.06,54.5,52.24,52.28,50.52,15300100.0
2014-06-12,,,,,,
2014-07-01,52.51,53.27,48.6,48.69,47.13,19159000.0
2014-08-01,48.57,53.27,47.95,52.94,51.25,20218200.0
2014-09-01,53.13,53.49,50.18,50.21,48.6,18290700.0
2014-09-12,,,,,,
2014-10-01,49.98,52.15,45.12,52.15,50.57,32535000.0
2014-11-01,52.13,52.4,46.92,50.96,49.41,32920700.0
2014-12-01,50.71,54.25,48.37,52.63,51.03,25169900.0
2014-12-03,,,,,,
2015-01-01,52.76,52.87,47.85,47.9,46.53,26367500.0
2015-02-01,48.18,53.49,47.96,53.14,51.62,21852100.0
2015-03-01,53.14,54.0,51.16,52.54,51.04,23933200.0
2015-03-13,,,,,,
2015-04-01,52.19,53.63,51.23,52.42,51.01,21410900.0
2015-05-01,52.6,55.56,51.97,53.76,52.31,21130800.0
2015-06-01,53.99,55.29,52.99,54.78,53.3,21551800.0
2015-06-12,,,,,,
2015-07-01,55.13,56.05,51.85,53.05,51.71,29873400.0
2015-08-01,53.17,57.67,50.55,53.82,52.46,34374500.0
2015-09-01,52.65,54.51,50.64,52.32,50.99,26103200.0
2015-09-14,,,,,,
2015-10-01,52.43,56.53,50.97,54.82,53.52,33472300.0
2015-11-01,54.87,57.0,53.56,56.46,55.12,20552000.0
2015-12-01,56.62,56.93,52.81,53.59,52.32,33261500.0
2015-12-02,,,,,,
2016-01-01,52.86,52.93,45.09,47.05,46.01,33784800.0
2016-02-01,46.58,47.16,42.82,46.41,45.38,40639100.0
2016-03-01,46.69,50.65,46.55,49.98,48.87,28916800.0
2016-03-15,,,,,,
2016-04-01,49.82,52.61,47.21,48.09,47.11,32645500.0
2016-05-01,48.11,48.72,46.0,47.82,46.85,31771900.0
2016-06-01,47.68,49.36,43.28,46.23,45.29,33126800.0
2016-06-14,,,,,,
2016-07-01,46.26,48.23,44.49,47.03,46.16,26953100.0
2016-08-01,46.95,50.27,43.3,48.75,47.85,40536100.0
2016-09-01,48.79,49.41,46.63,47.78,46.9,30018800.0
2016-09-14,,,,,,
2016-10-01,47.59,48.3,43.99,44.1,43.37,35403600.0
2016-11-01,45.0,48.44,43.98,47.35,46.56,69993700.0
2016-12-01,47.72,51.26,47.52,48.6,47.79,43425400.0
2016-12-05,,,,,,
2017-01-01,49.04,52.83,48.55,51.1,50.35,31380800.0
2017-02-01,51.35,55.48,50.44,53.97,53.17,42877500.0
2017-03-01,54.75,55.37,52.42,54.08,53.28,33490000.0
2017-03-15,,,,,,
2017-04-01,54.09,57.59,53.19,57.2,56.45,28750100.0
2017-05-01,57.39,61.37,56.66,61.02,60.22,36134100.0
2017-06-01,61.2,62.89,59.56,60.57,59.78,26565900.0
2017-06-14,,,,,,
2017-07-01,61.0,62.31,60.5,61.58,60.86,17064500.0
2017-08-01,61.74,64.97,60.95,63.25,62.51,20176500.0
2017-09-01,63.3,66.7,62.82,66.04,65.27,19731600.0
2017-09-14,,,,,,
2017-10-01,66.0,70.26,65.65,67.49,66.8,20534400.0
2017-11-01,67.94,73.06,66.92,72.69,71.94,34774600.0
2017-12-01,72.6,73.06,70.57,72.47,71.72,20621100.0
2017-12-05,,,,,,
2018-01-01,72.89,78.16,72.14,76.3,75.61,23506200.0
2018-02-01,77.31,79.1,71.16,75.74,75.06,28187300.0
2018-03-01,75.75,79.32,73.19,75.97,75.28,20671100.0
2018-03-15,,,,,,
2018-04-01,75.97,77.2,69.79,69.8,69.29,24551700.0
2018-05-01,69.74,76.69,68.57,73.03,72.5,38930700.0
2018-06-01,73.77,76.21,71.04,72.16,71.64,23776700.0
2018-06-14,,,,,,
2018-07-01,71.46,78.01,70.79,77.8,77.38,21135000.0
2018-08-01,77.85,77.89,74.5,76.96,76.54,23251600.0
2018-09-01,76.74,81.92,75.93,79.12,78.69,21937600.0
2018-09-13,,,,,,
2018-10-01,79.67,80.32,64.91,67.08,66.83,33667500.0
2018-11-01,69.82,75.55,69.82,73.43,73.16,38263500.0
2018-12-01,74.66,76.32,63.14,67.7,67.45,31898700.0
2018-12-06,,,,,,
2019-01-01,66.74,72.95,65.42,72.9,72.77,25086500.0
2019-02-01,73.19,80.41,72.66,79.58,79.44,29909300.0
2019-03-01,79.96,83.12,77.91,82.97,82.83,25889500.0
2019-03-14,,,,,,
2019-04-01,83.72,87.77,83.41,87.3,87.3,16214100.0
2019-04-26,85.99,87.34,85.72,87.3,87.3,937166.0
