Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,108.13,111.51,107.82,111.39,111.39,439800
2019-04-02,111.63,111.83,110.52,111.37,111.37,409700
2019-04-03,112.57,113.59,112.26,113.42,113.42,529300
2019-04-04,113.44,114.73,113.1,114.11,114.11,306400
2019-04-05,114.4,115.75,113.61,115.53,115.53,424500
2019-04-08,115.31,115.58,113.77,114.1,114.1,560500
2019-04-09,113.32,113.43,109.79,109.96,109.96,659400
2019-04-10,109.91,110.54,107.59,110.51,110.51,871900
2019-04-11,111.18,112.64,110.29,110.45,110.45,439500
2019-04-12,112.25,113.54,111.45,112.34,112.34,402600
2019-04-15,112.48,113.05,110.58,111.04,111.04,406600
2019-04-16,111.55,112.56,111.52,112.53,112.53,617000
2019-04-17,112.74,113.37,112.06,112.39,112.39,386500
2019-04-18,112.43,113.83,111.48,113.64,113.64,420300
2019-04-22,113.43,114.4,113.0,113.35,113.35,324100
2019-04-23,113.42,114.64,112.32,114.48,114.48,514000
2019-04-24,113.87,114.05,113.09,113.17,113.17,302900
2019-04-25,113.07,113.07,111.13,112.09,112.09,299200
