Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,191.14,192.56,190.51,191.77,191.77,2660500
2019-04-02,191.81,192.82,191.2,192.43,192.43,2141800
2019-04-03,193.18,193.87,191.71,192.92,192.92,1948100
2019-04-04,192.85,194.43,190.99,192.33,192.33,1785900
2019-04-05,193.88,196.87,193.3,195.41,195.41,2163300
2019-04-08,194.53,195.31,192.56,194.88,194.88,1629800
2019-04-09,193.59,194.0,192.51,192.98,192.98,1872600
2019-04-10,194.15,195.0,192.34,193.89,193.89,1653200
2019-04-11,194.57,194.79,190.65,192.11,192.11,2082600
2019-04-12,193.02,193.48,190.79,191.42,191.42,2060800
2019-04-15,191.84,193.18,189.85,191.2,191.2,2038300
2019-04-16,192.27,192.57,187.44,188.05,188.05,2727300
2019-04-17,188.35,188.74,181.53,182.47,182.47,5242100
2019-04-18,183.24,183.49,176.85,177.47,177.47,8266600
2019-04-22,177.1,177.57,174.87,176.36,176.36,3215800
2019-04-23,176.94,180.65,175.75,179.76,179.76,3471700
2019-04-24,180.14,180.83,178.26,178.3,178.3,2711600
2019-04-25,177.08,181.02,175.92,180.48,180.48,2446200
