Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,84.05,90.0,83.7,89.63,81.32,37601800.0
2014-06-01,89.67,90.73,87.05,89.98,81.64,32108100.0
2014-06-13,,,,,,
2014-07-01,90.08,97.56,89.05,94.39,85.97,35240800.0
2014-08-01,94.47,99.9,93.88,98.6,89.8,39678400.0
2014-09-01,99.13,99.9,92.78,93.63,85.28,42435900.0
2014-09-19,,,,,,
2014-10-01,93.86,100.36,90.2,97.5,89.14,48858000.0
2014-11-01,95.83,106.31,95.72,105.01,96.0,38550600.0
2014-12-01,103.75,105.09,95.58,98.85,90.37,42336200.0
2014-12-12,,,,,,
2015-01-01,99.16,101.88,95.87,96.95,88.97,44553500.0
2015-02-01,96.95,100.8,94.05,99.14,90.98,73198600.0
2015-03-01,99.14,99.89,93.21,94.15,86.4,59132800.0
2015-04-01,96.26,98.64,93.5,94.53,86.75,46522500.0
2015-04-08,,,,,,
2015-05-01,94.65,95.77,92.1,92.79,85.53,51531700.0
2015-06-01,92.7,97.06,91.99,93.29,85.99,51551600.0
2015-06-15,,,,,,
2015-07-01,93.88,98.31,93.18,95.11,88.08,44431800.0
2015-08-01,95.25,101.54,89.39,92.19,85.38,59110100.0
2015-09-01,90.37,93.02,86.83,87.98,81.48,44988200.0
2015-09-21,,,,,,
2015-10-01,87.95,102.62,87.23,102.23,95.16,46330100.0
2015-11-01,102.81,104.12,96.0,99.38,92.5,33643600.0
2015-12-01,99.5,101.24,92.88,96.95,90.24,42755600.0
2015-12-14,,,,,,
2016-01-01,96.29,98.75,86.21,94.34,88.27,52976900.0
2016-02-01,93.6,93.9,83.07,92.2,86.27,57064400.0
2016-03-01,92.75,102.93,91.65,102.37,95.79,43932900.0
2016-04-01,101.93,106.75,101.87,104.88,98.14,40185400.0
2016-04-08,,,,,,
2016-05-01,105.0,107.24,103.11,105.78,99.46,31882200.0
2016-06-01,105.46,113.63,104.87,113.61,106.82,41757600.0
2016-06-15,,,,,,
2016-07-01,113.94,118.26,111.62,115.77,109.39,38510900.0
2016-08-01,115.87,117.25,112.29,113.38,107.14,36875300.0
2016-09-01,113.7,117.31,107.57,113.33,107.09,40945500.0
2016-09-28,,,,,,
2016-10-01,112.9,118.09,106.04,117.19,111.28,45879000.0
2016-11-01,117.19,117.46,100.41,102.27,97.11,72493000.0
2016-12-01,101.36,108.17,99.72,105.68,100.35,53513800.0
2016-12-23,,,,,,
2017-01-01,106.73,106.94,102.51,103.5,98.82,38619400.0
2017-02-01,103.6,115.69,102.91,114.79,109.6,41924600.0
2017-03-01,114.78,121.85,112.78,121.54,116.04,51609300.0
2017-04-01,121.43,126.36,120.44,125.94,120.24,44695300.0
2017-04-10,,,,,,
2017-05-01,126.56,137.12,125.5,131.19,125.89,43064900.0
2017-06-01,131.95,136.29,125.24,132.32,126.98,38443100.0
2017-06-15,,,,,,
2017-07-01,132.62,139.5,130.82,136.33,131.47,32459700.0
2017-08-01,136.23,148.71,135.51,148.05,142.77,32421500.0
2017-09-01,148.33,148.33,133.74,136.68,131.81,47085600.0
2017-09-28,,,,,,
2017-10-01,137.03,144.8,135.66,143.67,139.23,42974300.0
2017-11-01,144.25,155.28,140.23,143.93,139.48,44448500.0
2017-12-01,144.22,145.6,138.52,142.67,138.26,39883800.0
2017-12-27,,,,,,
2018-01-01,143.16,148.84,132.54,147.7,143.85,54481500.0
2018-02-01,148.02,149.36,130.37,139.33,135.7,61200400.0
2018-03-01,139.0,150.12,132.02,145.34,141.55,56051400.0
2018-04-01,145.73,146.99,133.53,136.36,132.81,50988700.0
2018-04-10,,,,,,
2018-05-01,137.07,141.01,133.85,138.37,135.47,46517100.0
2018-06-01,138.2,145.0,136.03,144.17,141.15,46073300.0
2018-06-18,,,,,,
2018-07-01,144.33,150.82,138.51,148.24,145.95,41106800.0
2018-08-01,147.67,151.92,147.19,149.12,146.82,31331600.0
2018-09-01,148.73,149.6,143.3,145.3,143.05,26875600.0
2018-09-27,,,,,,
2018-10-01,146.09,161.71,140.4,155.81,154.25,53085500.0
2018-11-01,156.54,167.09,149.24,164.49,162.84,45144600.0
2018-12-01,165.02,168.58,150.67,158.19,156.61,45714400.0
2018-12-26,,,,,,
2019-01-01,157.11,173.95,153.93,172.84,172.05,39712800.0
2019-02-01,173.15,178.69,168.88,176.15,175.34,34865400.0
2019-03-01,176.2,197.33,174.27,197.06,196.16,38621700.0
2019-04-01,197.54,198.19,189.42,193.21,192.33,32949600.0
2019-04-10,,,,,,
2019-04-26,192.46,193.35,191.64,193.21,193.21,853069.0
