Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,55.25,72.63,55.0,62.39,62.39,14333600
2014-07-01,66.97,80.53,62.51,66.12,66.12,8108400
2014-08-01,65.82,85.79,65.25,83.85,83.85,7962000
2014-09-01,85.14,94.84,80.8,88.33,88.33,8156000
2014-10-01,88.04,90.25,70.3,81.25,81.25,11699500
2014-11-01,84.75,89.89,72.66,75.87,75.87,11398600
2014-12-01,74.0,75.35,59.16,60.76,60.76,17872900
2015-01-01,60.76,66.87,60.16,63.12,63.12,8039700
2015-02-01,62.96,74.0,56.11,69.21,69.21,16264300
2015-03-01,69.0,74.52,66.93,70.53,70.53,17538200
2015-04-01,69.78,70.17,63.65,64.01,64.01,10558400
2015-05-01,64.08,69.91,63.16,69.91,69.91,12032200
2015-06-01,69.95,88.56,69.13,81.74,81.74,22080400
2015-07-01,82.6,88.25,76.62,84.47,84.47,12817100
2015-08-01,84.29,87.6,63.36,74.79,74.79,13463900
2015-09-01,73.3,78.77,60.1,61.19,61.19,22574400
2015-10-01,61.12,69.0,59.7,64.51,64.51,12216300
2015-11-01,62.5,75.0,58.77,73.52,73.52,14803900
2015-12-01,73.73,79.44,67.35,77.84,77.84,15004900
2016-01-01,77.85,79.22,58.35,60.03,60.03,15302500
2016-02-01,59.56,69.99,52.51,68.54,68.54,21759500
2016-03-01,68.77,69.27,55.0,63.1,63.1,22628200
2016-04-01,62.37,66.84,60.6,66.62,66.62,11399400
2016-05-01,67.05,73.58,61.85,73.29,73.29,17739500
2016-06-01,72.73,75.4,60.51,64.38,64.38,17382800
2016-07-01,64.56,71.91,62.21,71.27,71.27,13390700
2016-08-01,71.14,80.48,68.75,79.68,79.68,17910100
2016-09-01,79.93,86.35,78.16,85.08,85.08,14331900
2016-10-01,84.91,87.62,78.82,84.75,84.75,10169400
2016-11-01,84.37,96.84,79.05,94.81,94.81,18413600
2016-12-01,94.74,98.9,91.04,96.77,96.77,14149600
2017-01-01,97.54,103.0,87.33,94.0,94.0,17302200
2017-02-01,94.17,123.12,92.88,118.99,118.99,19085400
2017-03-01,120.0,134.65,117.95,132.27,132.27,17762300
2017-04-01,131.73,140.32,128.66,139.64,139.64,13048200
2017-05-01,139.51,148.6,135.21,147.38,147.38,20429500
2017-06-01,147.51,162.97,143.0,149.79,149.79,19079800
2017-07-01,151.06,159.0,144.19,149.29,149.29,12182700
2017-08-01,150.43,179.71,141.78,176.15,176.15,24108600
2017-09-01,176.77,193.24,169.61,189.61,189.61,14296000
2017-10-01,190.0,201.95,185.25,199.89,199.89,10545100
2017-11-01,201.41,245.65,177.92,233.12,233.12,22257600
2017-12-01,232.5,241.5,206.86,235.58,235.58,16205700
2018-01-01,235.58,284.76,226.76,275.82,275.82,16996000
2018-02-01,273.2,311.67,235.82,269.74,269.74,36213700
2018-03-01,270.64,301.31,243.17,255.3,255.3,26921000
2018-04-01,253.46,272.1,238.7,264.55,264.55,20210600
2018-05-01,264.55,272.54,235.24,251.56,251.56,22147000
2018-06-01,252.66,287.12,252.52,257.49,257.49,18721200
2018-07-01,254.98,281.2,252.25,255.73,255.73,12420900
2018-08-01,256.5,313.37,256.0,298.98,298.98,33138800
2018-09-01,288.9,294.0,261.79,265.86,265.86,19556200
2018-10-01,267.21,268.82,213.11,230.35,230.35,25018900
2018-11-01,232.77,269.49,210.55,238.48,238.48,18579000
2018-12-01,247.5,248.98,187.08,210.7,210.7,16387100
2019-01-01,205.0,233.16,199.21,214.78,214.78,15969700
2019-02-01,215.33,286.55,215.27,285.25,285.25,19741300
2019-03-01,287.6,316.67,266.63,314.46,314.46,17691400
2019-04-01,318.74,331.27,306.46,320.4,320.4,12894000
2019-04-26,317.09,322.25,316.23,320.4,320.4,572311
