Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,318.74,319.41,314.7,318.36,318.36,794600
2019-04-02,318.96,320.88,317.05,318.43,318.43,645600
2019-04-03,322.77,325.0,319.65,321.75,321.75,770600
2019-04-04,322.0,323.98,310.47,313.15,313.15,960800
2019-04-05,314.32,315.94,310.96,311.06,311.06,877000
2019-04-08,310.21,317.07,306.46,316.9,316.9,588700
2019-04-09,315.8,319.31,314.25,317.19,317.19,442600
2019-04-10,317.65,323.01,317.6,322.25,322.25,637300
2019-04-11,324.0,324.0,319.2,322.23,322.23,550800
2019-04-12,325.0,326.49,323.12,324.77,324.77,464900
2019-04-15,324.91,329.25,324.29,327.34,327.34,543700
2019-04-16,329.51,330.53,326.76,328.54,328.54,597900
2019-04-17,331.0,331.27,326.23,328.04,328.04,530200
2019-04-18,328.46,329.34,320.12,323.38,323.38,769800
2019-04-22,323.0,328.5,322.23,327.6,327.6,515500
2019-04-23,322.73,326.01,315.64,321.06,321.06,1103500
2019-04-24,321.15,328.26,321.15,325.23,325.23,784100
2019-04-25,323.57,324.61,314.4,318.11,318.11,703900
