Date,Open,High,Low,Close,Adj Close,Volume
2014-04-29,,,,,,
2014-05-01,84.66,90.06,84.15,89.94,84.9,31524600.0
2014-06-01,90.11,91.07,89.14,90.09,85.04,26259900.0
2014-07-01,90.19,91.28,84.32,84.36,79.63,25888300.0
2014-07-30,,,,,,
2014-08-01,84.24,87.72,83.06,87.16,82.51,27927800.0
2014-09-01,87.39,88.61,86.08,87.67,83.0,25073700.0
2014-10-01,87.49,88.01,78.26,86.0,81.42,43946700.0
2014-10-30,,,,,,
2014-11-01,86.19,92.7,85.88,92.49,87.83,21281400.0
2014-12-01,92.28,98.1,91.84,94.83,90.05,37087300.0
2015-01-01,95.49,96.3,89.35,90.05,85.51,23780200.0
2015-01-29,,,,,,
2015-02-01,90.36,107.08,89.65,100.36,95.56,26057200.0
2015-03-01,100.32,101.0,95.29,96.12,91.52,23731700.0
2015-04-01,95.84,99.03,95.32,96.23,91.63,21568500.0
2015-04-29,,,,,,
2015-05-01,96.88,103.4,96.67,101.22,96.68,30398000.0
2015-06-01,101.47,104.7,99.51,99.68,95.21,22615900.0
2015-07-01,100.94,103.38,98.33,100.77,96.25,20000800.0
2015-07-30,,,,,,
2015-08-01,100.79,103.12,89.27,93.44,89.51,27395600.0
2015-09-01,91.44,93.7,87.58,88.61,84.88,32135800.0
2015-10-01,88.74,94.93,86.38,93.31,89.38,25781800.0
2015-10-29,,,,,,
2015-11-01,93.37,95.75,91.75,94.74,91.04,26045100.0
2015-12-01,95.04,97.79,89.2,92.21,88.61,28094800.0
2016-01-01,90.71,91.45,83.83,87.83,84.4,25228600.0
2016-01-28,,,,,,
2016-02-01,87.53,96.5,85.91,95.29,91.89,32343300.0
2016-03-01,95.99,104.76,95.6,104.45,100.73,34334000.0
2016-04-01,104.09,106.17,100.68,105.12,101.37,23147000.0
2016-04-28,,,,,,
2016-05-01,105.55,109.65,103.88,109.27,105.71,23689600.0
2016-06-01,108.62,110.04,100.55,109.23,105.67,29817200.0
2016-07-01,109.29,111.6,105.35,107.07,103.58,17987200.0
2016-07-28,,,,,,
2016-08-01,107.07,111.71,106.93,111.35,108.04,17660400.0
2016-09-01,111.5,113.78,108.46,112.49,109.15,16210100.0
2016-10-01,111.99,113.75,107.19,110.83,107.54,17809900.0
2016-10-28,,,,,,
2016-11-01,111.17,114.5,107.5,114.1,111.05,25673200.0
2016-12-01,114.0,116.59,111.06,111.53,108.55,21748100.0
2017-01-01,112.09,115.0,110.89,112.7,109.69,19818600.0
2017-01-30,,,,,,
2017-02-01,112.75,117.8,109.82,115.65,112.89,19138900.0
2017-03-01,117.5,119.88,114.95,118.69,115.85,22948300.0
2017-04-01,118.59,121.05,117.41,119.84,116.98,19033000.0
2017-04-27,,,,,,
2017-05-01,119.91,131.62,119.49,130.91,128.17,28357800.0
2017-06-01,131.28,137.28,129.82,132.95,130.16,28723000.0
2017-07-01,133.59,141.31,132.38,138.17,135.27,18049200.0
2017-07-28,,,,,,
2017-08-01,138.67,141.45,136.25,139.16,136.6,22618300.0
2017-09-01,139.45,147.66,138.31,146.1,143.42,23505400.0
2017-10-01,146.28,152.78,142.69,143.43,140.8,21342300.0
2017-10-31,,,,,,
2017-11-01,143.82,144.71,137.85,140.22,137.99,26990500.0
2017-12-01,140.73,143.39,133.11,134.0,131.87,22991200.0
2018-01-01,134.25,143.48,130.87,142.17,139.91,24695100.0
2018-01-31,,,,,,
2018-02-01,142.0,147.98,134.79,140.32,138.44,31471400.0
2018-03-01,140.12,148.44,136.3,140.33,138.45,24050700.0
2018-04-01,140.89,145.72,136.49,142.47,140.56,17549600.0
2018-04-30,,,,,,
2018-05-01,142.29,144.93,136.99,139.87,138.38,19265800.0
2018-06-01,141.27,143.34,134.82,137.17,135.71,19401900.0
2018-07-01,136.64,148.28,136.56,143.55,142.02,16704800.0
2018-07-31,,,,,,
2018-08-01,143.59,146.54,139.79,145.56,144.41,16475000.0
2018-08-09,,,,,,
2018-09-01,145.36,158.77,144.84,153.78,153.0,17800100.0
2018-10-01,154.54,159.72,146.03,156.18,155.38,24466600.0
2018-10-31,,,,,,
2018-11-01,156.09,166.41,154.03,165.11,164.68,20582700.0
2018-12-01,166.21,166.55,135.3,145.36,144.98,20657000.0
2019-01-01,143.58,157.88,141.63,156.23,155.83,22638200.0
2019-01-31,,,,,,
2019-02-01,157.81,173.53,157.54,171.53,171.53,22587100.0
2019-03-01,172.75,172.91,156.09,170.7,170.7,28154100.0
2019-04-01,171.72,182.61,171.29,180.17,180.17,14807000.0
2019-04-26,180.4,182.6,177.09,180.17,180.17,899488.0
