Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,171.72,173.58,171.29,173.44,173.44,1035000
2019-04-02,174.1,175.26,172.89,173.14,173.14,836700
2019-04-03,173.77,173.98,171.83,172.74,172.74,1072300
2019-04-04,173.06,173.6,171.6,172.54,172.54,537600
2019-04-05,172.5,173.52,171.94,172.59,172.59,672700
2019-04-08,172.2,172.87,171.62,172.79,172.79,430500
2019-04-09,171.86,172.34,171.39,172.0,172.0,731000
2019-04-10,172.21,173.03,171.95,172.84,172.84,390100
2019-04-11,172.82,174.21,171.89,173.89,173.89,939300
2019-04-12,175.21,176.3,174.65,176.12,176.12,724200
2019-04-15,176.03,176.75,175.67,175.96,175.96,554000
2019-04-16,175.87,176.96,175.85,176.93,176.93,718200
2019-04-17,178.01,178.87,173.84,175.37,175.37,955900
2019-04-18,174.59,175.86,173.32,175.17,175.17,838300
2019-04-22,174.66,175.94,174.5,174.89,174.89,600500
2019-04-23,174.93,178.47,174.74,178.38,178.38,900000
2019-04-24,178.39,180.1,177.96,178.29,178.29,1087500
2019-04-25,177.34,180.06,176.91,179.61,179.61,883600
