Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,192.15,192.92,190.39,191.49,191.49,1134700
2019-04-02,191.3,191.7,189.15,190.48,190.48,1198700
2019-04-03,191.86,192.94,190.33,191.72,191.72,1080800
2019-04-04,192.19,192.87,190.42,191.77,191.77,852200
2019-04-05,192.25,193.6,191.62,193.19,193.19,769200
2019-04-08,193.55,194.3,192.19,193.03,193.03,844100
2019-04-09,191.93,192.92,191.09,192.28,192.28,600100
2019-04-10,192.88,193.19,192.15,193.04,193.04,594300
2019-04-11,192.49,193.95,191.48,193.55,193.55,765800
2019-04-12,194.44,195.36,193.74,194.16,194.16,1349200
2019-04-15,193.3,194.12,192.28,193.93,193.93,1209400
2019-04-16,194.53,197.33,193.91,197.1,197.1,1156800
2019-04-17,198.14,198.66,197.12,197.75,197.75,1091000
2019-04-18,198.07,198.33,197.1,198.1,198.1,1322900
2019-04-22,197.43,197.8,196.34,196.62,196.62,750900
2019-04-23,196.59,197.21,195.67,196.67,196.67,992100
2019-04-24,197.45,201.97,196.16,199.42,199.42,1741300
2019-04-25,199.41,200.03,196.97,199.6,199.6,1118900
