Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,55.96,59.33,54.64,57.89,53.56,33526700.0
2014-05-12,,,,,,
2014-06-01,57.95,59.74,55.92,57.62,53.55,68464800.0
2014-07-01,57.9,59.21,54.83,55.99,52.04,47156500.0
2014-08-01,56.03,59.79,55.78,58.32,54.2,34790700.0
2014-08-11,,,,,,
2014-09-01,58.42,60.32,51.31,51.42,47.99,62510800.0
2014-10-01,51.38,58.14,48.81,57.82,53.97,73067100.0
2014-11-01,57.69,61.58,56.85,61.15,57.08,33647900.0
2014-11-07,,,,,,
2014-12-01,61.04,62.77,58.19,60.96,57.14,36394400.0
2015-01-01,61.54,61.94,55.41,57.61,54.0,57690600.0
2015-02-01,58.04,67.18,57.73,66.09,61.95,44342100.0
2015-02-13,,,,,,
2015-03-01,66.09,68.94,63.9,66.84,62.89,46473900.0
2015-04-01,67.25,71.42,65.52,69.57,65.47,48608400.0
2015-05-01,70.32,73.83,69.95,72.91,68.6,37780800.0
2015-05-11,,,,,,
2015-06-01,73.17,75.92,70.53,71.32,67.35,67815600.0
2015-07-01,71.65,72.35,62.82,65.45,61.8,77862900.0
2015-08-01,65.71,68.42,55.55,63.3,59.77,60523400.0
2015-08-10,,,,,,
2015-09-01,61.68,67.35,58.32,63.74,60.41,54058300.0
2015-10-01,64.1,72.25,63.02,69.73,66.09,58284000.0
2015-11-01,70.07,74.28,67.02,73.66,69.82,45606300.0
2015-11-09,,,,,,
2015-12-01,74.0,74.51,67.99,71.86,68.36,44477800.0
2016-01-01,71.81,71.81,53.2,54.43,51.78,176786500.0
2016-02-01,54.23,57.02,46.6,55.89,53.17,80439600.0
2016-02-12,,,,,,
2016-03-01,56.81,63.6,56.24,62.88,60.17,57024400.0
2016-04-01,62.18,65.38,57.53,61.72,59.06,56949900.0
2016-05-01,62.09,62.09,55.0,56.97,54.51,52330300.0
2016-05-09,,,,,,
2016-06-01,56.35,59.29,48.65,52.47,50.46,63662100.0
2016-07-01,53.22,58.99,49.43,56.85,54.67,49992000.0
2016-08-01,56.82,60.39,52.28,59.23,56.95,68191700.0
2016-08-08,,,,,,
2016-09-01,59.52,60.46,55.96,59.78,57.79,58285800.0
2016-10-01,59.64,60.3,52.36,54.54,52.72,49503200.0
2016-11-01,54.74,58.98,50.71,53.65,51.86,77284400.0
2016-11-07,,,,,,
2016-12-01,54.17,60.31,53.19,56.45,54.86,51490900.0
2017-01-01,56.41,61.94,55.84,58.73,57.06,102545100.0
2017-02-01,59.15,64.93,58.68,63.81,62.01,46246800.0
2017-02-02,,,,,,
2017-03-01,64.65,69.77,63.13,67.47,65.88,50496000.0
2017-04-01,67.67,67.75,61.58,67.39,65.81,43649100.0
2017-05-01,67.4,75.09,64.74,73.74,72.0,65914300.0
2017-05-08,,,,,,
2017-06-01,74.47,75.48,70.56,73.47,72.02,46619900.0
2017-07-01,74.0,78.32,72.48,75.79,74.3,38845500.0
2017-08-01,76.05,81.03,72.88,80.8,79.21,40538000.0
2017-08-07,,,,,,
2017-09-01,80.96,87.25,80.31,82.48,81.16,43273600.0
2017-10-01,82.51,86.28,80.33,83.3,81.97,39090900.0
2017-11-01,84.24,88.01,79.26,87.74,86.33,44124700.0
2017-11-07,,,,,,
2017-12-01,87.32,89.66,82.97,84.83,83.77,41763000.0
2017-12-05,,,,,,
2018-01-01,84.83,95.97,84.5,94.88,93.69,91768841.0
2018-02-01,90.83,96.91,86.18,91.33,90.19,33714600.0
2018-02-02,,,,,,
2018-03-01,91.12,93.07,81.14,84.97,84.1,32133100.0
2018-04-01,84.59,88.93,80.62,84.58,83.71,26618700.0
2018-05-01,84.71,98.79,83.69,97.5,96.5,33863200.0
2018-05-08,,,,,,
2018-06-01,98.31,103.23,90.13,91.63,90.9,27932500.0
2018-07-01,91.01,98.4,89.5,98.07,97.29,31873200.0
2018-08-01,98.01,98.77,87.35,88.01,87.31,35189600.0
2018-08-07,,,,,,
2018-09-01,87.81,92.98,83.04,83.9,83.42,43271100.0
2018-10-01,85.25,86.77,71.66,76.8,76.36,74631300.0
2018-11-01,77.26,79.84,70.41,71.9,71.49,44239100.0
2018-11-06,,,,,,
2018-12-01,74.49,76.65,58.8,61.57,61.4,42585600.0
2019-01-01,60.35,79.72,58.91,79.13,78.91,46555700.0
2019-02-01,78.21,83.94,73.63,83.11,82.88,34108500.0
2019-02-05,,,,,,
2019-03-01,83.99,84.96,77.11,79.49,79.49,33268900.0
2019-04-01,80.68,91.32,80.39,86.51,86.51,22549500.0
2019-04-26,86.31,87.03,85.36,86.51,86.51,1206976.0
