Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.5,47.31,46.16,47.12,47.12,9233400
2019-04-02,47.42,47.78,46.2,47.46,47.46,9697700
2019-04-03,47.75,48.6,47.4,47.65,47.65,9741800
2019-04-04,47.68,47.82,46.58,46.96,46.96,6941800
2019-04-05,47.08,47.54,46.68,47.29,47.29,5976900
2019-04-08,47.23,47.63,46.37,47.57,47.57,5563800
2019-04-09,47.19,47.65,46.85,47.01,47.01,5090900
2019-04-10,47.34,47.96,47.15,47.86,47.86,3548000
2019-04-11,48.06,48.24,46.86,47.17,47.17,5198500
2019-04-12,47.4,47.68,46.94,47.28,47.28,3802100
2019-04-15,47.27,47.57,45.64,45.75,45.75,7343500
2019-04-16,45.95,45.95,44.74,45.06,45.06,9742200
2019-04-17,45.17,45.34,43.96,44.98,44.98,6663100
2019-04-18,45.18,45.59,44.65,45.31,45.31,4582700
2019-04-22,45.24,45.53,44.7,45.34,45.34,4229300
2019-04-23,45.6,46.76,45.47,46.51,46.51,6263400
2019-04-24,46.45,46.89,46.04,46.75,46.75,5327800
2019-04-25,46.66,47.46,46.14,47.41,47.41,7637100
