Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,200.73,200.86,197.8,200.68,200.68,666300
2019-04-02,200.74,202.78,198.69,202.21,202.21,673200
2019-04-03,202.62,202.9,200.55,202.36,202.36,529400
2019-04-04,202.82,202.82,200.57,201.73,201.73,358200
2019-04-05,201.65,202.54,201.06,202.18,202.18,405000
2019-04-08,202.16,202.35,200.48,201.51,201.51,383300
2019-04-09,201.65,201.83,200.32,200.6,200.6,464200
2019-04-10,201.38,202.37,200.58,202.2,202.2,621000
2019-04-11,202.67,203.57,201.55,203.15,203.15,358600
2019-04-12,202.94,204.14,201.4,204.08,204.08,375700
2019-04-15,204.05,204.53,203.07,204.13,204.13,392500
2019-04-16,204.08,204.35,197.48,197.94,197.94,621400
2019-04-17,198.56,198.56,193.05,193.83,193.83,730500
2019-04-18,194.21,196.52,193.44,196.15,196.15,593400
2019-04-22,195.54,195.57,191.42,193.65,193.65,462000
2019-04-23,194.6,196.81,193.82,196.26,196.26,517800
2019-04-24,197.53,198.47,195.33,198.16,198.16,482000
2019-04-25,196.16,200.44,196.16,199.95,199.95,580700
