Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,303.11,306.75,299.75,305.79,305.79,2704000
2019-04-02,306.16,307.35,302.61,303.05,303.05,2285700
2019-04-03,306.22,307.4,301.82,304.2,304.2,2315300
2019-04-04,304.75,306.0,301.67,302.0,302.0,1522800
2019-04-05,304.0,304.44,301.8,304.28,304.28,1887500
2019-04-08,304.14,305.3,302.0,304.48,304.48,1389900
2019-04-09,302.58,304.11,300.29,303.45,303.45,1162100
2019-04-10,303.6,307.77,303.0,307.51,307.51,1499200
2019-04-11,308.15,310.19,306.23,309.41,309.41,1666900
2019-04-12,311.35,317.44,310.57,317.03,317.03,3008700
2019-04-15,317.03,317.52,313.17,316.4,316.4,1621600
2019-04-16,320.0,320.01,316.1,318.5,318.5,2111600
2019-04-17,320.24,320.94,317.84,320.53,320.53,1813800
2019-04-18,321.04,322.45,318.16,318.62,318.62,2654800
2019-04-22,317.32,317.89,314.2,315.0,315.0,1350400
2019-04-23,316.76,318.09,314.19,315.64,315.64,1977700
2019-04-24,314.58,317.01,313.19,314.33,314.33,2333500
2019-04-25,312.95,312.95,306.57,311.82,311.82,2673200
