Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,48.65,50.9,46.65,50.7,45.37,20202700.0
2014-06-01,50.51,51.61,49.06,51.25,45.86,14556800.0
2014-06-02,,,,,,
2014-07-01,51.42,51.82,47.1,47.21,42.54,15574600.0
2014-08-01,47.15,49.16,46.77,48.13,43.37,12203500.0
2014-08-29,,,,,,
2014-09-01,48.07,49.16,44.45,44.65,40.53,19618400.0
2014-10-01,44.51,46.92,40.58,46.85,42.52,27356800.0
2014-11-01,46.93,49.62,46.32,49.51,44.94,11971300.0
2014-12-01,48.91,52.92,48.57,51.88,47.09,19725600.0
2014-12-01,,,,,,
2015-01-01,52.13,54.32,50.8,52.27,47.78,19454200.0
2015-02-01,52.15,54.74,50.63,53.55,48.95,13138600.0
2015-03-01,53.44,54.03,51.56,52.91,48.37,13226100.0
2015-03-02,,,,,,
2015-04-01,52.77,56.84,50.94,55.59,51.15,16365200.0
2015-05-01,55.52,63.42,55.46,61.91,56.97,21494300.0
2015-06-01,61.97,63.15,59.68,60.94,56.07,19243500.0
2015-06-01,,,,,,
2015-07-01,61.38,64.04,59.38,60.85,56.33,16018000.0
2015-08-01,61.0,64.81,53.56,58.08,53.76,16586300.0
2015-08-31,,,,,,
2015-09-01,57.0,61.06,55.29,56.57,52.69,15349700.0
2015-10-01,56.49,66.09,56.44,64.97,60.52,15891300.0
2015-11-01,65.03,66.65,62.03,65.96,61.44,15745200.0
2015-11-30,,,,,,
2015-12-01,66.06,66.64,61.99,62.66,58.69,15589800.0
2016-01-01,61.68,61.77,57.06,60.89,57.04,18033600.0
2016-02-01,60.67,66.89,59.38,65.12,61.0,21578400.0
2016-02-29,,,,,,
2016-03-01,65.8,72.64,65.75,72.11,67.92,23447500.0
2016-04-01,71.74,75.14,71.25,72.61,68.39,16758100.0
2016-05-01,72.65,76.96,72.26,74.38,70.06,15654000.0
2016-05-27,,,,,,
2016-06-01,73.82,77.38,70.91,74.75,70.8,14653400.0
2016-07-01,72.53,78.82,70.81,77.89,73.78,17003600.0
2016-08-01,77.62,79.27,76.29,77.44,73.35,12747100.0
2016-09-01,77.56,78.96,74.68,77.79,73.68,10801000.0
2016-09-02,,,,,,
2016-10-01,77.36,78.33,68.55,69.79,66.46,16515700.0
2016-11-01,69.85,73.31,68.68,72.06,68.62,17500900.0
2016-12-01,72.06,74.16,70.02,70.22,66.86,13871300.0
2016-12-05,,,,,,
2017-01-01,70.76,74.82,69.53,73.02,69.93,14991300.0
2017-02-01,78.97,81.27,76.51,80.71,77.3,16225200.0
2017-02-27,,,,,,
2017-03-01,81.5,82.11,78.47,80.6,77.59,14385500.0
2017-04-01,80.86,83.93,79.13,83.21,80.1,14471500.0
2017-05-01,83.2,84.75,81.84,84.26,81.11,11565400.0
2017-06-01,84.29,89.51,83.1,88.37,85.07,12216300.0
2017-06-05,,,,,,
2017-07-01,88.96,96.7,88.46,92.93,89.93,15315000.0
2017-08-01,93.17,94.75,91.75,94.26,91.22,11857400.0
2017-09-01,94.28,100.1,91.98,98.34,95.17,13798800.0
2017-09-01,,,,,,
2017-10-01,98.34,106.56,98.15,106.17,103.24,13415600.0
2017-11-01,106.71,114.8,104.51,114.12,110.97,13569200.0
2017-12-01,114.0,117.92,111.26,114.86,111.69,13089100.0
2017-12-05,,,,,,
2018-01-01,115.15,123.67,114.75,122.68,119.77,12599500.0
2018-02-01,119.6,121.44,108.83,118.15,115.35,14135100.0
2018-03-01,118.21,118.48,102.55,106.25,103.73,17254400.0
2018-03-06,,,,,,
2018-04-01,106.11,108.93,101.67,104.81,102.73,15903700.0
2018-05-01,104.6,111.52,102.4,105.03,102.95,14878500.0
2018-06-01,105.89,108.65,99.66,102.1,100.07,13479800.0
2018-06-05,,,,,,
2018-07-01,101.52,116.35,99.76,114.68,112.96,14403100.0
2018-08-01,114.44,114.63,104.59,105.18,103.6,11073000.0
2018-09-01,104.56,113.32,102.9,108.35,106.72,10576500.0
2018-09-04,,,,,,
2018-10-01,108.9,110.05,86.06,90.72,89.8,18295300.0
2018-11-01,91.32,96.57,90.22,96.4,95.42,19252400.0
2018-12-01,97.97,98.5,82.89,89.83,88.92,16673700.0
2018-12-04,,,,,,
2019-01-01,88.64,104.58,86.9,104.45,103.95,14820000.0
2019-02-01,104.19,108.64,101.61,108.04,107.53,11743500.0
2019-03-01,108.88,113.78,106.48,113.0,112.46,14546500.0
2019-03-05,,,,,,
2019-04-01,113.73,117.0,107.68,109.18,109.18,10005200.0
2019-04-26,108.88,110.39,108.46,109.18,109.18,524239.0
