Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,45.66,48.64,45.43,48.61,43.32,18715500.0
2014-05-08,,,,,,
2014-06-01,48.82,49.5,47.23,49.45,44.36,12389500.0
2014-07-01,49.35,49.55,47.68,47.77,42.85,11348800.0
2014-08-01,47.72,50.64,45.98,50.61,45.4,14088900.0
2014-08-07,,,,,,
2014-09-01,50.06,50.71,47.8,48.23,43.55,11533000.0
2014-10-01,48.21,53.51,47.58,53.37,48.19,17669700.0
2014-11-01,53.37,53.62,51.29,53.05,47.91,12413400.0
2014-11-06,,,,,,
2014-12-01,52.13,56.19,51.15,53.3,48.42,16915000.0
2015-01-01,53.3,57.48,52.9,56.14,51.0,15711600.0
2015-02-01,56.17,56.76,52.38,54.08,49.12,19705500.0
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-03-01,53.99,55.12,51.84,54.21,49.79,18667700.0
2015-04-01,54.27,55.67,53.19,54.52,50.08,15090700.0
2015-05-01,54.61,54.99,52.15,52.87,48.56,18415200.0
2015-05-07,,,,,,
2015-06-01,52.9,53.22,48.36,48.63,44.95,21796900.0
2015-07-01,48.77,52.44,48.52,51.91,47.99,16733200.0
2015-08-01,51.92,54.87,50.16,51.94,48.01,19598500.0
2015-08-06,,,,,,
2015-09-01,51.76,55.63,50.74,55.08,51.26,19521500.0
2015-10-01,55.02,59.2,54.62,57.36,53.38,20406800.0
2015-11-01,57.58,58.4,55.13,57.76,53.75,14902400.0
2015-11-05,,,,,,
2015-12-01,57.73,61.2,56.4,59.75,55.93,21039800.0
2016-01-01,59.68,65.04,58.9,64.91,60.76,20421600.0
2016-02-01,64.69,68.49,63.16,64.82,60.67,28507500.0
2016-02-04,,,,,,
2016-03-01,65.1,70.1,64.93,68.93,64.86,82639400.0
2016-04-01,68.84,72.88,68.09,72.76,68.46,26846500.0
2016-05-01,73.1,75.25,71.93,74.1,69.72,27968200.0
2016-05-05,,,,,,
2016-06-01,74.06,84.54,73.95,84.51,79.92,28442900.0
2016-07-01,84.81,85.24,80.46,82.58,78.09,26530300.0
2016-08-01,82.5,83.0,73.44,73.99,69.97,27712400.0
2016-08-04,,,,,,
2016-09-01,73.73,77.8,72.12,74.84,71.1,23580000.0
2016-10-01,74.63,74.86,70.12,74.04,70.34,19976900.0
2016-11-01,74.05,76.12,69.41,72.47,68.85,23365500.0
2016-11-07,,,,,,
2016-12-01,72.03,74.88,70.93,72.36,69.11,20945000.0
2017-01-01,72.37,73.47,69.96,73.44,70.14,18150800.0
2017-02-01,72.91,78.73,71.63,78.0,74.5,19079400.0
2017-02-03,,,,,,
2017-03-01,77.04,78.44,75.09,77.77,74.66,20348100.0
2017-04-01,77.59,81.49,76.73,79.76,76.57,15643900.0
2017-05-01,79.83,80.05,74.63,78.18,75.06,21948000.0
2017-05-03,,,,,,
2017-06-01,78.29,82.89,77.73,77.95,75.23,17825100.0
2017-07-01,78.25,81.92,77.36,81.1,78.27,11845600.0
2017-08-01,81.22,82.38,79.77,80.9,78.08,17026100.0
2017-08-07,,,,,,
2017-09-01,81.07,83.14,79.94,80.91,78.49,18129000.0
2017-10-01,81.18,88.2,80.89,87.76,85.13,18687900.0
2017-11-01,88.0,91.78,87.04,91.56,88.82,18164800.0
2017-11-09,,,,,,
2017-12-01,91.71,92.37,88.82,91.49,89.16,17949700.0
2018-01-01,91.0,91.48,80.57,83.17,81.06,27967900.0
2018-02-01,83.28,83.51,76.04,79.36,77.34,22280300.0
2018-02-06,,,,,,
2018-03-01,79.28,82.67,78.15,82.13,80.47,21480800.0
2018-04-01,82.29,87.19,80.21,86.58,84.82,19213900.0
2018-05-01,86.38,86.8,79.93,83.14,81.45,16819500.0
2018-05-10,,,,,,
2018-06-01,83.4,86.57,77.73,85.38,84.11,20996900.0
2018-07-01,85.59,88.95,84.22,88.25,86.94,12486900.0
2018-08-01,87.92,89.96,86.33,87.53,86.23,12536900.0
2018-08-09,,,,,,
2018-09-01,87.32,89.78,85.88,87.97,87.11,15470500.0
2018-10-01,87.88,92.79,86.76,88.53,87.66,19754600.0
2018-11-01,89.37,95.41,86.6,95.41,94.48,18374700.0
2018-11-08,,,,,,
2018-12-01,94.84,98.18,85.89,90.77,90.34,23576500.0
2019-01-01,90.45,96.14,88.0,95.67,95.22,20243200.0
2019-02-01,95.72,102.07,93.9,101.62,101.14,16630100.0
2019-02-06,,,,,,
2019-03-01,101.46,107.71,100.61,104.26,104.26,27313300.0
2019-04-01,104.43,107.94,101.92,106.88,106.88,19403900.0
2019-04-26,107.18,107.94,106.76,106.88,106.88,594379.0
