Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,529.12,546.7,516.79,532.5,532.5,4760900
2014-06-01,532.5,541.58,520.25,536.24,536.24,3963000
2014-07-01,537.0,540.49,505.32,517.03,517.03,4439300
2014-08-01,515.07,543.63,512.04,538.84,538.84,2993100
2014-09-01,534.67,543.06,500.21,509.66,509.66,5524700
2014-10-01,509.66,556.65,491.93,553.52,553.52,5878300
2014-11-01,556.0,583.0,545.0,577.71,577.71,5571400
2014-12-01,575.98,627.3,571.27,619.11,619.11,6487800
2015-01-01,623.98,623.98,569.54,596.96,596.96,6223200
2015-02-01,600.51,651.95,586.25,642.68,642.68,4375500
2015-03-01,642.42,694.45,640.0,682.16,682.16,6856100
2015-04-01,687.0,705.0,671.36,672.66,672.66,6046300
2015-05-01,675.06,701.27,668.14,673.62,673.62,5567300
2015-06-01,676.98,687.58,662.7,666.9,666.9,5124700
2015-07-01,670.84,703.38,667.22,700.94,700.94,3983100
2015-08-01,702.0,754.9,667.0,715.99,715.99,5556800
2015-09-01,711.97,758.14,703.15,723.83,723.83,6794000
2015-10-01,732.81,789.52,715.92,784.41,784.41,5819200
2015-11-01,783.91,803.25,746.0,783.77,783.77,4607900
2015-12-01,786.04,800.87,734.55,741.91,741.91,6108900
2016-01-01,733.0,771.59,693.01,767.39,767.39,5716500
2016-02-01,765.0,787.48,681.01,774.57,774.57,8273000
2016-03-01,782.21,810.0,765.0,796.69,796.69,6335400
2016-04-01,793.97,809.37,753.44,765.23,765.23,4333400
2016-05-01,770.0,790.42,732.22,762.2,762.2,6423300
2016-06-01,759.7,804.77,741.52,793.84,793.84,6427000
2016-07-01,795.96,819.54,782.3,813.97,813.97,3923700
2016-08-01,816.12,817.74,736.9,741.8,741.8,4680900
2016-09-01,744.23,783.33,722.16,768.34,768.34,10016500
2016-10-01,763.28,775.36,725.0,742.16,742.16,6131600
2016-11-01,742.61,809.78,720.45,783.18,783.18,6550900
2016-12-01,780.61,813.7,772.35,789.79,789.79,6036500
2017-01-01,795.58,802.15,718.07,724.98,724.98,7439600
2017-02-01,728.74,752.99,713.09,736.55,736.55,6613700
2017-03-01,740.01,748.91,705.3,723.05,723.05,8161600
2017-04-01,720.5,727.15,684.48,692.19,692.19,7026900
2017-05-01,696.4,711.7,573.8,605.92,605.92,13689500
2017-06-01,606.11,625.56,557.77,570.46,570.46,11131500
2017-07-01,570.85,575.68,491.13,539.82,539.82,12759900
2017-08-01,542.62,552.38,497.29,528.44,528.44,9762200
2017-09-01,531.2,596.02,531.2,595.11,595.11,11979000
2017-10-01,595.65,610.78,560.82,589.5,589.5,8324700
2017-11-01,592.94,703.51,576.13,686.76,686.76,9180100
2017-12-01,690.0,763.3,672.0,711.37,711.37,9677900
2018-01-01,716.54,797.89,714.45,765.44,765.44,8444800
2018-02-01,761.32,771.13,646.0,664.72,664.72,10378100
2018-03-01,664.82,669.0,631.02,648.69,648.69,9112600
2018-04-01,642.06,650.95,590.76,624.52,624.52,7134100
2018-05-01,623.58,710.0,597.0,649.32,649.32,9792300
2018-06-01,654.22,698.4,648.28,670.93,670.93,6518700
2018-07-01,664.96,724.54,662.17,705.53,705.53,4595400
2018-08-01,708.24,775.45,698.33,766.88,766.88,4908900
2018-09-01,766.15,788.3,707.95,775.7,775.7,6518900
2018-10-01,776.48,794.68,705.01,733.47,733.47,8347100
2018-11-01,734.34,842.1,731.17,809.07,809.07,6603400
2018-12-01,814.05,896.03,803.85,838.34,838.34,7800700
2019-01-01,831.67,856.7,798.41,847.34,847.34,6978600
2019-02-01,848.0,964.39,838.53,938.97,938.97,6508800
2019-03-01,945.39,1028.1,916.85,1024.12,1024.12,6564900
2019-04-01,1039.33,1074.67,1018.22,1033.55,1033.55,5061400
2019-04-26,1023.29,1043.23,1023.29,1033.55,1033.55,270686
