Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,26.13,28.25,24.57,27.66,24.25,121409000.0
2014-06-01,27.56,31.48,27.17,31.01,27.18,82744400.0
2014-06-10,,,,,,
2014-07-01,31.15,32.24,29.24,29.73,26.21,84169600.0
2014-08-01,29.49,32.75,28.85,31.89,28.12,120163300.0
2014-09-01,32.03,35.53,31.08,33.59,29.62,111776800.0
2014-09-09,,,,,,
2014-10-01,33.34,34.68,28.8,34.14,30.28,122295900.0
2014-11-01,34.14,39.79,33.66,39.41,34.96,125589800.0
2014-12-01,38.87,40.03,35.17,38.98,34.57,123456900.0
2014-12-09,,,,,,
2015-01-01,39.17,40.0,33.17,35.2,31.38,165392900.0
2015-02-01,35.14,39.47,34.13,38.1,33.97,92932300.0
2015-03-01,38.2,42.0,37.75,37.79,33.69,114686900.0
2015-03-20,,,,,,
2015-04-01,37.63,38.88,34.49,34.65,31.07,86059600.0
2015-05-01,34.76,37.18,33.73,34.7,31.11,111455500.0
2015-06-01,34.85,35.5,32.56,32.61,29.24,80160900.0
2015-06-09,,,,,,
2015-07-01,32.95,35.34,31.68,32.29,29.15,81045200.0
2015-08-01,32.21,36.94,28.32,36.74,33.16,114479700.0
2015-09-01,35.94,39.1,35.19,37.12,33.51,100144700.0
2015-09-11,,,,,,
2015-10-01,37.25,38.12,34.07,35.03,31.81,72587000.0
2015-11-01,35.14,36.51,28.65,31.78,28.86,135346600.0
2015-12-01,31.83,31.89,28.88,30.45,27.66,95441400.0
2015-12-08,,,,,,
2016-01-01,29.84,31.2,25.31,27.93,25.56,139973700.0
2016-02-01,27.84,32.83,26.1,32.39,29.64,119646200.0
2016-03-01,32.75,34.95,31.01,32.44,29.68,103011100.0
2016-03-15,,,,,,
2016-04-01,32.17,33.66,29.81,32.08,29.6,71015500.0
2016-05-01,32.29,33.22,30.05,32.17,29.68,129475800.0
2016-06-01,32.17,32.68,28.76,30.6,28.24,107920900.0
2016-06-10,,,,,,
2016-07-01,30.66,33.63,29.79,33.6,31.3,80362200.0
2016-08-01,33.41,40.58,32.02,38.48,35.84,169646100.0
2016-09-01,38.56,39.26,36.51,38.18,35.56,98244200.0
2016-09-09,,,,,,
2016-10-01,38.15,40.21,37.62,38.91,36.51,83097500.0
2016-11-01,38.93,47.29,37.1,45.7,42.88,157112100.0
2016-12-01,45.55,49.4,42.34,42.67,40.04,105150200.0
2016-12-06,,,,,,
2017-01-01,43.05,45.83,41.79,44.52,42.03,86948900.0
2017-02-01,44.58,46.45,43.27,44.13,41.66,80947100.0
2017-03-01,42.55,49.35,41.67,49.15,46.4,120802900.0
2017-03-20,,,,,,
2017-04-01,49.15,52.67,47.68,51.81,49.27,69189300.0
2017-05-01,51.99,61.95,50.29,59.39,56.48,119755400.0
2017-06-01,59.36,60.35,54.65,57.33,54.52,85066100.0
2017-06-13,,,,,,
2017-07-01,57.87,59.69,52.97,58.34,55.82,76986400.0
2017-08-01,58.6,63.32,53.45,54.26,51.91,118875300.0
2017-09-01,54.44,58.76,51.61,56.96,54.5,108584300.0
2017-09-18,,,,,,
2017-10-01,57.11,59.46,54.02,55.98,53.87,69784900.0
2017-11-01,56.18,60.52,52.92,59.61,57.36,93747800.0
2017-12-01,59.75,68.98,58.82,68.47,65.89,73807000.0
2017-12-06,,,,,,
2018-01-01,68.26,78.59,66.11,73.06,70.7,70290500.0
2018-02-01,72.57,74.36,65.05,72.44,70.1,65399100.0
2018-03-01,74.45,77.32,66.65,69.99,67.72,95919400.0
2018-03-21,,,,,,
2018-04-01,69.87,78.22,67.99,76.53,74.53,59124300.0
2018-05-01,76.21,79.9,67.55,68.25,66.47,87714400.0
2018-06-01,68.5,77.97,67.91,74.58,72.63,75148700.0
2018-06-13,,,,,,
2018-07-01,74.33,78.79,72.84,75.03,73.52,47306500.0
2018-08-01,75.19,84.37,74.31,79.56,77.96,84376200.0
2018-09-01,79.51,81.66,76.44,79.36,77.76,59820800.0
2018-09-17,,,,,,
2018-10-01,79.57,79.82,66.08,70.16,69.14,72452000.0
2018-11-01,70.07,75.11,60.07,64.59,63.65,103339100.0
2018-12-01,66.09,67.56,47.72,52.96,52.19,94560200.0
2018-12-10,,,,,,
2019-01-01,52.19,59.54,50.94,59.24,58.82,70680200.0
2019-02-01,59.24,70.73,57.78,68.84,68.35,70500600.0
2019-03-01,69.64,73.34,66.36,71.06,70.55,77633000.0
2019-03-19,,,,,,
2019-04-01,71.36,75.91,71.09,72.8,72.8,42858600.0
2019-04-26,72.41,73.33,71.4,72.8,72.8,2986011.0
