Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,112.93,118.53,111.07,117.7,108.88,16722800.0
2014-06-01,117.68,120.66,116.98,118.3,109.44,15212500.0
2014-06-05,,,,,,
2014-07-01,118.8,120.41,115.94,116.24,108.02,12635400.0
2014-08-01,115.84,118.81,114.36,117.17,108.89,12425900.0
2014-09-01,117.3,117.83,112.15,113.81,105.77,19844800.0
2014-09-05,,,,,,
2014-10-01,114.03,130.21,112.98,128.7,120.17,54292600.0
2014-11-01,128.54,142.33,125.35,140.33,131.02,22459900.0
2014-12-01,140.03,142.56,134.0,139.16,129.93,24178800.0
2014-12-08,,,,,,
2015-01-01,140.27,146.74,138.01,138.08,129.48,25297400.0
2015-02-01,137.51,149.14,136.02,146.72,137.58,22772600.0
2015-03-01,146.72,149.98,140.17,143.59,134.65,30952600.0
2015-03-06,,,,,,
2015-04-01,143.63,146.09,139.8,140.87,132.63,21865600.0
2015-05-01,141.05,144.75,138.12,140.51,132.29,20746000.0
2015-06-01,141.4,143.84,137.7,141.65,133.36,23484300.0
2015-06-05,,,,,,
2015-07-01,143.06,152.88,140.77,152.15,143.87,20193300.0
2015-08-01,151.79,154.98,133.5,142.95,135.17,30861600.0
2015-09-01,138.5,141.33,128.87,132.66,125.44,25006300.0
2015-09-04,,,,,,
2015-10-01,132.49,143.99,130.2,142.52,135.36,19103200.0
2015-11-01,143.47,153.25,143.06,150.25,142.7,18359100.0
2015-12-01,151.1,157.5,149.35,154.09,146.34,23626100.0
2015-12-08,,,,,,
2016-01-01,150.62,151.45,137.69,145.37,138.66,26069000.0
2016-02-01,144.11,150.17,129.5,147.45,140.64,26224200.0
2016-03-01,148.6,152.82,145.78,151.82,144.81,22135400.0
2016-03-08,,,,,,
2016-04-01,151.24,162.98,150.71,161.26,154.5,18117200.0
2016-05-01,160.67,169.08,157.6,166.45,159.47,23042900.0
2016-06-01,166.45,172.2,162.39,169.59,162.48,19513100.0
2016-06-07,,,,,,
2016-07-01,169.59,177.5,169.21,176.0,169.28,14906500.0
2016-08-01,174.99,178.79,166.35,177.21,170.44,20046500.0
2016-09-01,177.71,181.76,170.26,179.73,172.87,15762400.0
2016-09-07,,,,,,
2016-10-01,178.67,180.03,166.58,167.91,162.1,18972200.0
2016-11-01,167.64,179.83,162.44,169.1,163.25,30679100.0
2016-12-01,168.71,171.94,161.29,165.55,159.82,20080600.0
2016-12-07,,,,,,
2017-01-01,161.95,177.54,161.5,177.29,171.92,22322100.0
2017-02-01,175.88,183.88,174.35,183.05,177.5,16213800.0
2017-03-01,183.66,186.11,180.1,183.44,177.88,20530300.0
2017-03-08,,,,,,
2017-04-01,184.0,187.2,175.66,186.97,182.03,31282300.0
2017-05-01,186.38,190.71,177.64,189.23,184.23,59044400.0
2017-06-01,188.37,196.59,188.3,195.11,189.95,31267800.0
2017-06-07,,,,,,
2017-07-01,195.79,206.63,194.22,201.4,196.82,22497400.0
2017-08-01,201.7,202.9,192.34,199.44,194.91,25728300.0
2017-09-01,199.44,204.86,191.53,195.95,191.5,23085100.0
2017-09-07,,,,,,
2017-10-01,196.91,214.72,193.05,208.67,204.68,25966300.0
2017-11-01,207.53,228.8,203.99,228.21,223.84,26588300.0
2017-12-01,228.27,229.69,213.95,214.06,209.96,25016300.0
2017-12-07,,,,,,
2018-01-01,215.09,248.39,215.09,242.94,239.11,31716300.0
2018-02-01,241.08,243.51,209.91,222.02,218.52,29950400.0
2018-03-01,221.6,227.8,210.39,216.7,213.28,25411700.0
2018-03-08,,,,,,
2018-04-01,215.99,236.13,210.21,231.87,229.0,29056900.0
2018-05-01,230.77,234.1,218.6,221.59,218.85,28297600.0
2018-06-01,223.32,242.64,223.04,239.56,236.59,24768500.0
2018-06-07,,,,,,
2018-07-01,237.45,252.74,235.33,250.37,248.07,17394900.0
2018-08-01,250.05,262.67,239.8,261.87,259.47,18956800.0
2018-09-01,262.14,264.47,253.21,261.0,258.61,18208600.0
2018-09-06,,,,,,
2018-10-01,262.0,265.87,225.34,230.5,229.05,26192800.0
2018-11-01,230.08,253.32,225.0,252.75,251.16,26747700.0
2018-12-01,253.94,256.04,208.62,225.32,223.91,24604600.0
2018-12-07,,,,,,
2019-01-01,221.97,249.87,210.72,249.46,248.69,24353700.0
2019-02-01,249.27,254.0,237.75,248.79,248.02,19094300.0
2019-03-01,250.53,257.16,238.21,249.73,248.96,22842300.0
2019-03-07,,,,,,
2019-04-01,250.88,253.83,221.51,238.12,238.12,30166800.0
2019-04-26,238.51,239.0,236.05,238.12,238.12,793002.0
