Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,33.39,33.83,33.26,33.78,33.78,2060900
2019-04-02,33.87,34.24,33.83,33.97,33.97,2297600
2019-04-03,34.12,34.3,33.98,34.17,34.17,2207800
2019-04-04,34.24,34.48,34.19,34.44,34.44,1623500
2019-04-05,34.5,34.94,34.28,34.88,34.88,2474900
2019-04-08,34.92,35.26,34.8,35.25,35.25,2067900
2019-04-09,35.15,35.15,34.21,34.26,34.26,2917200
2019-04-10,34.3,34.99,34.3,34.98,34.98,2176500
2019-04-11,35.14,35.41,34.8,35.03,35.03,3348900
2019-04-12,35.49,35.65,35.12,35.46,35.46,3111500
2019-04-15,35.71,35.82,34.83,34.91,34.91,2834600
2019-04-16,35.12,35.55,34.94,35.55,35.55,2253700
2019-04-17,35.61,35.64,35.23,35.55,35.55,1884500
2019-04-18,35.52,35.6,35.22,35.3,35.3,1848200
2019-04-22,35.14,35.33,35.02,35.04,35.04,1800100
2019-04-23,35.0,35.55,34.82,35.45,35.45,2005500
2019-04-24,35.33,35.8,35.16,35.67,35.67,2479500
2019-04-25,35.62,35.76,35.24,35.44,35.44,2574500
