Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.8,51.54,50.78,51.46,51.16,3496300
2019-04-02,51.54,51.93,51.32,51.35,51.05,3301000
2019-04-03,51.79,52.11,51.12,51.24,50.94,4972000
2019-04-04,51.41,51.69,51.17,51.45,51.15,5998300
2019-04-05,51.57,51.76,51.02,51.18,50.88,4263700
2019-04-08,50.88,51.33,50.88,51.25,50.95,6959000
2019-04-09,51.06,51.31,50.57,50.99,50.7,3827600
2019-04-10,50.99,51.33,50.68,51.29,50.99,2743100
2019-04-11,51.54,52.0,51.32,51.69,51.39,3857600
2019-04-12,52.5,52.93,52.29,52.81,52.51,4663100
2019-04-15,52.8,53.14,52.42,52.6,52.3,4596200
2019-04-16,52.74,53.61,52.74,53.44,53.13,5443800
2019-04-17,49.7,50.0,48.08,48.35,48.07,13434500
2019-04-18,48.37,48.71,47.89,48.41,48.13,8317200
2019-04-22,48.25,48.58,47.89,48.19,47.91,7990100
2019-04-23,48.07,48.77,47.37,48.47,48.19,8468400
2019-04-24,48.22,48.46,47.77,48.15,47.87,7659200
2019-04-25,48.02,48.96,47.75,48.55,48.27,6818800
