Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,28.46,30.62,27.76,30.18,28.31,51615000.0
2014-05-29,,,,,,
2014-06-01,30.31,31.57,29.92,31.34,29.52,34253600.0
2014-07-01,31.43,32.46,30.36,30.63,28.85,34719600.0
2014-08-01,30.61,32.19,30.46,32.05,30.19,30860000.0
2014-08-28,,,,,,
2014-09-01,32.38,33.26,31.42,31.64,29.92,35965800.0
2014-10-01,31.53,34.11,30.88,32.22,30.47,61460400.0
2014-11-01,32.12,33.8,31.57,33.53,31.72,38842400.0
2014-11-26,,,,,,
2014-12-01,33.53,35.25,32.27,34.08,32.37,40316800.0
2015-01-01,34.3,34.51,31.35,31.67,30.07,31244400.0
2015-02-01,31.93,38.6,31.42,35.85,34.05,76513600.0
2015-02-26,,,,,,
2015-03-01,35.94,36.34,34.29,35.32,33.66,44630800.0
2015-04-01,35.4,37.46,34.9,36.71,34.98,43951000.0
2015-05-01,36.79,37.62,35.4,35.49,33.83,49042200.0
2015-05-28,,,,,,
2015-06-01,35.58,36.54,34.88,35.08,33.55,42962600.0
2015-07-01,35.51,36.14,33.11,33.92,32.45,38875200.0
2015-08-01,33.67,36.68,28.98,32.96,31.52,48422600.0
2015-08-28,,,,,,
2015-09-01,32.24,34.12,30.15,31.1,29.87,45412600.0
2015-10-01,31.2,34.67,31.01,34.25,32.89,44142200.0
2015-11-01,34.28,35.24,32.46,34.71,33.33,34360800.0
2015-11-27,,,,,,
2015-12-01,34.71,37.12,33.26,36.37,35.06,60770800.0
2016-01-01,35.81,36.5,31.5,33.42,32.21,69413800.0
2016-02-01,33.22,34.07,31.15,33.12,31.92,55568600.0
2016-02-26,,,,,,
2016-03-01,33.44,35.99,33.13,35.65,34.5,56280400.0
2016-04-01,35.54,38.35,34.62,35.69,34.54,64982600.0
2016-05-01,35.69,36.68,35.22,36.15,34.98,48730000.0
2016-05-27,,,,,,
2016-06-01,36.15,37.5,33.76,36.15,35.11,101732000.0
2016-07-01,36.31,36.62,34.34,35.33,34.32,102329200.0
2016-08-01,35.47,40.62,34.88,39.6,38.46,77699600.0
2016-08-30,,,,,,
2016-09-01,39.69,41.12,38.33,40.97,39.93,60720200.0
2016-10-01,40.78,41.06,38.22,38.53,37.55,42589200.0
2016-11-01,38.62,39.83,37.3,37.53,36.57,61573000.0
2016-11-29,,,,,,
2016-12-01,37.55,76.87,36.22,76.84,75.13,53144300.0
2017-01-01,37.85,38.67,37.22,38.13,37.28,37562000.0
2017-02-01,38.27,38.55,36.06,36.76,35.95,61871200.0
2017-02-27,,,,,,
2017-03-01,37.11,37.8,36.0,37.13,36.43,57868600.0
2017-04-01,37.14,38.76,35.65,38.44,37.72,52023800.0
2017-05-01,38.53,41.05,38.05,40.9,40.13,56351300.0
2017-05-17,,,,,,
2017-05-30,,,,,,
2017-06-01,40.97,42.73,40.06,42.21,41.52,50036400.0
2017-07-01,42.44,43.06,41.5,41.9,41.22,35836600.0
2017-08-01,42.08,42.24,38.79,39.99,39.34,53286600.0
2017-08-30,,,,,,
2017-09-01,40.21,41.49,39.54,41.3,40.73,41226700.0
2017-10-01,41.35,43.12,40.99,42.93,42.34,40295800.0
2017-11-01,43.2,43.24,39.36,39.91,39.36,58266100.0
2017-11-30,,,,,,
2017-12-01,39.98,41.17,37.36,37.85,37.42,65186300.0
2018-01-01,38.12,39.94,37.4,38.28,37.85,70266500.0
2018-02-01,38.12,40.5,35.6,39.95,39.5,74729000.0
2018-02-28,,,,,,
2018-03-01,40.05,41.99,38.57,39.71,39.36,55883400.0
2018-04-01,39.56,41.61,38.54,40.09,39.74,46011500.0
2018-05-01,39.98,40.22,36.74,36.95,36.62,62146800.0
2018-05-31,,,,,,
2018-06-01,37.16,37.98,34.71,35.55,35.33,67711700.0
2018-07-01,35.08,39.02,35.08,38.97,38.73,47434700.0
2018-08-01,38.93,42.17,38.0,41.88,41.62,64986500.0
2018-08-31,,,,,,
2018-09-01,41.65,45.21,41.34,43.99,43.82,51851400.0
2018-10-01,44.29,46.89,42.52,44.8,44.63,81886100.0
2018-11-01,45.85,50.98,44.5,49.11,48.92,74966500.0
2018-11-30,,,,,,
2018-12-01,49.87,50.19,42.24,45.98,45.9,74382400.0
2019-01-01,45.25,52.68,43.87,52.28,52.19,62838500.0
2019-02-01,52.37,55.64,51.48,54.78,54.68,49739100.0
2019-02-28,,,,,,
2019-03-01,55.06,58.95,53.72,57.86,57.86,47954200.0
2019-04-01,58.09,59.86,57.0,59.7,59.7,32036200.0
2019-04-26,59.03,59.86,59.03,59.7,59.7,943470.0
