Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.51,105.15,104.08,104.99,104.99,539200
2019-04-02,105.23,105.51,104.47,105.18,105.18,548800
2019-04-03,105.77,107.76,105.27,107.6,107.6,1229400
2019-04-04,107.44,108.23,106.56,107.34,107.34,898200
2019-04-05,107.53,109.29,107.04,109.17,109.17,1594800
2019-04-08,109.05,109.44,108.26,109.22,109.22,1081100
2019-04-09,108.48,109.39,108.44,109.23,109.23,1063500
2019-04-10,109.16,109.87,108.96,109.5,109.5,559500
2019-04-11,109.76,110.34,109.18,110.3,110.3,957700
2019-04-12,110.88,111.53,110.21,111.49,111.49,652800
2019-04-15,111.45,112.48,111.18,112.45,112.45,982500
2019-04-16,112.56,113.28,112.4,113.25,113.25,1770400
2019-04-17,113.66,115.07,112.95,114.0,114.0,2429300
2019-04-18,113.68,113.84,112.13,112.79,112.79,836400
2019-04-22,112.42,113.45,112.11,113.39,113.39,498500
2019-04-23,113.83,115.24,113.8,115.07,115.07,1096900
2019-04-24,115.63,117.58,114.9,116.95,116.95,1265500
2019-04-25,116.68,117.21,115.57,117.06,117.06,752100
