Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,128.81,129.73,124.06,128.34,128.34,58347800
2014-06-01,128.28,128.75,125.44,126.56,126.56,56746300
2014-07-01,126.72,129.39,125.37,125.43,125.43,52785500
2014-08-01,125.0,137.25,122.72,137.25,137.25,63594100
2014-09-01,138.03,142.45,136.68,138.14,138.14,69754800
2014-10-01,138.37,141.52,132.03,140.16,140.16,101163600
2014-11-01,140.88,149.49,139.55,148.69,148.69,55476900
2014-12-01,148.61,152.94,144.75,150.15,150.15,93411200
2015-01-01,151.5,151.69,143.89,143.91,143.91,85852500
2015-02-01,144.13,151.63,143.3,147.41,147.41,64043700
2015-03-01,147.71,147.98,142.5,144.32,144.32,78595200
2015-04-01,144.34,144.63,140.33,141.21,141.21,61836700
2015-05-01,142.0,148.57,141.79,143.0,143.0,59076300
2015-06-01,143.26,144.07,136.08,136.11,136.11,72383100
2015-07-01,137.7,144.69,136.04,142.74,142.74,66030400
2015-08-01,143.11,143.99,125.5,134.04,134.04,99187800
2015-09-01,131.79,134.66,127.67,130.4,130.4,100285400
2015-10-01,130.55,138.5,127.46,136.02,136.02,70182000
2015-11-01,136.77,138.62,131.47,134.09,134.09,60917900
2015-12-01,134.86,136.74,129.53,132.04,132.04,88131100
2016-01-01,130.16,131.76,123.9,129.77,129.77,103372000
2016-02-01,128.94,135.11,123.55,134.17,134.17,95998600
2016-03-01,135.11,143.4,134.32,141.88,141.88,85794700
2016-04-01,141.21,148.03,140.27,145.48,145.48,61129300
2016-05-01,145.77,147.14,139.68,140.54,140.54,64389400
2016-06-01,140.97,146.0,136.65,144.79,144.79,89923400
2016-07-01,144.59,146.99,140.95,144.27,144.27,60467600
2016-08-01,144.62,150.9,142.92,150.49,150.49,62405400
2016-09-01,150.7,151.05,143.36,144.47,144.47,78979300
2016-10-01,144.27,145.71,141.92,144.3,144.3,58706300
2016-11-01,144.68,159.09,142.35,157.44,157.44,88282300
2016-12-01,157.58,167.25,157.51,162.98,162.98,82602200
2017-01-01,164.34,165.3,158.61,164.14,164.14,68155500
2017-02-01,164.75,172.2,162.15,171.42,171.42,65273200
2017-03-01,173.7,177.86,165.8,166.68,166.68,91077300
2017-04-01,166.72,168.95,162.28,165.21,165.21,71126900
2017-05-01,165.8,168.04,160.93,165.28,165.28,77027900
2017-06-01,165.8,171.95,164.75,169.37,169.37,74712600
2017-07-01,170.4,175.6,168.0,174.97,174.97,56308100
2017-08-01,175.93,181.87,174.81,181.16,181.16,68399900
2017-09-01,181.6,184.0,172.61,183.32,183.32,69468900
2017-10-01,183.45,190.68,182.93,186.94,186.94,58414700
2017-11-01,188.1,193.81,180.44,193.01,193.01,67325200
2017-12-01,193.59,200.5,189.72,198.22,198.22,78499100
2018-01-01,198.87,217.62,195.96,214.38,214.38,86791300
2018-02-01,214.49,217.5,189.3,207.2,207.2,113727500
2018-03-01,206.82,213.36,191.87,199.48,199.48,100508000
2018-04-01,199.01,202.77,192.02,193.73,193.73,78790800
2018-05-01,193.76,202.41,188.62,191.53,191.53,85653600
2018-06-01,192.9,196.74,184.75,186.65,186.65,94740600
2018-07-01,186.09,201.4,185.72,197.87,197.87,79797600
2018-08-01,198.8,211.32,196.77,208.72,208.72,85477300
2018-09-01,209.21,223.0,208.04,214.11,214.11,81811900
2018-10-01,215.92,224.07,197.29,205.28,205.28,111553000
2018-11-01,205.6,223.52,203.39,218.24,218.24,92111300
2018-12-01,221.98,223.59,186.1,204.18,204.18,123643400
2019-01-01,201.73,208.01,191.04,205.54,205.54,99431700
2019-02-01,206.52,209.4,198.21,201.3,201.3,80023200
2019-03-01,203.15,207.75,197.03,200.89,200.89,89064000
2019-04-01,202.16,214.22,202.0,214.22,214.22,57131300
2019-04-26,211.85,214.22,211.81,214.22,214.22,3110582
