Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,202.16,205.3,202.0,205.0,205.0,4671600
2019-04-02,204.91,205.43,203.59,203.88,203.88,2599500
2019-04-03,205.46,205.7,202.9,203.67,203.67,2864500
2019-04-04,203.26,204.94,202.79,204.1,204.1,2436500
2019-04-05,204.12,205.53,203.1,205.33,205.33,3363500
2019-04-08,205.14,205.64,203.97,205.25,205.25,2624000
2019-04-09,204.84,204.97,203.59,204.92,204.92,2589700
2019-04-10,205.12,205.23,203.6,204.52,204.52,2632200
2019-04-11,204.76,207.09,204.27,206.67,206.67,2988300
2019-04-12,208.08,211.67,207.58,210.56,210.56,4778900
2019-04-15,210.52,210.55,207.76,209.74,209.74,2587500
2019-04-16,210.15,211.84,210.0,211.8,211.8,2644800
2019-04-17,212.39,212.49,209.68,210.37,210.37,2883000
2019-04-18,210.96,211.43,209.73,209.99,209.99,2590900
2019-04-22,209.5,210.37,208.88,209.49,209.49,1929100
2019-04-23,209.5,211.88,208.89,211.61,211.61,3475400
2019-04-24,211.55,212.02,210.23,210.57,210.57,3208500
2019-04-25,209.62,212.67,209.34,211.95,211.95,3122100
