Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,12.64,13.19,12.47,12.83,12.83,239791000
2014-06-01,12.86,13.2,12.28,12.77,12.77,284451800
2014-07-01,12.78,13.34,12.44,12.78,12.78,208687900
2014-08-01,12.73,12.93,12.03,12.68,12.68,171691300
2014-09-01,12.69,12.7,11.76,11.81,11.81,297190300
2014-10-01,11.81,13.38,11.1,13.28,13.28,314714700
2014-11-01,13.31,13.76,12.75,12.87,12.87,257759400
2014-12-01,12.79,13.41,12.56,13.25,13.25,236225600
2015-01-01,13.29,15.05,13.14,14.81,14.81,258225800
2015-02-01,14.81,17.01,14.39,16.9,16.9,306920500
2015-03-01,17.02,18.17,16.38,17.75,17.75,236674900
2015-04-01,17.75,18.5,17.22,17.82,17.82,221909900
2015-05-01,17.85,18.62,17.12,18.27,18.27,207563200
2015-06-01,18.36,18.61,17.21,17.7,17.7,211025300
2015-07-01,17.82,18.11,16.96,17.34,17.34,178276400
2015-08-01,17.38,17.75,14.18,16.74,16.74,172343500
2015-09-01,16.35,17.43,15.73,16.41,16.41,173111900
2015-10-01,16.5,18.41,16.25,18.28,18.28,231471200
2015-11-01,18.28,19.06,17.46,18.28,18.28,190623800
2015-12-01,18.45,18.94,17.99,18.44,18.44,166756800
2016-01-01,18.16,18.38,16.68,17.53,17.53,209887800
2016-02-01,17.45,18.02,15.67,16.98,16.98,238839800
2016-03-01,17.02,18.89,16.82,18.81,18.81,171652500
2016-04-01,18.72,22.42,18.65,21.92,21.92,238267500
2016-05-01,21.92,23.01,21.48,22.71,22.71,197721800
2016-06-01,22.65,23.37,21.83,23.37,23.37,296935700
2016-07-01,23.4,24.79,23.16,24.28,24.28,189487100
2016-08-01,24.38,24.72,23.51,23.82,23.82,139865800
2016-09-01,24.07,24.51,22.95,23.8,23.8,188888800
2016-10-01,23.68,23.88,21.4,22.0,22.0,184129500
2016-11-01,22.0,22.34,20.38,20.46,20.46,189619500
2016-12-01,20.46,21.94,19.67,21.63,21.63,158369000
2017-01-01,21.72,24.07,21.66,24.06,24.06,166033500
2017-02-01,24.0,25.65,23.29,24.55,24.55,205404500
2017-03-01,24.79,25.16,24.02,24.87,24.87,149490600
2017-04-01,24.86,26.47,24.29,26.38,26.38,141353500
2017-05-01,26.37,27.52,25.88,27.03,27.03,137233600
2017-06-01,27.1,28.51,27.1,27.72,27.72,167582200
2017-07-01,27.85,28.06,26.5,26.62,26.62,103061300
2017-08-01,26.8,27.61,26.23,27.55,27.55,104491600
2017-09-01,27.55,29.4,27.31,29.17,29.17,95865300
2017-10-01,29.21,29.93,27.82,28.14,28.14,115800800
2017-11-01,28.23,28.88,25.65,26.28,26.28,187106600
2017-12-01,26.21,26.36,24.54,24.79,24.79,196550900
2018-01-01,24.94,28.64,24.84,27.96,27.96,199283500
2018-02-01,27.43,28.15,25.04,27.26,27.26,161015500
2018-03-01,27.3,28.9,26.27,27.32,27.32,141657600
2018-04-01,27.21,29.68,26.42,28.72,28.72,171692600
2018-05-01,28.74,31.02,28.71,30.39,30.39,130371400
2018-06-01,30.64,37.3,30.3,32.7,32.7,215260300
2018-07-01,32.51,34.63,32.27,33.61,33.61,132843900
2018-08-01,33.55,35.69,32.9,35.56,35.56,140338200
2018-09-01,36.01,39.13,35.38,38.5,38.5,126891300
2018-10-01,38.74,39.44,34.74,36.14,36.14,194511600
2018-11-01,36.42,38.67,31.58,37.67,37.67,155159500
2018-12-01,38.09,38.69,31.56,35.34,35.34,143583200
2019-01-01,34.65,38.24,32.73,38.15,38.15,152768000
2019-02-01,38.15,40.81,37.25,40.12,40.12,143050100
2019-03-01,40.48,41.0,37.1,38.38,38.38,148595200
2019-04-01,38.82,39.0,34.35,37.38,37.38,186623600
2019-04-26,37.17,37.49,36.8,37.38,37.38,9536457
