Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,134.12,135.52,133.57,135.46,135.46,1001000
2019-04-02,135.58,137.77,134.27,137.61,137.61,1035900
2019-04-03,138.02,138.61,136.93,138.37,138.37,893500
2019-04-04,138.17,138.69,136.6,137.92,137.92,595000
2019-04-05,137.75,138.44,137.3,138.38,138.38,451200
2019-04-08,138.47,138.49,137.24,138.02,138.02,499100
2019-04-09,137.83,137.87,137.01,137.28,137.28,737400
2019-04-10,137.45,138.45,137.25,138.39,138.39,605700
2019-04-11,138.7,139.41,137.9,138.45,138.45,525900
2019-04-12,138.42,138.42,136.87,137.89,137.89,1226200
2019-04-15,138.24,138.24,136.44,137.05,137.05,672400
2019-04-16,136.85,137.52,133.5,134.26,134.26,783500
2019-04-17,134.5,134.5,131.76,131.79,131.79,885500
2019-04-18,131.84,133.46,131.69,132.99,132.99,568900
2019-04-22,132.74,132.88,130.11,131.55,131.55,576200
2019-04-23,132.91,134.93,132.23,134.79,134.79,638400
2019-04-24,135.51,136.36,134.83,135.94,135.94,516800
2019-04-25,136.06,136.24,134.78,135.89,135.89,507800
