Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,105.2,108.21,100.72,102.23,86.39,81653000.0
2014-06-01,102.42,109.85,102.01,108.67,91.83,68902600.0
2014-07-01,109.08,111.46,100.74,100.75,85.14,81170300.0
2014-07-17,,,,,,
2014-08-01,100.52,109.1,99.11,109.07,92.75,93200800.0
2014-09-01,109.03,109.73,98.26,99.03,84.22,106277300.0
2014-10-01,98.64,102.37,90.05,101.41,86.24,131520200.0
2014-10-16,,,,,,
2014-11-01,101.61,107.12,98.04,100.6,86.2,71483300.0
2014-12-01,100.24,101.46,88.03,91.53,78.43,123785900.0
2015-01-01,91.77,92.37,78.81,79.97,68.53,169935500.0
2015-01-15,,,,,,
2015-02-01,80.08,85.81,79.49,82.9,71.62,109675600.0
2015-03-01,82.9,83.79,78.19,80.03,69.14,125119100.0
2015-04-01,80.03,87.92,79.39,86.88,75.06,128123100.0
2015-04-16,,,,,,
2015-05-01,87.69,89.62,85.11,85.32,74.32,87199000.0
2015-06-01,86.06,88.81,84.7,84.82,73.89,76787300.0
2015-07-01,85.39,85.45,74.77,78.63,68.49,144266200.0
2015-07-16,,,,,,
2015-08-01,78.42,80.31,70.23,75.66,66.51,172282200.0
2015-09-01,74.5,76.16,62.99,65.36,57.46,173141300.0
2015-10-01,65.63,73.28,63.1,72.99,64.17,157551400.0
2015-10-22,,,,,,
2015-11-01,73.0,75.93,68.41,72.65,64.58,102799600.0
2015-12-01,72.33,72.64,64.1,67.96,60.41,140848000.0
2016-01-01,66.88,68.44,56.36,62.24,55.33,173528200.0
2016-01-15,,,,,,
2016-01-18,,,,,,
2016-02-01,61.97,68.58,59.8,67.7,61.73,127993000.0
2016-03-01,68.44,77.25,67.34,76.54,69.79,141802500.0
2016-04-01,75.65,80.89,73.7,77.72,70.87,121584500.0
2016-04-21,,,,,,
2016-05-01,77.35,78.07,69.04,72.51,66.76,112097100.0
2016-06-01,71.98,78.7,70.53,75.81,69.8,106016600.0
2016-07-01,75.38,84.29,73.46,82.76,76.2,103831700.0
2016-07-18,,,,,,
2016-08-01,82.76,84.73,80.92,81.95,76.18,74505900.0
2016-09-01,81.59,88.98,79.93,88.77,82.52,99190800.0
2016-10-01,88.23,89.87,82.71,83.46,77.58,105520100.0
2016-10-20,,,,,,
2016-11-01,83.47,96.44,80.33,95.56,89.61,120945700.0
2016-12-01,96.0,97.4,91.0,92.74,86.97,88171700.0
2017-01-01,94.0,99.46,92.2,95.66,89.71,94093100.0
2017-01-18,,,,,,
2017-02-01,95.81,99.2,92.11,96.66,91.4,85099900.0
2017-03-01,98.2,98.97,90.34,92.76,87.71,142419000.0
2017-04-01,92.43,105.98,91.0,102.26,96.69,111600400.0
2017-04-20,,,,,,
2017-05-01,102.65,105.94,97.74,105.43,100.52,103921000.0
2017-06-01,105.77,108.18,102.3,107.46,102.45,105078400.0
2017-07-01,106.51,114.9,105.11,113.95,108.64,86813400.0
2017-07-18,,,,,,
2017-08-01,114.27,118.83,112.09,117.49,112.82,66472800.0
2017-09-01,117.49,125.55,116.5,124.71,119.76,64132400.0
2017-10-01,124.4,140.44,123.95,135.8,130.41,92524700.0
2017-10-20,,,,,,
2017-11-01,135.67,141.33,133.81,141.15,136.35,61115200.0
2017-12-01,141.6,158.65,138.38,157.58,152.22,74722200.0
2018-01-01,158.3,173.24,155.4,162.78,157.25,134885700.0
2018-01-19,,,,,,
2018-02-01,161.24,164.6,142.85,154.63,150.07,126876000.0
2018-03-01,153.67,159.34,143.63,147.38,143.03,125301400.0
2018-04-01,146.44,161.1,138.05,144.36,140.1,118197600.0
2018-04-20,,,,,,
2018-05-01,143.08,161.6,138.15,151.91,148.17,91605300.0
2018-06-01,153.3,159.19,132.68,135.67,132.33,90552600.0
2018-07-01,133.8,146.7,133.2,143.8,140.26,98578900.0
2018-07-19,,,,,,
2018-08-01,142.97,143.77,129.43,138.85,136.26,96017600.0
2018-09-01,137.86,157.72,136.93,152.49,149.65,80648700.0
2018-10-01,153.61,159.37,112.06,121.32,119.06,181855500.0
2018-10-19,,,,,,
2018-11-01,122.59,135.97,120.94,135.67,133.99,126414800.0
2018-12-01,141.88,142.41,116.09,127.07,125.5,110482700.0
2019-01-01,124.03,137.72,120.44,133.16,131.51,119268900.0
2019-01-18,,,,,,
2019-02-01,133.03,142.55,126.55,137.34,136.51,78957600.0
2019-03-01,138.86,139.77,129.23,135.49,134.67,81106300.0
2019-04-01,137.69,144.77,134.09,139.03,138.19,76657000.0
2019-04-18,,,,,,
2019-04-26,136.56,139.03,135.89,139.03,139.03,4939929.0
