Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,140.61,141.59,140.34,141.46,141.46,1445700
2019-04-02,141.46,141.56,139.72,139.91,139.91,1372100
2019-04-03,139.79,139.99,137.18,137.84,137.84,1937000
2019-04-04,137.6,137.62,136.18,136.77,136.77,2271700
2019-04-05,137.0,137.8,136.64,137.59,137.59,1391200
2019-04-08,137.32,137.5,136.47,137.16,137.16,1065900
2019-04-09,136.5,136.57,135.72,136.57,136.57,1099200
2019-04-10,136.6,137.56,136.44,137.41,137.41,1003400
2019-04-11,137.71,138.38,137.4,137.99,137.99,1111000
2019-04-12,138.48,139.41,137.88,139.17,139.17,1544000
2019-04-15,139.08,139.43,138.65,138.96,138.96,1155800
2019-04-16,139.41,140.28,139.37,140.21,140.21,1172400
2019-04-17,138.65,139.6,137.35,137.79,137.79,1417100
2019-04-18,137.8,140.46,137.8,138.66,138.66,1302200
2019-04-22,138.02,138.14,137.16,138.04,138.04,855000
2019-04-23,138.26,139.02,137.87,138.6,138.6,993200
2019-04-24,139.0,141.41,138.45,140.55,140.55,1882700
2019-04-25,139.99,142.01,139.28,141.71,141.71,1309400
