Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,72.86,77.95,72.63,76.73,63.6,39547300.0
2014-06-01,76.84,77.11,72.43,74.26,61.55,34934000.0
2014-06-18,,,,,,
2014-07-01,74.53,76.81,73.01,74.18,61.78,47692900.0
2014-08-01,74.24,80.52,72.53,79.51,66.22,42330100.0
2014-09-01,79.77,81.0,78.02,80.53,67.07,41670900.0
2014-09-17,,,,,,
2014-10-01,80.77,84.97,76.16,78.12,65.35,98045200.0
2014-11-01,78.71,83.58,77.69,83.09,69.51,64719400.0
2014-12-01,82.81,83.19,74.45,78.7,65.83,64226800.0
2014-12-17,,,,,,
2015-01-01,78.86,88.79,78.57,86.51,73.16,74923800.0
2015-02-01,86.59,89.44,85.02,86.31,72.99,67122800.0
2015-03-01,86.6,87.51,82.54,82.54,69.81,45149900.0
2015-03-18,,,,,,
2015-04-01,82.88,87.46,82.85,83.53,71.33,44744000.0
2015-05-01,83.59,84.78,81.29,81.55,69.64,40945500.0
2015-06-01,81.6,85.79,80.11,80.3,68.57,45989100.0
2015-06-17,,,,,,
2015-07-01,80.22,84.32,80.22,81.91,70.64,40472300.0
2015-08-01,82.08,86.56,78.31,83.39,71.92,47008900.0
2015-09-01,82.0,83.36,75.78,78.87,68.02,49929900.0
2015-09-16,,,,,,
2015-10-01,78.9,87.25,78.28,85.46,74.48,47002400.0
2015-11-01,85.57,88.18,83.24,85.91,74.87,31475600.0
2015-12-01,86.18,88.15,84.16,86.45,75.35,49262600.0
2015-12-16,,,,,,
2016-01-01,85.64,87.18,75.71,86.2,75.91,54649700.0
2016-02-01,85.62,88.26,79.99,86.5,76.17,46255800.0
2016-03-01,87.0,88.46,84.06,86.5,76.17,55543400.0
2016-03-16,,,,,,
2016-04-01,86.13,88.82,85.77,86.88,77.31,39557600.0
2016-05-01,87.07,91.97,85.59,90.81,80.81,42573400.0
2016-06-01,90.45,101.44,90.33,101.43,90.26,57280000.0
2016-06-15,,,,,,
2016-07-01,101.55,102.82,95.85,97.03,87.17,44350000.0
2016-08-01,96.91,97.75,92.7,94.77,85.14,36163000.0
2016-09-01,94.7,99.0,89.82,94.21,84.63,63352100.0
2016-09-14,,,,,,
2016-10-01,93.78,95.84,87.96,90.99,82.54,52076200.0
2016-11-01,91.33,91.59,79.38,83.46,75.71,84381900.0
2016-12-01,83.19,88.25,80.82,86.77,78.71,44846400.0
2016-12-14,,,,,,
2017-01-01,87.25,90.14,83.96,87.83,80.54,37965900.0
2017-02-01,88.28,93.7,86.5,93.53,85.77,36211700.0
2017-03-01,93.43,95.45,88.71,94.45,86.61,54217100.0
2017-03-15,,,,,,
2017-04-01,94.44,97.3,93.38,94.6,87.68,44278300.0
2017-05-01,94.88,104.34,93.22,101.65,94.21,44948200.0
2017-06-01,102.01,104.68,98.84,100.18,92.85,48286500.0
2017-06-14,,,,,,
2017-07-01,100.53,101.61,93.14,100.58,94.09,87095100.0
2017-08-01,100.92,108.88,99.39,108.44,101.45,53851500.0
2017-09-01,108.47,108.61,99.16,99.98,93.53,44868800.0
2017-09-14,,,,,,
2017-10-01,100.31,110.66,99.33,107.08,101.09,51892400.0
2017-11-01,107.68,114.97,104.78,113.0,106.68,42205600.0
2017-12-01,113.45,113.49,107.33,111.01,104.8,35504400.0
2017-12-14,,,,,,
2018-01-01,110.53,113.39,102.6,112.77,107.48,57908400.0
2018-02-01,112.91,114.47,100.76,110.06,104.89,54267800.0
2018-03-01,108.1,112.34,103.65,109.61,104.46,69095500.0
2018-03-15,,,,,,
2018-04-01,109.59,110.44,98.85,100.87,97.04,66888100.0
2018-05-01,101.25,105.98,99.77,104.15,100.2,47055500.0
2018-06-01,104.3,108.34,99.99,107.82,103.73,50249500.0
2018-06-14,,,,,,
2018-07-01,107.85,112.25,106.91,110.83,107.74,47729900.0
2018-08-01,110.16,114.81,109.42,114.03,110.86,43600300.0
2018-09-01,113.7,114.45,108.31,111.33,108.23,33854100.0
2018-09-13,,,,,,
2018-10-01,111.33,112.07,103.29,108.74,106.71,62279000.0
2018-11-01,109.24,114.95,107.88,114.9,112.76,45433500.0
2018-12-01,114.68,117.6,103.21,108.63,106.6,46476000.0
2018-12-13,,,,,,
2019-01-01,107.62,117.2,104.22,117.06,116.01,45758800.0
2019-02-01,117.22,120.56,114.86,118.75,117.68,33465300.0
2019-03-01,118.85,128.2,117.4,128.0,126.85,40806400.0
2019-03-14,,,,,,
2019-04-01,128.37,130.6,119.81,124.01,124.01,35271500.0
2019-04-26,123.5,124.7,123.04,124.01,124.01,1630154.0
