Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,99.48,101.39,99.46,101.23,100.65,845100
2019-04-02,101.67,102.39,101.04,101.81,101.23,864200
2019-04-03,102.71,103.88,102.45,103.2,102.61,892300
2019-04-04,103.69,104.97,103.41,104.9,104.3,1073700
2019-04-05,105.29,106.21,105.08,105.76,105.16,863800
2019-04-08,105.0,105.82,102.46,102.61,102.02,1685100
2019-04-09,101.67,101.97,100.43,101.62,101.04,723600
2019-04-10,102.14,102.22,100.48,101.81,101.23,761200
2019-04-11,102.0,102.7,101.63,102.1,101.52,563300
2019-04-12,103.41,105.36,102.87,105.3,104.7,1479400
2019-04-15,104.84,105.85,103.67,103.99,103.4,523600
2019-04-16,104.22,105.57,104.1,105.37,104.77,754300
2019-04-17,106.2,109.01,105.4,105.44,104.84,1057800
2019-04-18,106.01,106.51,104.3,105.19,104.59,896500
2019-04-22,104.75,105.79,104.35,104.47,103.87,1044100
2019-04-23,110.21,113.84,109.1,112.17,111.53,1956300
2019-04-24,112.26,112.84,110.74,110.89,110.26,1480200
2019-04-25,110.43,110.43,108.07,108.7,108.08,984600
