Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,57.67,57.75,56.66,57.52,57.52,1771100
2019-04-02,57.48,57.62,56.68,56.93,56.93,1158100
2019-04-03,57.26,57.49,56.79,57.12,57.12,1678300
2019-04-04,57.21,57.54,56.71,57.05,57.05,858400
2019-04-05,57.03,57.51,57.0,57.32,57.32,993100
2019-04-08,57.41,57.58,56.52,57.09,57.09,1398000
2019-04-09,63.38,66.03,61.89,62.97,62.97,15884200
2019-04-10,63.6,63.77,61.67,63.71,63.71,5189700
2019-04-11,63.57,63.76,61.98,62.2,62.2,3311000
2019-04-12,62.39,62.84,62.2,62.8,62.8,2586000
2019-04-15,62.72,63.6,62.48,63.46,63.46,3062300
2019-04-16,63.78,63.97,62.64,63.05,63.05,2196800
2019-04-17,63.12,63.43,62.23,62.4,62.4,3012500
2019-04-18,62.8,63.01,61.86,62.71,62.71,2577500
2019-04-22,62.44,63.0,62.24,62.67,62.67,2046300
2019-04-23,62.93,64.11,62.86,63.83,63.83,3850100
2019-04-24,63.82,64.4,63.78,64.15,64.15,2746900
2019-04-25,63.68,64.96,63.16,64.6,64.6,2906700
