Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,41.45,41.84,40.77,41.82,41.82,2043600
2019-04-02,41.94,42.18,41.47,41.68,41.68,2531700
2019-04-03,42.16,43.24,42.16,42.93,42.93,3200900
2019-04-04,42.74,43.2,42.42,43.18,43.18,1624100
2019-04-05,43.26,43.55,42.91,43.48,43.48,2300800
2019-04-08,43.64,43.72,42.98,43.56,43.56,1645000
2019-04-09,43.13,43.21,42.54,42.75,42.75,1773900
2019-04-10,42.76,42.96,42.17,42.55,42.55,1663000
2019-04-11,42.24,42.65,41.94,42.25,42.25,1292600
2019-04-12,42.8,43.15,42.17,42.58,42.58,1374300
2019-04-15,42.54,43.14,42.52,42.87,42.87,1383500
2019-04-16,42.87,44.08,42.5,43.86,43.86,2148200
2019-04-17,44.1,44.91,43.95,44.62,44.62,4331200
2019-04-18,43.44,45.31,42.83,45.14,45.14,4662100
2019-04-22,44.94,45.72,44.86,44.95,44.95,3036000
2019-04-23,44.7,45.0,43.31,44.57,44.57,3199900
2019-04-24,44.43,44.65,43.57,44.55,44.55,1552100
2019-04-25,44.22,44.74,44.06,44.07,44.07,1842200
