Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,87.62,88.47,87.2,88.3,88.3,695500
2019-04-02,88.59,88.93,87.97,88.49,88.49,1268600
2019-04-03,88.95,90.33,88.5,88.7,88.7,1178100
2019-04-04,88.96,90.33,88.92,89.23,89.23,659300
2019-04-05,89.32,89.92,89.02,89.46,89.46,476200
2019-04-08,89.36,90.0,89.05,89.62,89.62,624200
2019-04-09,89.16,89.43,88.45,89.23,89.23,673100
2019-04-10,89.1,89.1,87.79,88.33,88.33,760600
2019-04-11,88.95,89.87,88.76,89.67,89.67,871300
2019-04-12,90.0,90.97,89.7,90.79,90.79,813200
2019-04-15,90.94,91.49,90.2,90.88,90.88,946200
2019-04-16,87.72,89.88,87.5,89.52,89.52,1869200
2019-04-17,90.1,90.14,89.33,89.47,89.47,872800
2019-04-18,89.77,90.89,89.3,89.99,89.99,760800
2019-04-22,89.59,90.23,89.29,90.16,90.16,641500
2019-04-23,90.59,91.43,90.22,90.73,90.73,932100
2019-04-24,90.65,91.97,90.65,91.42,91.42,910900
2019-04-25,91.28,91.28,87.88,88.58,88.58,1040100
