Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,135.36,144.59,134.14,143.14,143.14,20798100.0
2014-06-01,142.89,159.24,142.85,158.38,158.38,19626000.0
2014-07-01,158.68,167.3,151.59,154.52,154.52,23809300.0
2014-08-01,155.68,160.99,149.66,156.87,156.87,16436000.0
2014-09-01,156.67,162.97,150.48,151.37,151.37,19825100.0
2014-10-01,151.0,159.15,137.51,158.39,158.39,25213800.0
2014-11-01,158.99,169.73,142.37,169.7,169.7,22282500.0
2014-12-01,169.57,169.85,158.0,166.62,166.62,15879500.0
2015-01-01,167.23,167.3,149.47,151.12,151.12,18999000.0
2015-02-01,151.16,183.24,150.29,180.6,180.6,19285900.0
2015-03-01,180.46,199.0,178.69,193.11,193.11,21758700.0
2015-04-01,191.94,194.0,179.77,187.06,187.06,26659400.0
2015-05-01,182.36,191.9,172.17,179.02,179.02,50459200.0
2015-06-01,179.18,181.9,166.54,171.25,171.25,36113900.0
2015-07-01,172.97,189.99,168.73,185.86,185.86,34422900.0
2015-08-01,186.94,195.46,161.91,181.65,181.65,36152800.0
2015-09-01,180.53,195.0,166.33,175.85,175.85,33456700.0
2015-10-01,176.74,194.92,175.08,190.94,190.94,33829700.0
2015-11-01,193.25,193.63,183.06,187.36,187.36,23565900.0
2015-12-01,187.65,190.68,173.21,183.1,183.1,25936100.0
2016-01-01,180.56,182.04,160.74,171.36,171.36,33538700.0
2016-02-01,169.64,184.72,156.13,179.56,179.56,53205300.0
2016-03-01,181.08,204.61,179.91,202.43,202.43,47628900.0
2016-04-01,203.12,213.32,193.77,212.24,212.24,46320900.0
2016-05-01,212.25,233.7,201.04,218.94,218.94,111942000.0
2016-05-18,,,,,,
2016-06-01,222.5,229.8,214.06,228.64,228.64,57572700.0
2016-07-01,228.68,244.51,226.81,234.87,234.87,28005600.0
2016-08-01,235.54,261.75,233.0,257.21,257.21,32874000.0
2016-09-01,267.0,279.95,261.68,269.97,269.97,86311000.0
2016-10-01,269.68,270.99,242.47,249.89,249.89,36243200.0
2016-11-01,250.0,281.43,241.5,275.31,275.31,51743900.0
2016-12-01,273.55,294.87,265.78,287.92,287.92,28930300.0
2017-01-01,290.24,341.5,282.54,323.95,323.95,42799300.0
2017-02-01,323.85,329.1,317.02,323.06,323.06,25845800.0
2017-03-01,325.76,330.91,318.93,327.32,327.32,22515200.0
2017-04-01,327.5,350.38,325.02,345.16,345.16,22288100.0
2017-05-01,346.29,347.25,312.49,345.55,345.55,40915700.0
2017-06-01,346.5,355.0,326.4,336.85,336.85,35013300.0
2017-07-01,338.26,399.91,328.65,391.97,391.97,31064900.0
2017-08-01,392.84,408.83,378.26,398.54,398.54,36725800.0
2017-09-01,398.93,404.72,356.11,363.42,363.42,43514600.0
2017-10-01,364.52,374.99,308.3,334.17,334.17,49702800.0
2017-11-01,335.62,361.28,317.93,326.21,326.21,40167000.0
2017-12-01,321.94,347.48,312.53,335.96,335.96,36909100.0
2018-01-01,338.43,379.33,337.77,377.25,377.25,30143300.0
2018-02-01,376.11,396.64,341.71,341.93,341.93,28970700.0
2018-03-01,342.72,369.51,303.78,311.22,311.22,31575200.0
2018-04-01,308.91,322.89,250.1,271.29,271.29,47553200.0
2018-05-01,270.58,281.33,259.48,261.04,261.04,38235700.0
2018-06-01,261.7,302.43,260.0,293.21,293.21,37397200.0
2018-07-01,292.13,314.88,271.56,304.58,304.58,24798600.0
2018-08-01,304.99,313.11,292.71,310.4,310.4,33927800.0
2018-09-01,309.82,334.98,303.09,325.88,325.88,29555100.0
2018-10-01,327.66,329.14,284.35,320.37,320.37,36438100.0
2018-11-01,319.78,334.76,302.46,329.2,329.2,24343500.0
2018-12-01,331.71,334.31,272.91,284.97,284.97,27439200.0
2019-01-01,279.89,338.31,279.11,331.05,331.05,32434100.0
2019-02-01,331.87,353.75,330.92,344.91,344.91,23429000.0
2019-03-01,347.52,368.02,335.53,346.91,346.91,30610000.0
2019-04-01,349.81,370.33,343.15,370.15,370.15,16548800.0
2019-04-26,368.19,370.33,364.69,370.15,370.15,775967.0
