Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,162.62,163.09,160.44,161.87,161.87,1894500
2019-04-02,162.45,162.49,158.53,158.62,158.62,2712800
2019-04-03,159.25,161.23,158.0,159.0,159.0,2286400
2019-04-04,159.0,161.66,158.36,161.48,161.48,1703700
2019-04-05,162.65,167.45,162.38,166.13,166.13,3692900
2019-04-08,166.17,167.53,164.65,167.4,167.4,2385400
2019-04-09,166.46,170.89,165.18,169.13,169.13,2742600
2019-04-10,168.44,169.69,166.89,168.2,168.2,2082300
2019-04-11,168.3,168.38,162.36,164.01,164.01,3368000
2019-04-12,164.94,165.0,159.73,160.6,160.6,3592700
2019-04-15,161.69,165.51,160.16,163.82,163.82,2669700
2019-04-16,166.7,167.26,150.51,151.04,151.04,6383100
2019-04-17,151.11,151.76,141.95,145.49,145.49,8670300
2019-04-18,145.95,149.05,144.24,149.0,149.0,5347700
2019-04-22,149.51,151.72,147.74,147.99,147.99,2654200
2019-04-23,148.77,155.79,148.7,153.82,153.82,4360000
2019-04-24,153.38,154.44,151.53,154.22,154.22,1821200
2019-04-25,153.24,157.72,152.13,156.81,156.81,2290900
