Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,67.18,68.47,66.1,68.4,61.01,58331300.0
2014-06-01,68.13,69.47,66.98,68.18,60.81,54575600.0
2014-07-01,68.5,70.11,63.4,63.4,56.55,55878500.0
2014-07-16,,,,,,
2014-08-01,63.06,65.7,62.89,64.73,58.03,69051100.0
2014-09-01,64.44,66.36,63.36,65.22,58.47,72310400.0
2014-10-01,65.22,67.12,62.53,66.88,59.96,86218600.0
2014-10-15,,,,,,
2014-11-01,66.8,69.9,66.71,69.59,62.74,44724700.0
2014-12-01,68.67,71.31,67.25,69.19,62.38,62216800.0
2015-01-01,69.17,69.46,64.87,67.52,60.87,77659300.0
2015-01-21,,,,,,
2015-02-01,67.36,71.29,66.98,70.82,64.19,51705100.0
2015-03-01,70.82,71.56,66.88,69.34,62.84,66423300.0
2015-04-01,69.34,70.44,66.78,67.28,60.98,54182200.0
2015-04-21,,,,,,
2015-05-01,67.28,69.28,66.74,66.79,60.87,54493300.0
2015-06-01,66.71,67.57,64.83,65.41,59.61,71699700.0
2015-07-01,65.59,69.23,65.55,68.02,61.99,64249000.0
2015-07-21,,,,,,
2015-08-01,67.66,69.3,50.84,62.81,57.57,76394200.0
2015-09-01,61.62,64.13,60.91,63.46,58.16,95773500.0
2015-10-01,63.58,69.44,63.06,66.35,60.81,72055100.0
2015-10-21,,,,,,
2015-11-01,66.77,68.11,64.51,65.68,60.54,63480500.0
2015-12-01,65.77,68.49,64.99,66.62,61.41,68944000.0
2016-01-01,65.4,67.65,61.4,67.53,62.24,91263400.0
2016-01-21,,,,,,
2016-02-01,66.93,68.39,64.0,65.64,60.87,70994500.0
2016-03-01,66.06,71.25,65.93,70.65,65.52,70419500.0
2016-04-01,70.21,71.79,68.24,70.92,65.77,70885800.0
2016-04-20,,,,,,
2016-05-01,71.47,72.72,69.53,70.41,65.65,64385900.0
2016-06-01,70.41,73.2,69.71,73.2,68.26,66417000.0
2016-07-01,73.2,75.33,72.63,74.43,69.4,64360500.0
2016-07-20,,,,,,
2016-08-01,74.44,75.38,73.89,74.34,69.68,50097400.0
2016-09-01,74.38,75.35,70.86,74.14,69.5,70856600.0
2016-10-01,73.93,74.07,70.25,71.36,66.89,61448600.0
2016-10-20,,,,,,
2016-11-01,71.46,71.73,65.23,65.23,61.48,81716600.0
2016-12-01,65.23,67.3,64.46,65.44,61.68,68212100.0
2017-01-01,65.56,68.5,63.43,64.58,60.87,88447700.0
2017-01-19,,,,,,
2017-02-01,64.5,75.09,64.43,72.98,69.18,109426700.0
2017-03-01,73.05,74.44,72.58,73.19,69.38,79175600.0
2017-04-01,73.1,74.88,70.17,72.04,68.29,65019900.0
2017-04-19,,,,,,
2017-05-01,72.29,76.86,70.66,76.36,72.78,95453800.0
2017-06-01,76.5,77.27,74.04,74.13,70.65,58941000.0
2017-07-01,74.34,74.59,69.78,72.2,68.81,68845300.0
2017-07-14,,,,,,
2017-08-01,72.11,72.35,70.66,71.64,68.66,59892700.0
2017-09-01,71.66,73.91,70.77,72.85,69.82,57647100.0
2017-10-01,73.02,76.1,69.05,70.45,67.52,80008000.0
2017-10-20,,,,,,
2017-11-01,70.72,73.83,69.75,72.45,69.82,70110700.0
2017-12-01,72.51,75.72,71.93,75.45,72.71,60195000.0
2018-01-01,75.43,77.91,72.45,74.24,71.54,88765600.0
2018-01-22,,,,,,
2018-02-01,74.33,74.63,68.19,68.97,66.81,77241000.0
2018-03-01,68.87,72.29,67.86,71.68,69.43,80751400.0
2018-04-01,71.32,72.61,64.84,65.23,63.18,94826200.0
2018-04-19,,,,,,
2018-05-01,64.78,65.39,61.28,63.09,61.47,105734300.0
2018-06-01,63.25,65.67,61.97,64.81,63.14,94871300.0
2018-07-01,64.6,67.92,64.03,67.01,65.29,78389000.0
2018-07-17,,,,,,
2018-08-01,66.83,68.43,65.01,66.41,65.12,64552600.0
2018-09-01,65.74,69.29,64.95,66.95,65.65,57660400.0
2018-10-01,66.96,67.8,57.41,59.55,58.39,118852700.0
2018-10-18,,,,,,
2018-11-01,59.63,63.99,59.32,63.52,62.7,109577700.0
2018-12-01,63.46,65.88,57.51,59.52,58.75,100054300.0
2019-01-01,59.24,64.85,58.62,64.68,63.85,104403100.0
2019-01-22,,,,,,
2019-02-01,64.9,67.47,64.2,65.87,65.46,72085600.0
2019-03-01,65.92,68.61,64.78,68.54,68.11,71090200.0
2019-04-01,68.38,71.5,67.25,71.3,70.86,59876500.0
2019-04-17,,,,,,
2019-04-26,69.58,71.5,69.48,71.3,71.3,5689727.0
