Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,25.23,25.55,23.39,24.12,19.42,74687100.0
2014-05-14,,,,,,
2014-06-01,24.09,25.75,23.6,25.54,20.77,95421600.0
2014-07-01,25.58,25.62,24.3,24.32,19.78,55844300.0
2014-08-01,24.29,24.91,23.47,24.84,20.2,69323900.0
2014-08-13,,,,,,
2014-09-01,24.85,25.09,23.73,24.47,20.1,73068800.0
2014-10-01,24.52,24.84,21.07,24.55,20.16,111102900.0
2014-11-01,24.63,25.56,23.85,23.94,19.66,78821200.0
2014-11-12,,,,,,
2014-12-01,23.85,24.38,21.41,23.43,19.43,94944100.0
2015-01-01,23.45,23.66,22.21,23.09,19.15,71171700.0
2015-02-01,23.12,23.3,20.63,20.79,17.24,86440300.0
2015-02-11,,,,,,
2015-03-01,20.81,21.47,20.23,20.41,17.11,88427100.0
2015-04-01,20.4,21.48,20.28,20.97,17.58,69408200.0
2015-05-01,21.03,21.29,19.63,20.37,17.08,75778800.0
2015-05-13,,,,,,
2015-06-01,20.4,20.42,18.92,19.03,16.15,83795700.0
2015-07-01,19.07,19.66,18.2,19.34,16.42,78297500.0
2015-08-01,19.37,20.1,17.72,18.62,15.8,88502300.0
2015-08-12,,,,,,
2015-09-01,18.31,18.57,17.48,18.04,15.51,81851200.0
2015-10-01,18.1,19.26,17.6,18.55,15.95,90061400.0
2015-11-01,18.55,18.9,16.85,16.95,14.57,84874300.0
2015-11-10,,,,,,
2015-12-01,17.01,18.48,16.05,18.36,16.01,135308000.0
2016-01-01,18.26,18.49,16.38,17.87,15.58,106841500.0
2016-02-01,18.25,19.27,17.52,18.63,16.25,114630100.0
2016-02-11,,,,,,
2016-03-01,18.8,21.39,18.32,20.92,18.5,101718400.0
2016-04-01,20.84,21.51,20.46,21.45,18.97,71803800.0
2016-05-01,21.46,22.73,21.25,22.53,19.93,77886100.0
2016-05-12,,,,,,
2016-06-01,22.53,24.11,22.35,24.0,21.48,79080800.0
2016-07-01,24.08,24.71,23.43,23.92,21.41,94518600.0
2016-08-01,23.89,24.01,21.97,22.47,20.11,118819300.0
2016-08-12,,,,,,
2016-09-01,22.41,24.43,22.27,23.23,21.03,76352400.0
2016-10-01,23.18,23.18,21.83,22.8,20.64,57790400.0
2016-11-01,22.83,24.42,21.91,23.86,21.6,78812100.0
2016-11-14,,,,,,
2016-12-01,23.8,24.98,23.57,24.64,22.56,80897200.0
2017-01-01,24.72,26.23,24.45,26.21,23.99,60251400.0
2017-02-01,26.09,27.43,25.51,27.32,25.01,53730400.0
2017-02-14,,,,,,
2017-03-01,27.19,28.18,27.05,27.57,25.49,74112500.0
2017-04-01,27.55,28.86,27.3,28.53,26.38,50416700.0
2017-05-01,28.58,28.73,26.87,28.61,26.46,60955100.0
2017-05-12,,,,,,
2017-06-01,28.61,29.08,27.35,27.38,25.57,63280200.0
2017-07-01,27.47,28.34,26.98,28.19,26.32,52597900.0
2017-08-01,28.23,30.12,27.61,29.62,27.66,65340400.0
2017-08-14,,,,,,
2017-09-01,29.7,30.45,28.9,29.21,27.53,61417800.0
2017-10-01,29.25,29.97,28.6,29.58,27.88,55263000.0
2017-11-01,29.71,30.07,28.2,30.01,28.29,53135700.0
2017-11-15,,,,,,
2017-12-01,30.17,30.17,27.75,28.36,26.97,57419600.0
2018-01-01,28.39,28.49,27.11,28.18,26.8,83232600.0
2018-02-01,28.17,28.32,25.84,27.05,25.73,81262800.0
2018-02-14,,,,,,
2018-03-01,27.05,27.59,26.4,27.4,26.33,124024300.0
2018-04-01,27.47,27.54,24.81,25.33,24.34,106927100.0
2018-05-01,25.26,27.08,24.99,26.13,25.11,112448700.0
2018-05-16,,,,,,
2018-06-01,26.13,28.0,25.1,27.71,26.92,78842900.0
2018-07-01,27.75,28.54,26.55,28.48,27.66,69184600.0
2018-08-01,28.32,28.49,27.48,27.79,26.99,58136300.0
2018-08-15,,,,,,
2018-09-01,27.68,29.06,26.87,27.65,27.13,151649500.0
2018-10-01,27.59,28.45,26.74,27.01,26.5,130134300.0
2018-11-01,27.05,28.67,26.87,28.01,27.48,98628500.0
2018-11-14,,,,,,
2018-12-01,28.1,29.63,26.81,28.23,27.97,110967300.0
2019-01-01,28.16,30.99,27.74,30.92,30.64,114218800.0
2019-02-01,30.86,31.42,29.2,30.14,29.86,88508200.0
2019-02-20,,,,,,
2019-03-01,30.1,31.07,29.76,30.7,30.7,95346000.0
2019-04-01,30.69,30.94,29.96,30.47,30.47,75725300.0
2019-04-26,30.71,30.88,30.46,30.47,30.47,2795981.0
