Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,39.26,39.46,35.68,36.24,35.21,120394600.0
2014-05-13,,,,,,
2014-06-01,36.21,36.49,33.6,34.14,33.19,105209200.0
2014-07-01,34.15,35.41,32.27,32.95,32.03,121358100.0
2014-08-01,32.86,34.78,32.52,33.54,32.6,85876300.0
2014-08-01,,,,,,
2014-09-01,33.91,34.22,30.75,32.69,31.8,116011000.0
2014-10-01,32.64,32.98,27.75,31.1,30.25,167696500.0
2014-11-01,31.44,35.24,29.87,33.04,32.14,104195900.0
2014-11-04,,,,,,
2014-12-01,32.78,33.57,29.04,29.61,28.82,154538300.0
2015-01-01,29.47,30.39,26.01,26.5,25.79,149048300.0
2015-01-28,,,,,,
2015-02-01,26.86,30.01,26.45,29.0,28.25,134194400.0
2015-03-01,29.0,29.85,26.83,29.53,28.76,117491000.0
2015-04-01,29.48,34.24,29.48,33.82,32.94,121256500.0
2015-05-01,33.79,35.64,33.49,33.96,33.08,108056900.0
2015-05-05,,,,,,
2015-06-01,33.91,34.56,31.27,31.54,30.74,107093100.0
2015-07-01,31.51,31.68,25.5,26.16,25.49,127410100.0
2015-08-01,25.75,27.24,20.94,23.67,23.07,147570400.0
2015-08-03,,,,,,
2015-09-01,22.96,24.47,21.31,21.86,21.32,120582900.0
2015-10-01,22.14,24.15,20.0,21.71,21.17,154957900.0
2015-11-01,21.53,23.04,18.61,18.83,18.37,104978700.0
2015-11-02,,,,,,
2015-12-01,18.78,18.96,14.94,17.69,17.27,197693500.0
2016-01-01,17.67,20.8,14.88,20.75,20.26,204511000.0
2016-01-27,,,,,,
2016-02-01,20.24,22.25,18.48,20.13,19.67,276413600.0
2016-03-01,20.39,23.31,19.58,22.71,22.19,182105200.0
2016-04-01,22.26,24.17,21.9,23.4,22.87,138086700.0
2016-05-01,23.33,25.04,22.7,23.97,23.42,101386500.0
2016-05-12,,,,,,
2016-06-01,23.97,26.44,23.79,25.74,25.17,102183800.0
2016-07-01,25.81,26.53,23.26,24.67,24.13,97302100.0
2016-08-01,24.58,26.32,23.53,24.63,24.09,117874500.0
2016-08-08,,,,,,
2016-09-01,24.44,26.74,24.02,25.8,25.25,122271700.0
2016-10-01,25.89,25.93,20.18,20.88,20.44,188108200.0
2016-11-01,20.99,24.49,20.02,22.12,21.65,127486400.0
2016-11-01,,,,,,
2016-11-08,,,,,,
2016-12-01,23.06,24.75,21.39,23.36,22.91,138071400.0
2017-01-01,22.98,23.33,20.99,21.48,21.07,130259400.0
2017-01-24,,,,,,
2017-02-01,21.64,24.35,20.55,21.9,21.5,137932700.0
2017-03-01,22.11,24.27,22.0,23.91,23.47,151976400.0
2017-04-01,23.95,25.13,23.1,23.24,22.81,108827800.0
2017-05-01,23.35,25.32,22.1,22.19,21.78,144182200.0
2017-05-15,,,,,,
2017-06-01,22.28,25.41,21.4,25.08,24.67,160381500.0
2017-07-01,25.09,26.08,23.89,24.87,24.46,104921700.0
2017-08-01,25.05,25.66,24.07,25.55,25.13,103244000.0
2017-08-08,,,,,,
2017-09-01,25.55,27.14,25.55,26.75,26.37,114122700.0
2017-10-01,26.48,28.0,24.1,27.7,27.3,115534900.0
2017-11-01,27.75,29.57,27.17,28.95,28.53,109812500.0
2017-11-07,,,,,,
2017-12-01,29.23,29.54,26.46,28.6,28.24,89057000.0
2018-01-01,28.31,29.56,26.26,26.35,26.02,97191100.0
2018-01-23,,,,,,
2018-02-01,26.29,26.46,22.6,24.16,23.91,128417600.0
2018-03-01,24.17,25.83,23.32,23.98,23.73,139990300.0
2018-04-01,23.85,24.65,22.75,23.91,23.66,114106900.0
2018-05-01,23.83,24.18,21.71,22.85,22.61,126449000.0
2018-05-15,,,,,,
2018-06-01,22.93,24.8,22.21,23.8,23.61,135790300.0
2018-07-01,23.6,25.23,22.66,23.5,23.31,114637100.0
2018-08-01,23.15,24.76,22.85,23.83,23.64,112855000.0
2018-08-08,,,,,,
2018-09-01,23.79,23.87,21.48,22.52,22.4,123906700.0
2018-10-01,22.65,25.16,20.95,24.23,24.1,181786400.0
2018-11-01,24.36,27.4,23.81,25.16,25.02,153104200.0
2018-11-06,,,,,,
2018-12-01,25.09,25.99,22.1,22.35,22.29,153394900.0
2019-01-01,22.1,26.12,21.91,24.95,24.88,138724200.0
2019-01-23,,,,,,
2019-02-01,25.02,25.46,23.47,24.62,24.62,117335700.0
2019-03-01,24.84,26.76,24.53,26.1,26.1,109618200.0
2019-04-01,26.32,27.65,25.44,26.66,26.66,108861800.0
2019-04-26,26.8,27.08,26.26,26.66,26.66,12204729.0
