Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,26.32,26.43,25.84,25.87,25.87,3845900
2019-04-02,26.02,26.15,25.65,25.9,25.9,4053000
2019-04-03,26.01,26.01,25.44,25.49,25.49,4531100
2019-04-04,25.57,25.89,25.52,25.82,25.82,3222000
2019-04-05,25.87,26.17,25.64,26.17,26.17,4753700
2019-04-08,26.25,26.86,26.24,26.82,26.82,5093700
2019-04-09,27.02,27.57,26.82,27.14,27.14,9108600
2019-04-10,27.26,27.33,27.0,27.15,27.15,4437100
2019-04-11,27.06,27.18,26.72,27.07,27.07,5245900
2019-04-12,27.5,27.62,27.19,27.3,27.3,4463300
2019-04-15,27.17,27.65,27.17,27.36,27.36,3474900
2019-04-16,27.5,27.54,27.17,27.43,27.43,4240900
2019-04-17,27.57,27.57,26.94,27.04,27.04,4460900
2019-04-18,27.01,27.01,26.08,26.13,26.13,5955900
2019-04-22,26.34,26.38,25.94,26.17,26.17,8052500
2019-04-23,26.36,26.65,26.14,26.19,26.19,7743300
2019-04-24,26.4,26.49,26.01,26.11,26.11,5729900
2019-04-25,26.21,26.32,25.86,26.01,26.01,8136700
