Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,298.0,302.36,294.47,295.82,295.82,366200
2019-04-02,296.45,298.5,292.18,297.59,297.59,288100
2019-04-03,298.37,299.39,295.55,297.07,297.07,365800
2019-04-04,297.08,297.08,289.46,290.73,290.73,421500
2019-04-05,289.59,291.52,288.24,289.44,289.44,721100
2019-04-08,289.13,290.04,284.58,290.03,290.03,295800
2019-04-09,288.95,292.75,288.41,289.46,289.46,398500
2019-04-10,290.1,293.18,288.33,291.68,291.68,196300
2019-04-11,293.11,293.11,289.07,291.88,291.88,299900
2019-04-12,292.0,297.22,291.58,292.94,292.94,281000
2019-04-15,294.38,295.94,292.87,295.62,295.62,222500
2019-04-16,296.61,297.45,287.25,288.98,288.98,280500
2019-04-17,290.27,290.27,278.5,279.29,279.29,417400
2019-04-18,280.44,284.63,278.76,281.22,281.22,495500
2019-04-22,279.95,286.84,279.95,284.31,284.31,318300
2019-04-23,285.56,288.59,284.04,286.74,286.74,304000
2019-04-24,287.83,288.37,281.75,282.46,282.46,363800
2019-04-25,281.04,282.65,279.42,281.5,281.5,547400
