Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,67.49,68.12,67.31,67.69,67.69,5309000
2019-04-02,67.59,67.83,66.09,66.35,66.35,5833000
2019-04-03,66.81,66.96,65.17,65.51,65.51,5490800
2019-04-04,65.57,65.77,64.97,65.16,65.16,6397900
2019-04-05,65.51,66.19,65.26,66.12,66.12,8337800
2019-04-08,66.51,67.52,66.19,66.55,66.55,5705200
2019-04-09,66.21,66.28,65.45,65.7,65.7,4707300
2019-04-10,66.08,67.18,66.03,66.97,66.97,6629000
2019-04-11,66.64,67.6,65.72,66.37,66.37,9486900
2019-04-12,67.56,68.22,67.25,67.37,67.37,9913100
2019-04-15,67.06,67.23,66.21,66.34,66.34,7284800
2019-04-16,66.76,66.91,65.84,65.84,65.84,7790500
2019-04-17,66.49,67.0,65.78,65.78,65.78,7907100
2019-04-18,65.94,66.39,65.52,65.9,65.9,6033400
2019-04-22,66.7,67.3,66.33,66.96,66.96,9061600
2019-04-23,66.99,67.42,66.43,66.45,66.45,8133500
2019-04-24,67.0,67.0,64.69,64.7,64.7,7624600
2019-04-25,64.63,64.65,63.93,63.97,63.97,7305000
