Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,45.39,46.06,41.92,45.9,39.29,25571900.0
2014-06-01,45.86,46.67,45.01,45.81,39.21,19464900.0
2014-07-01,45.84,46.23,41.51,41.59,35.6,26226300.0
2014-07-03,,,,,,
2014-08-01,41.52,44.84,41.39,44.82,38.63,16630800.0
2014-09-01,44.75,45.12,42.21,42.73,36.82,19638500.0
2014-10-01,42.51,44.52,41.15,44.17,38.07,23224600.0
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-11-01,44.01,45.71,43.56,45.28,39.6,28105400.0
2014-12-01,44.99,45.29,42.7,44.0,38.48,38983300.0
2015-01-01,44.1,47.45,42.9,45.74,40.0,34128300.0
2015-01-08,,,,,,
2015-02-01,45.68,48.31,45.13,46.59,41.03,37415400.0
2015-03-01,46.59,47.02,44.45,46.55,41.0,35815100.0
2015-04-01,46.52,47.09,44.6,44.71,39.38,23816400.0
2015-04-09,,,,,,
2015-05-01,44.85,48.4,44.76,48.34,42.86,30434900.0
2015-06-01,48.33,49.16,46.08,47.65,42.25,31638500.0
2015-07-01,47.78,49.54,47.06,49.31,43.72,24174000.0
2015-07-09,,,,,,
2015-08-01,49.42,50.8,45.23,47.99,42.83,27703000.0
2015-09-01,47.18,52.37,46.07,50.68,45.23,41202300.0
2015-10-01,50.6,51.77,48.93,50.79,45.33,36332900.0
2015-10-09,,,,,,
2015-11-01,50.88,53.35,47.77,52.24,46.91,36126900.0
2015-12-01,53.06,55.08,52.01,52.55,47.19,41998100.0
2016-01-01,51.93,56.63,50.54,56.41,50.66,46229900.0
2016-01-07,,,,,,
2016-02-01,56.4,63.94,54.97,61.75,55.79,44419600.0
2016-03-01,62.2,64.81,60.04,63.79,57.63,43733600.0
2016-04-01,63.4,65.48,59.74,61.71,55.75,35810300.0
2016-04-07,,,,,,
2016-05-01,61.7,66.75,59.51,60.57,54.99,51515600.0
2016-06-01,60.64,66.54,60.26,66.53,60.4,41743600.0
2016-07-01,66.64,67.89,61.04,62.27,56.53,36251700.0
2016-07-07,,,,,,
2016-08-01,62.16,62.3,59.88,60.72,55.38,32847100.0
2016-09-01,57.67,58.45,54.11,54.7,49.89,50691900.0
2016-10-01,54.39,55.2,52.74,54.34,49.56,40591100.0
2016-10-07,,,,,,
2016-10-10,,,,,,
2016-11-01,54.4,57.85,52.59,56.89,52.57,51847600.0
2016-12-01,56.62,61.09,56.08,60.47,55.87,35217400.0
2017-01-01,60.6,63.5,59.43,62.23,57.5,29029800.0
2017-01-09,,,,,,
2017-02-01,62.11,64.23,57.55,59.35,55.16,38612900.0
2017-03-01,59.53,59.94,56.54,57.24,53.2,35279500.0
2017-04-01,57.27,58.2,56.05,57.54,53.48,27005200.0
2017-04-10,,,,,,
2017-05-01,57.63,59.14,54.1,57.65,53.91,38492200.0
2017-06-01,57.75,58.33,51.64,52.15,48.77,36971000.0
2017-07-01,52.3,53.07,50.62,52.83,49.4,30389000.0
2017-07-11,,,,,,
2017-08-01,52.71,54.37,46.2,46.2,43.5,47267800.0
2017-09-01,46.43,48.74,45.0,46.82,44.09,60755500.0
2017-10-01,46.8,48.25,45.19,47.37,44.61,54518900.0
2017-10-12,,,,,,
2017-11-01,47.57,50.48,45.07,49.3,46.78,62602900.0
2017-12-01,49.31,51.07,47.91,48.11,45.65,54711500.0
2018-01-01,48.2,48.42,45.26,46.55,44.17,47071300.0
2018-01-09,,,,,,
2018-02-01,46.46,48.1,42.82,43.05,41.15,68097600.0
2018-03-01,42.55,44.64,40.99,43.31,41.4,69988700.0
2018-04-01,43.31,44.21,39.79,40.78,38.98,49236400.0
2018-04-10,,,,,,
2018-05-01,40.64,41.8,33.28,33.64,32.42,126084900.0
2018-06-01,33.69,42.88,32.63,40.54,39.07,155915800.0
2018-07-01,40.54,42.54,39.62,40.9,39.42,68874000.0
2018-07-12,,,,,,
2018-08-01,41.68,43.98,38.2,39.45,38.34,112961700.0
2018-09-01,39.41,41.33,35.89,36.63,35.59,57242300.0
2018-10-01,36.82,38.85,35.97,37.41,36.35,86253400.0
2018-10-11,,,,,,
2018-11-01,37.51,41.58,36.39,39.2,38.45,55205400.0
2018-12-01,39.19,39.59,32.21,32.99,32.36,56644000.0
2019-01-01,32.76,35.95,32.03,35.43,34.75,58619800.0
2019-01-08,,,,,,
2019-02-01,35.56,36.49,32.17,36.02,35.7,67124800.0
2019-03-01,36.0,38.84,35.03,38.13,37.79,46645000.0
2019-04-01,38.04,40.22,37.18,38.64,38.3,38778100.0
2019-04-10,,,,,,
2019-04-26,38.24,38.66,38.09,38.64,38.64,1510890.0
