Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,38.04,38.09,37.52,37.85,37.51,2194200
2019-04-02,37.91,38.08,37.49,37.62,37.29,1157900
2019-04-03,37.62,37.67,37.18,37.25,36.92,1705200
2019-04-04,37.36,37.55,37.27,37.45,37.12,1174500
2019-04-05,37.52,38.29,37.52,38.26,37.92,1883800
2019-04-08,38.19,38.79,38.12,38.53,38.19,2522900
2019-04-09,38.46,39.81,38.46,39.49,39.14,5173300
2019-04-10,39.19,39.57,38.91,39.13,39.13,2936200
2019-04-11,39.26,39.87,39.19,39.66,39.66,2410200
2019-04-12,39.54,39.96,39.47,39.81,39.81,2268400
2019-04-15,39.54,40.22,39.54,39.84,39.84,2111800
2019-04-16,39.84,39.98,39.38,39.43,39.43,1557700
2019-04-17,39.59,39.7,39.08,39.13,39.13,1542900
2019-04-18,39.21,39.6,39.1,39.39,39.39,1573100
2019-04-22,39.42,39.58,39.16,39.32,39.32,1416900
2019-04-23,39.27,39.5,38.78,38.9,38.9,1627600
2019-04-24,39.04,39.49,38.75,39.0,39.0,1679500
2019-04-25,38.87,38.87,38.12,38.18,38.18,2273900
