Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.96,47.18,45.96,47.14,47.14,2768200
2019-04-02,46.98,46.98,46.38,46.63,46.63,2069600
2019-04-03,46.94,47.34,46.54,46.95,46.95,1571900
2019-04-04,47.77,49.38,47.53,49.31,49.31,3335100
2019-04-05,49.43,49.86,47.95,48.09,48.09,2888100
2019-04-08,49.18,49.32,48.45,48.86,48.86,3064800
2019-04-09,48.71,48.79,47.86,48.55,48.55,2031800
2019-04-10,48.61,49.89,48.22,49.83,49.83,4144200
2019-04-11,49.98,50.0,47.96,48.06,48.06,2202900
2019-04-12,48.34,48.86,47.75,48.46,48.46,2290000
2019-04-15,48.59,48.78,48.04,48.09,48.09,1528900
2019-04-16,48.09,48.24,47.8,47.84,47.84,1682400
2019-04-17,48.33,49.1,48.18,48.66,48.66,1696400
2019-04-18,48.58,49.42,48.38,49.22,49.22,3260500
2019-04-22,48.86,48.89,46.47,46.59,46.59,4423400
2019-04-23,46.72,47.09,45.75,46.08,46.08,2772000
2019-04-24,46.15,46.49,45.7,46.11,46.11,1968700
2019-04-25,46.05,46.07,44.36,44.52,44.52,2538400
