Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,60.96,62.31,60.96,62.18,62.18,1544600
2019-04-02,62.22,63.42,62.22,63.16,63.16,1638600
2019-04-03,63.41,64.08,63.15,63.73,63.73,1237100
2019-04-04,63.76,63.88,62.94,62.99,62.99,1091700
2019-04-05,63.07,63.97,62.66,63.95,63.95,1521000
2019-04-08,63.92,64.67,63.88,64.64,64.64,1685100
2019-04-09,64.49,64.64,64.06,64.24,64.24,1357900
2019-04-10,64.5,65.56,64.06,64.27,64.27,2669900
2019-04-11,64.39,64.93,64.22,64.89,64.89,613300
2019-04-12,65.14,65.4,64.83,65.37,65.37,580400
2019-04-15,65.46,65.54,64.96,65.21,65.21,680400
2019-04-16,65.53,65.95,65.13,65.18,65.18,2509500
2019-04-17,65.55,65.65,64.8,64.8,64.8,1181700
2019-04-18,64.81,65.49,64.44,65.06,65.06,1301900
2019-04-22,64.84,65.63,64.57,64.99,64.99,809900
2019-04-23,65.13,65.99,64.96,65.86,65.86,790000
2019-04-24,65.94,66.7,65.75,66.53,66.53,1159600
2019-04-25,66.24,66.47,65.53,65.76,65.76,870800
