Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.48,55.02,54.39,54.98,54.63,19741700
2019-04-02,55.0,55.41,54.97,55.29,54.94,17264000
2019-04-03,55.46,55.8,55.07,55.63,55.28,21110400
2019-04-04,55.37,55.68,54.86,55.14,55.14,16412100
2019-04-05,55.25,55.61,55.13,55.21,55.21,13817500
2019-04-08,55.2,55.56,54.79,55.49,55.49,13862800
2019-04-09,55.08,55.42,54.86,55.18,55.18,15508400
2019-04-10,55.11,55.84,55.11,55.82,55.82,13460200
2019-04-11,55.93,55.95,55.31,55.6,55.6,13186000
2019-04-12,55.93,56.36,55.79,56.29,56.29,14331700
2019-04-15,56.4,56.61,56.24,56.56,56.56,12198400
2019-04-16,56.62,57.53,56.61,56.95,56.95,19718300
2019-04-17,57.18,57.32,56.29,56.31,56.31,26093600
2019-04-18,56.63,56.7,56.11,56.4,56.4,18332000
2019-04-22,56.16,56.6,56.1,56.34,56.34,11951500
2019-04-23,56.43,56.7,56.2,56.69,56.69,18796600
2019-04-24,56.64,57.15,56.58,56.88,56.88,13212000
2019-04-25,56.46,56.78,56.01,56.33,56.33,15405600
