Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,59.16,62.26,58.25,62.12,58.59,12050600.0
2014-06-01,63.13,64.32,61.7,63.54,59.93,9797400.0
2014-07-01,63.63,64.91,62.22,62.6,59.04,9017100.0
2014-08-01,62.35,66.5,62.24,66.14,62.38,10422800.0
2014-09-01,66.42,71.61,65.79,70.59,66.58,11156700.0
2014-10-01,70.22,73.95,66.75,73.24,69.08,18261300.0
2014-11-01,73.24,73.86,70.0,73.15,69.0,12668600.0
2014-11-05,,,,,,
2014-12-01,72.91,80.35,70.61,78.44,74.88,17312000.0
2015-01-01,78.91,80.93,75.9,78.7,75.12,19657600.0
2015-02-01,78.78,84.18,77.96,83.48,79.69,9206500.0
2015-03-01,83.52,88.23,80.76,81.63,77.92,15545000.0
2015-04-01,81.79,82.82,79.51,79.95,76.32,12974100.0
2015-05-01,80.23,86.83,80.19,86.09,82.18,11356000.0
2015-06-01,86.39,87.99,83.87,84.59,80.75,12250300.0
2015-07-01,85.26,87.29,83.43,85.5,81.62,11817000.0
2015-08-01,85.81,89.74,78.0,84.99,81.13,12769600.0
2015-09-01,83.6,89.73,82.71,85.75,81.85,15634000.0
2015-10-01,86.16,94.35,83.48,93.09,88.86,14024000.0
2015-11-01,93.59,94.04,88.3,91.59,87.43,13029100.0
2015-11-04,,,,,,
2015-12-01,91.99,93.64,88.46,91.05,87.91,11815100.0
2016-01-01,89.82,89.83,80.0,85.92,82.96,14285100.0
2016-02-01,85.42,87.0,80.22,83.99,81.09,12674700.0
2016-03-01,84.64,91.3,84.32,89.81,86.71,15368500.0
2016-04-01,89.19,91.38,87.27,89.78,86.69,13551800.0
2016-05-01,89.84,95.49,89.31,94.8,91.53,16664400.0
2016-06-01,94.4,98.15,91.24,98.13,94.75,11527400.0
2016-07-01,97.82,109.11,96.96,107.27,103.57,15796000.0
2016-08-01,107.26,117.69,105.71,117.51,113.46,15599600.0
2016-09-01,118.0,119.94,111.09,112.6,108.72,16498700.0
2016-10-01,112.77,113.9,105.29,106.67,102.99,11861800.0
2016-11-01,106.45,116.59,102.07,114.6,110.65,13774900.0
2016-11-02,,,,,,
2016-12-01,114.61,122.21,113.0,115.56,113.02,17673300.0
2017-01-01,116.37,117.95,112.96,116.11,113.55,10524200.0
2017-02-01,115.8,119.51,113.79,118.01,115.41,10040000.0
2017-03-01,118.69,128.85,117.21,126.54,123.76,14738200.0
2017-04-01,126.86,126.97,121.48,122.47,119.77,9158400.0
2017-05-01,121.6,125.94,119.54,125.88,123.11,10851700.0
2017-06-01,126.12,131.41,123.0,126.04,123.27,9173700.0
2017-07-01,126.77,139.39,123.42,134.85,131.88,12386500.0
2017-08-01,137.7,139.74,130.09,135.01,132.04,11999700.0
2017-09-01,135.64,145.0,131.75,144.28,141.1,13048200.0
2017-10-01,144.5,152.83,144.03,149.04,145.76,11075400.0
2017-11-01,148.85,157.81,144.4,157.44,153.98,12481700.0
2017-11-09,,,,,,
2017-12-01,157.19,163.45,153.01,155.83,154.07,13225900.0
2018-01-01,157.26,169.96,155.94,168.45,166.55,11320400.0
2018-02-01,167.87,172.91,147.38,170.66,168.73,12911600.0
2018-03-01,171.27,178.34,162.11,170.58,168.65,13078000.0
2018-04-01,170.11,175.1,165.33,170.3,168.38,8984800.0
2018-05-01,169.59,184.22,169.0,182.25,180.19,9158000.0
2018-06-01,182.87,194.09,182.2,185.07,182.98,8785000.0
2018-07-01,184.24,210.38,183.2,204.48,202.17,11985400.0
2018-08-01,204.0,214.75,204.0,213.37,210.96,8853200.0
2018-09-01,213.22,217.34,195.08,197.81,195.57,12045700.0
2018-10-01,198.99,199.65,168.02,181.87,179.81,19242200.0
2018-11-01,182.37,189.82,175.74,187.38,185.26,11777100.0
2018-11-08,,,,,,
2018-12-01,189.92,191.26,155.98,167.99,167.99,16378800.0
2019-01-01,165.51,187.91,164.5,187.51,187.51,11324000.0
2019-02-01,187.54,207.33,186.17,206.6,206.6,7820000.0
2019-03-01,208.04,209.64,191.91,202.11,202.11,12807400.0
2019-04-01,204.21,217.46,203.34,216.78,216.78,7109400.0
2019-04-26,216.19,217.46,214.5,216.78,216.78,264957.0
